roi,n_data_pts,t0
Nepal,135,2020-04-17
Mexico,272,2020-03-13
Grenada,21,2020-03-26
Philippines,315,2020-03-09
San Marino,162,2020-03-02
Mongolia,72,2020-04-14
Russia,306,2020-03-06
Qatar,256,2020-03-08
Sri Lanka,201,2020-03-15
Chile,305,2020-03-01
Belize,0,
Central African Republic,87,2020-04-03
Dominica,17,2020-03-25
Saint Lucia,14,2020-03-29
Nigeria,265,2020-03-18
Bangladesh,269,2020-03-21
Latvia,141,2020-03-13
South Sudan,60,2020-04-28
Uruguay,195,2020-03-16
Peru,292,2020-03-08
Lebanon,212,2020-03-01
Jordan,186,2020-03-15
Burkina Faso,187,2020-03-16
Poland,302,2020-03-08
Azerbaijan,256,2020-03-15
Sierra Leone,151,2020-04-17
Hungary,295,2020-03-13
Yemen,127,2020-04-29
South Africa,252,2020-03-11
"Korea, South",347,2020-01-31
Turkey,300,2020-03-16
Holy See,0,
Kyrgyzstan,198,2020-03-21
Brunei,74,2020-03-11
United Kingdom,258,2020-02-03
Rwanda,167,2020-03-20
Zimbabwe,71,2020-04-15
Guinea-Bissau,67,2020-03-30
West Bank and Gaza,134,2020-03-07
Bhutan,33,2020-05-14
Kazakhstan,234,2020-03-17
Liberia,138,2020-04-08
Kuwait,293,2020-02-25
MS Zaandam,2,2020-04-01
Bahrain,265,2020-02-25
Bolivia,263,2020-03-14
Denmark,280,2020-03-06
Madagascar,159,2020-03-23
Mali,222,2020-03-27
Timor-Leste,11,2020-04-16
Iraq,319,2020-02-29
Germany,333,2020-02-26
Papua New Guinea,6,2020-04-16
Sweden,223,2020-02-27
Burundi,18,2020-04-22
Benin,72,2020-04-05
Comoros,36,2020-05-06
Colombia,291,2020-03-11
Guinea,162,2020-03-29
Indonesia,316,2020-03-09
Syria,76,2020-04-02
Albania,242,2020-03-10
Guyana,90,2020-03-22
Burma,121,2020-03-27
Eritrea,31,2020-03-29
France,303,2020-02-08
Niger,185,2020-03-29
Kosovo,214,2020-03-16
Taiwan*,152,2020-02-06
Gabon,132,2020-03-31
Uzbekistan,207,2020-03-16
Luxembourg,224,2020-03-12
Belarus,272,2020-03-04
Cameroon,155,2020-03-17
Djibouti,178,2020-03-25
El Salvador,222,2020-03-28
Spain,257,2020-02-26
Vietnam,114,2020-03-08
Montenegro,92,2020-03-20
Lesotho,4,2020-06-22
Algeria,302,2020-03-04
Ukraine,285,2020-03-17
Guatemala,220,2020-03-21
Botswana,28,2020-04-09
Czechia,286,2020-03-06
Haiti,127,2020-03-29
Paraguay,183,2020-03-21
Canada,320,2020-02-29
United Arab Emirates,292,2020-02-28
Moldova,279,2020-03-14
Senegal,247,2020-03-13
Iceland,140,2020-03-03
Singapore,277,2020-02-04
Uganda,107,2020-03-23
Eswatini,117,2020-04-18
Bosnia and Herzegovina,258,2020-03-14
Armenia,278,2020-03-14
Antigua and Barbuda,20,2020-04-03
Oman,233,2020-03-03
Ecuador,230,2020-03-01
Sao Tome and Principe,65,2020-04-30
Bahamas,75,2020-04-01
Finland,200,2020-03-05
Monaco,62,2020-03-16
Romania,313,2020-03-08
Cabo Verde,110,2020-04-15
Argentina,301,2020-03-07
Costa Rica,210,2020-03-12
Cyprus,144,2020-03-13
Bulgaria,280,2020-03-13
Somalia,151,2020-04-10
Maldives,120,2020-04-18
Namibia,11,2020-06-19
Mozambique,116,2020-04-08
Morocco,273,2020-03-14
Norway,190,2020-02-28
Estonia,227,2020-03-06
Congo (Brazzaville),66,2020-03-29
Honduras,235,2020-03-20
Australia,256,2020-02-29
Suriname,44,2020-05-31
Cambodia,61,2020-03-17
Ghana,160,2020-03-20
Laos,0,
Tanzania,37,2020-03-22
Portugal,298,2020-03-06
Italy,372,2020-02-21
Equatorial Guinea,38,2020-04-14
Dominican Republic,282,2020-03-14
Liechtenstein,38,2020-03-18
Saint Kitts and Nevis,17,2020-03-30
Switzerland,275,2020-02-27
Andorra,156,2020-03-17
Trinidad and Tobago,60,2020-03-21
Afghanistan,262,2020-03-15
Malawi,76,2020-04-22
Serbia,259,2020-03-11
Slovakia,190,2020-03-12
North Macedonia,277,2020-03-13
Zambia,108,2020-03-25
Belgium,312,2020-03-02
Ethiopia,185,2020-03-29
Egypt,314,2020-03-06
Brazil,292,2020-03-06
Austria,301,2020-02-29
Gambia,35,2020-04-11
Netherlands,229,2020-02-29
Greece,195,2020-03-05
Western Sahara,0,
Ireland,215,2020-03-06
Thailand,243,2020-01-28
Iran,370,2020-02-21
Togo,166,2020-03-20
Diamond Princess,36,2020-02-07
Cuba,231,2020-03-20
Lithuania,211,2020-03-16
Mauritius,75,2020-03-20
Libya,102,2020-03-29
Seychelles,1,2020-06-27
Tunisia,179,2020-03-13
Congo (Kinshasa),218,2020-03-19
Barbados,68,2020-03-22
Chad,127,2020-04-12
Croatia,232,2020-03-11
Fiji,13,2020-04-04
Georgia,216,2020-03-08
Malta,168,2020-03-13
Panama,264,2020-03-11
Saint Vincent and the Grenadines,10,2020-05-28
China,376,2020-01-23
New Zealand,143,2020-03-18
Israel,292,2020-03-05
Slovenia,193,2020-03-06
Tajikistan,116,2020-04-30
US,341,2020-02-29
Mauritania,113,2020-05-13
Angola,69,2020-04-18
Jamaica,153,2020-03-13
India,317,2020-03-04
Pakistan,300,2020-03-09
Saudi Arabia,304,2020-03-08
Sudan,177,2020-04-13
Japan,350,2020-02-01
Nicaragua,19,2020-05-12
Venezuela,153,2020-03-15
Cote d'Ivoire,216,2020-03-21
Kenya,237,2020-03-22
Malaysia,280,2020-03-03
US_AK,177,2020-03-20
US_AL,202,2020-03-14
US_AR,251,2020-03-12
US_AS,0,
US_AZ,271,2020-03-16
US_CA,218,2020-03-06
US_CO,238,2020-03-07
US_CT,202,2020-03-14
US_DC,263,2020-03-12
US_DE,263,2020-03-17
US_FL,219,2020-03-05
US_GA,212,2020-03-09
US_GU,105,2020-03-22
US_HI,181,2020-03-16
US_IA,287,2020-03-10
US_ID,199,2020-03-20
US_IL,210,2020-03-10
US_IN,231,2020-03-16
US_KS,171,2020-03-19
US_KY,234,2020-03-16
US_LA,213,2020-03-11
US_MA,213,2020-03-13
US_MD,287,2020-03-13
US_ME,254,2020-03-16
US_MI,236,2020-03-02
US_MN,290,2020-03-10
US_MO,187,2020-03-18
US_MP,0,
US_MS,195,2020-03-17
US_MT,156,2020-03-22
US_NC,210,2020-03-10
US_ND,232,2020-03-19
US_NE,200,2020-03-12
US_NH,233,2020-03-15
US_NJ,257,2020-03-09
US_NM,267,2020-03-13
US_NV,234,2020-03-14
US_NY,292,2020-03-05
US_OH,205,2020-03-13
US_OK,267,2020-03-15
US_OR,200,2020-03-08
US_PA,231,2020-03-12
US_PR,163,2020-03-20
US_RI,253,2020-03-12
US_SC,191,2020-03-09
US_SD,238,2020-03-11
US_TN,283,2020-03-12
US_TX,284,2020-03-11
US_UT,245,2020-03-15
US_VA,277,2020-03-10
US_VI,60,2020-03-23
US_VT,182,2020-03-16
US_WA,251,2020-02-15
US_WI,253,2020-03-12
US_WV,214,2020-03-20
US_WY,182,2020-03-17
