,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/06/20,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,03/07/20,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
2,03/08/20,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
3,03/09/20,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
4,03/10/20,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
5,03/11/20,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
6,03/12/20,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
7,03/13/20,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
8,03/14/20,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
9,03/15/20,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
10,03/16/20,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
11,03/17/20,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0
12,03/18/20,6,0,0.0,0.0,0,0,0,0,0,0,0,0,0
13,03/19/20,6,0,0.0,0.0,0,0,0,0,0,0,0,0,0
14,03/20/20,12,0,0.0,0.0,0,0,1,0,0,0,0,0,0
15,03/21/20,14,0,0.0,0.0,0,0,1,0,0,0,0,0,0
16,03/22/20,22,0,0.0,0.0,0,0,3,0,0,0,0,0,0
17,03/23/20,22,0,0.0,0.0,0,0,3,0,0,0,0,0,0
18,03/24/20,36,0,0.0,0.0,0,0,4,0,0,0,0,0,0
19,03/25/20,42,1,0.0,1.0,0,0,5,0,0,0,0,0,0
20,03/26/20,59,1,0.0,3.0,0,0,7,0,0,0,0,0,0
21,03/27/20,69,1,0.0,3.0,0,0,8,0,0,0,0,0,0
22,03/28/20,85,2,0.0,5.0,0,0,10,0,0,0,0,0,0
23,03/29/20,102,2,0.0,6.0,0,0,11,0,0,0,0,0,0
24,03/30/20,114,3,0.0,7.0,0,0,13,0,0,1,0,0,0
25,03/31/20,119,3,0.0,7.0,0,0,11,0,0,1,0,0,0
26,04/01/20,133,3,0.0,9.0,0,0,13,0,0,1,0,0,0
27,04/02/20,143,3,0.0,9.0,0,0,12,0,0,0,0,0,0
28,04/03/20,157,3,0.0,15.0,0,0,12,0,0,1,0,0,0
29,04/04/20,171,5,0.0,16.0,0,0,12,0,0,1,0,0,0
30,04/05/20,185,6,0.0,20.0,0,0,11,0,0,2,0,0,0
31,04/06/20,191,6,0.0,23.0,0,0,11,0,0,2,0,0,0
32,04/07/20,213,6,29.0,23.0,0,0,13,0,4,2,0,4,0
33,04/08/20,226,7,32.0,27.0,0,0,13,0,4,2,0,4,0
34,04/09/20,235,7,49.0,27.0,0,0,13,0,7,2,0,7,0
35,04/10/20,246,7,55.0,28.0,0,0,12,0,7,1,0,7,0
36,04/11/20,257,8,63.0,31.0,0,0,12,0,9,2,0,9,0
37,04/12/20,272,8,66.0,31.0,0,0,12,0,9,1,0,9,0
38,04/13/20,277,8,85.0,32.0,0,0,12,0,12,1,0,12,0
39,04/14/20,285,9,98.0,32.0,0,0,10,0,9,1,0,9,0
40,04/15/20,293,9,106.0,34.0,0,0,9,0,10,1,0,10,0
41,04/16/20,300,9,110.0,35.0,0,0,9,0,8,1,0,8,0
42,04/17/20,309,9,128.0,36.0,0,0,9,0,10,1,0,10,0
43,04/18/20,314,9,147.0,36.0,0,0,8,0,12,0,0,12,0
44,04/19/20,319,9,153.0,36.0,0,0,6,0,12,0,0,12,0
45,04/20/20,321,9,161.0,36.0,0,0,6,0,10,0,0,10,0
46,04/21/20,329,9,168.0,36.0,0,0,6,0,10,0,0,10,0
47,04/22/20,335,9,196.0,36.0,0,0,6,0,12,0,0,12,0
48,04/23/20,337,9,209.0,0.0,0,0,5,0,14,0,0,14,0
49,04/24/20,339,9,0.0,0.0,0,0,4,0,11,0,0,11,0
50,04/25/20,339,9,217.0,0.0,0,0,3,0,8,0,0,8,0
51,04/26/20,341,9,217.0,0.0,0,0,3,0,8,0,0,8,0
52,04/27/20,345,9,218.0,0.0,0,0,3,0,7,0,0,7,0
53,04/28/20,351,9,228.0,0.0,0,0,3,0,7,0,0,7,0
54,04/29/20,355,9,240.0,0.0,0,0,2,0,5,0,0,5,0
55,04/30/20,355,9,252.0,0.0,0,0,2,0,5,0,0,5,0
56,05/01/20,364,9,254.0,0.0,0,0,3,0,5,0,0,5,0
57,05/02/20,365,9,261.0,0.0,0,0,3,0,6,0,0,6,0
58,05/03/20,368,9,262.0,0.0,0,0,3,0,6,0,0,6,0
59,05/04/20,370,9,263.0,0.0,0,0,3,0,6,0,0,6,0
60,05/05/20,371,9,277.0,0.0,0,0,2,0,7,0,0,7,0
61,05/06/20,372,10,284.0,0.0,0,0,2,0,6,0,0,6,0
62,05/07/20,374,10,291.0,0.0,0,0,2,0,5,0,0,5,0
63,05/08/20,377,10,305.0,0.0,0,0,1,0,7,0,0,7,0
64,05/09/20,378,10,318.0,0.0,0,0,1,0,8,0,0,8,0
65,05/10/20,379,10,324.0,0.0,0,0,1,0,8,0,0,8,0
66,05/11/20,381,10,328.0,0.0,0,0,1,0,9,0,0,9,0
67,05/12/20,383,10,334.0,0.0,0,0,1,0,8,0,0,8,0
68,05/13/20,383,10,338.0,0.0,0,0,1,0,7,0,0,7,0
69,05/14/20,387,10,339.0,0.0,0,0,1,0,6,0,0,6,0
70,05/15/20,388,10,343.0,0.0,0,0,1,0,5,0,0,5,0
71,05/16/20,392,10,344.0,0.0,0,0,2,0,3,0,0,3,0
72,05/17/20,396,10,344.0,0.0,0,0,2,0,2,0,0,2,0
73,05/18/20,399,10,345.0,0.0,0,0,2,0,2,0,0,2,0
74,05/19/20,399,10,348.0,0.0,0,0,2,0,2,0,0,2,0
