,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/07/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/08/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/09/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/10/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/11/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/12/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/13/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/14/20,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/15/20,12.0,0.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/16/20,28.0,0.0,-1.0,-1.0,-1.0,-1.0,4.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/17/20,36.0,0.0,-1.0,-1.0,-1.0,-1.0,5.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/18/20,46.0,0.0,-1.0,-1.0,-1.0,-1.0,7.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/19/20,68.0,0.0,-1.0,-1.0,-1.0,-1.0,10.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/20/20,81.0,0.0,-1.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/21/20,124.0,0.0,-1.0,-1.0,-1.0,-1.0,17.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/22/20,138.0,0.0,-1.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/23/20,167.0,0.0,-1.0,-1.0,-1.0,-1.0,20.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/24/20,215.0,0.0,-1.0,-1.0,-1.0,-1.0,26.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/25/20,283.0,0.0,-1.0,-1.0,-1.0,-1.0,34.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,03/26/20,506.0,1.0,-1.0,-1.0,-1.0,-1.0,63.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,03/27/20,587.0,3.0,-1.0,-1.0,-1.0,-1.0,72.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,03/28/20,696.0,3.0,-1.0,-1.0,-1.0,-1.0,82.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,03/29/20,806.0,4.0,-1.0,-1.0,-1.0,-1.0,95.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,03/30/20,859.0,6.0,-1.0,-1.0,-1.0,-1.0,99.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,03/31/20,981.0,13.0,-1.0,-1.0,-1.0,-1.0,109.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,04/01/20,1077.0,26.0,-1.0,-1.0,-1.0,-1.0,113.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,04/02/20,1233.0,32.0,-1.0,-1.0,-1.0,-1.0,104.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,04/03/20,1432.0,35.0,-1.0,-1.0,-1.0,-1.0,121.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,04/04/20,1580.0,43.0,-1.0,212.0,-1.0,-1.0,126.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0
29,04/05/20,1796.0,45.0,-1.0,231.0,-1.0,-1.0,141.0,6.0,-1.0,19.0,-1.0,-1.0,-1.0
30,04/06/20,1968.0,50.0,-1.0,240.0,-1.0,-1.0,158.0,6.0,-1.0,14.0,-1.0,-1.0,-1.0
31,04/07/20,2119.0,56.0,-1.0,271.0,-1.0,-1.0,163.0,6.0,-1.0,20.0,-1.0,-1.0,-1.0
32,04/08/20,2369.0,66.0,-1.0,314.0,-1.0,-1.0,185.0,6.0,-1.0,26.0,-1.0,-1.0,-1.0
33,04/09/20,2769.0,74.0,-1.0,333.0,-1.0,-1.0,219.0,6.0,-1.0,24.0,-1.0,-1.0,-1.0
34,04/10/20,2968.0,80.0,-1.0,368.0,-1.0,-1.0,219.0,6.0,-1.0,26.0,-1.0,-1.0,-1.0
35,04/11/20,3191.0,91.0,-1.0,402.0,177.0,-1.0,230.0,7.0,-1.0,27.0,-1.0,-1.0,-1.0
36,04/12/20,3525.0,93.0,-1.0,437.0,189.0,-1.0,247.0,7.0,-1.0,29.0,12.0,-1.0,-1.0
37,04/13/20,3734.0,99.0,-1.0,457.0,189.0,-1.0,252.0,7.0,-1.0,31.0,6.0,-1.0,-1.0
38,04/14/20,3876.0,110.0,-1.0,493.0,210.0,-1.0,251.0,8.0,-1.0,32.0,11.0,-1.0,-1.0
39,04/15/20,4113.0,121.0,-1.0,525.0,219.0,-1.0,249.0,8.0,-1.0,30.0,10.0,-1.0,-1.0
40,04/16/20,4345.0,133.0,-1.0,553.0,227.0,-1.0,225.0,8.0,-1.0,31.0,10.0,-1.0,-1.0
41,04/17/20,4530.0,144.0,-1.0,594.0,247.0,-1.0,223.0,9.0,-1.0,32.0,12.0,-1.0,-1.0
42,04/18/20,4655.0,146.0,-1.0,620.0,247.0,-1.0,209.0,8.0,-1.0,31.0,10.0,-1.0,-1.0
43,04/19/20,4837.0,154.0,-1.0,641.0,260.0,-1.0,187.0,9.0,-1.0,29.0,10.0,-1.0,-1.0
44,04/20/20,5025.0,167.0,-1.0,641.0,260.0,-1.0,184.0,10.0,-1.0,26.0,10.0,-1.0,-1.0
45,04/21/20,5231.0,177.0,-1.0,699.0,260.0,-1.0,194.0,10.0,-1.0,29.0,7.0,-1.0,-1.0
46,04/22/20,5465.0,194.0,-1.0,730.0,288.0,-1.0,193.0,10.0,-1.0,29.0,10.0,-1.0,-1.0
47,04/23/20,5778.0,197.0,-1.0,768.0,288.0,-1.0,205.0,9.0,-1.0,31.0,9.0,-1.0,-1.0
48,04/24/20,5832.0,197.0,-1.0,768.0,288.0,-1.0,186.0,8.0,-1.0,25.0,6.0,-1.0,-1.0
49,04/25/20,6137.0,212.0,-1.0,839.0,288.0,-1.0,212.0,9.0,-1.0,31.0,6.0,-1.0,-1.0
50,04/26/20,6270.0,216.0,-1.0,845.0,288.0,-1.0,205.0,9.0,-1.0,29.0,4.0,-1.0,-1.0
51,04/27/20,6499.0,222.0,-1.0,872.0,335.0,-1.0,211.0,8.0,-1.0,33.0,11.0,-1.0,-1.0
52,04/28/20,6687.0,242.0,-1.0,911.0,335.0,-1.0,208.0,9.0,-1.0,30.0,11.0,-1.0,-1.0
53,04/29/20,6842.0,245.0,-1.0,945.0,335.0,-1.0,197.0,7.0,-1.0,31.0,7.0,-1.0,-1.0
54,04/30/20,7019.0,269.0,-1.0,978.0,335.0,-1.0,177.0,10.0,-1.0,30.0,7.0,-1.0,-1.0
55,05/01/20,7158.0,279.0,-1.0,1008.0,335.0,-1.0,189.0,12.0,-1.0,34.0,7.0,-1.0,-1.0
56,05/02/20,7434.0,288.0,-1.0,1023.0,335.0,-1.0,185.0,11.0,-1.0,26.0,7.0,-1.0,-1.0
57,05/03/20,7725.0,290.0,-1.0,1035.0,403.0,-1.0,208.0,11.0,-1.0,27.0,16.0,-1.0,-1.0
58,05/04/20,8025.0,296.0,-1.0,1064.0,411.0,-1.0,218.0,11.0,-1.0,27.0,11.0,-1.0,-1.0
59,05/05/20,8285.0,313.0,-1.0,1107.0,428.0,-1.0,228.0,10.0,-1.0,28.0,13.0,-1.0,-1.0
60,05/06/20,8581.0,340.0,-1.0,1158.0,442.0,-1.0,248.0,14.0,-1.0,30.0,15.0,-1.0,-1.0
61,05/07/20,8898.0,349.0,-1.0,1178.0,448.0,-1.0,268.0,11.0,-1.0,29.0,16.0,-1.0,-1.0
62,05/08/20,9221.0,375.0,-1.0,1207.0,454.0,-1.0,295.0,14.0,-1.0,28.0,17.0,-1.0,-1.0
63,05/09/20,9567.0,388.0,-1.0,1228.0,459.0,-1.0,305.0,14.0,-1.0,29.0,18.0,-1.0,-1.0
64,05/10/20,9777.0,393.0,-1.0,1240.0,460.0,-1.0,293.0,15.0,-1.0,29.0,8.0,-1.0,-1.0
65,05/11/20,10009.0,401.0,-1.0,1256.0,463.0,-1.0,283.0,15.0,-1.0,27.0,7.0,-1.0,-1.0
