,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/06/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/07/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/08/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/09/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/10/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/11/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/12/20,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/13/20,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/14/20,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/15/20,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/16/20,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/17/20,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/18/20,33.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/19/20,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/20/20,96.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/21/20,118.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/22/20,165.0,0.0,-1.0,-1.0,-1.0,-1.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/23/20,174.0,0.0,-1.0,-1.0,-1.0,-1.0,22.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/24/20,218.0,0.0,-1.0,-1.0,-1.0,-1.0,28.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,03/25/20,280.0,2.0,11.0,-1.0,-1.0,-1.0,35.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,03/26/20,335.0,3.0,13.0,-1.0,-1.0,-1.0,41.0,1.0,2.0,-1.0,-1.0,3.0,-1.0
21,03/27/20,381.0,3.0,19.0,-1.0,-1.0,-1.0,41.0,1.0,4.0,-1.0,-1.0,5.0,-1.0
22,03/28/20,404.0,5.0,24.0,-1.0,-1.0,-1.0,41.0,1.0,4.0,-1.0,-1.0,5.0,-1.0
23,03/29/20,426.0,6.0,28.0,-1.0,-1.0,-1.0,37.0,1.0,4.0,-1.0,-1.0,5.0,-1.0
24,03/30/20,473.0,7.0,29.0,-1.0,-1.0,-1.0,43.0,1.0,4.0,-1.0,-1.0,5.0,-1.0
25,03/31/20,523.0,8.0,35.0,-1.0,-1.0,-1.0,44.0,1.0,4.0,-1.0,-1.0,5.0,-1.0
26,04/01/20,584.0,10.0,42.0,90.0,-1.0,-1.0,43.0,1.0,4.0,-1.0,-1.0,5.0,-1.0
27,04/02/20,643.0,12.0,47.0,100.0,-1.0,-1.0,44.0,1.0,5.0,10.0,-1.0,6.0,-1.0
28,04/03/20,704.0,12.0,60.0,105.0,-1.0,-1.0,46.0,1.0,6.0,8.0,-1.0,7.0,-1.0
29,04/04/20,743.0,14.0,79.0,106.0,-1.0,-1.0,48.0,1.0,8.0,5.0,-1.0,9.0,-1.0
30,04/05/20,830.0,16.0,97.0,130.0,-1.0,-1.0,58.0,1.0,10.0,10.0,-1.0,11.0,-1.0
31,04/06/20,875.0,16.0,102.0,137.0,-1.0,-1.0,57.0,1.0,10.0,9.0,-1.0,11.0,-1.0
32,04/07/20,946.0,16.0,142.0,148.0,-1.0,-1.0,60.0,1.0,15.0,10.0,-1.0,16.0,-1.0
33,04/08/20,1000.0,18.0,208.0,-1.0,43.0,-1.0,59.0,1.0,24.0,10.0,-1.0,25.0,-1.0
34,04/09/20,1119.0,21.0,288.0,148.0,43.0,-1.0,68.0,1.0,34.0,10.0,0.0,35.0,-1.0
35,04/10/20,1171.0,23.0,312.0,148.0,43.0,-1.0,67.0,2.0,36.0,9.0,0.0,38.0,-1.0
36,04/11/20,1226.0,24.0,340.0,148.0,43.0,-1.0,69.0,1.0,37.0,8.0,0.0,38.0,-1.0
37,04/12/20,1280.0,27.0,367.0,148.0,43.0,-1.0,64.0,2.0,39.0,4.0,0.0,41.0,-1.0
38,04/13/20,1410.0,30.0,391.0,148.0,43.0,-1.0,76.0,2.0,41.0,2.0,0.0,43.0,-1.0
39,04/14/20,1480.0,30.0,427.0,148.0,43.0,-1.0,76.0,2.0,41.0,0.0,0.0,43.0,-1.0
40,04/15/20,1569.0,33.0,489.0,148.0,43.0,-1.0,81.0,2.0,40.0,0.0,0.0,42.0,-1.0
41,04/16/20,1620.0,37.0,548.0,-1.0,-1.0,-1.0,72.0,2.0,37.0,0.0,0.0,39.0,-1.0
42,04/17/20,1695.0,37.0,593.0,-1.0,-1.0,-1.0,75.0,2.0,40.0,0.0,0.0,42.0,-1.0
43,04/18/20,1739.0,38.0,703.0,291.0,-1.0,-1.0,73.0,2.0,52.0,0.0,0.0,54.0,-1.0
44,04/19/20,1781.0,40.0,721.0,291.0,-1.0,-1.0,72.0,2.0,51.0,0.0,0.0,53.0,-1.0
45,04/20/20,1923.0,42.0,749.0,291.0,-1.0,-1.0,73.0,2.0,51.0,0.0,0.0,53.0,-1.0
46,04/21/20,2227.0,43.0,809.0,291.0,-1.0,-1.0,107.0,2.0,55.0,0.0,0.0,57.0,-1.0
47,04/22/20,2276.0,-1.0,863.0,291.0,-1.0,-1.0,101.0,2.0,53.0,0.0,-1.0,55.0,-1.0
48,04/23/20,2465.0,45.0,902.0,291.0,-1.0,-1.0,121.0,1.0,51.0,0.0,-1.0,52.0,-1.0
49,04/24/20,2741.0,45.0,929.0,291.0,-1.0,-1.0,149.0,1.0,48.0,0.0,-1.0,49.0,-1.0
50,04/25/20,2829.0,47.0,964.0,291.0,-1.0,-1.0,156.0,1.0,37.0,0.0,-1.0,38.0,-1.0
51,04/26/20,2941.0,49.0,985.0,291.0,-1.0,-1.0,166.0,1.0,38.0,0.0,-1.0,39.0,-1.0
52,04/27/20,3017.0,50.0,987.0,-1.0,-1.0,-1.0,156.0,1.0,34.0,0.0,-1.0,35.0,-1.0
53,04/28/20,3111.0,52.0,1146.0,-1.0,-1.0,-1.0,126.0,1.0,48.0,0.0,-1.0,49.0,-1.0
54,04/29/20,3192.0,59.0,1249.0,389.0,-1.0,-1.0,131.0,2.0,55.0,0.0,-1.0,57.0,-1.0
55,04/30/20,3255.0,61.0,1305.0,402.0,-1.0,-1.0,113.0,2.0,58.0,3.0,-1.0,60.0,-1.0
56,05/01/20,3321.0,64.0,1973.0,414.0,-1.0,-1.0,83.0,3.0,149.0,6.0,-1.0,152.0,-1.0
57,05/02/20,3372.0,73.0,1987.0,414.0,-1.0,-1.0,78.0,4.0,146.0,6.0,-1.0,150.0,-1.0
58,05/03/20,3431.0,76.0,1999.0,427.0,-1.0,-1.0,70.0,4.0,145.0,10.0,-1.0,149.0,-1.0
59,05/04/20,3458.0,81.0,2016.0,438.0,-1.0,-1.0,63.0,4.0,147.0,10.0,-1.0,151.0,-1.0
60,05/05/20,3496.0,83.0,2041.0,453.0,-1.0,-1.0,55.0,4.0,128.0,11.0,-1.0,132.0,-1.0
61,05/06/20,3568.0,85.0,2109.0,453.0,-1.0,-1.0,54.0,4.0,123.0,9.0,-1.0,127.0,-1.0
62,05/07/20,3611.0,87.0,2123.0,462.0,-1.0,-1.0,51.0,4.0,117.0,9.0,-1.0,121.0,-1.0
63,05/08/20,3694.0,88.0,2159.0,466.0,-1.0,-1.0,53.0,3.0,27.0,7.0,-1.0,30.0,-1.0
64,05/09/20,3747.0,88.0,2968.0,471.0,-1.0,-1.0,54.0,2.0,140.0,8.0,-1.0,142.0,-1.0
65,05/10/20,3747.0,88.0,2968.0,471.0,-1.0,-1.0,45.0,2.0,138.0,6.0,-1.0,140.0,-1.0
66,05/11/20,4034.0,94.0,3149.0,480.0,-1.0,-1.0,82.0,2.0,162.0,6.0,-1.0,164.0,-1.0
67,05/12/20,4164.0,95.0,3220.0,485.0,-1.0,-1.0,95.0,2.0,168.0,5.0,-1.0,170.0,-1.0
68,05/13/20,4164.0,95.0,3220.0,497.0,-1.0,-1.0,85.0,1.0,159.0,6.0,-1.0,160.0,-1.0
69,05/14/20,4236.0,97.0,3277.0,509.0,-1.0,-1.0,89.0,1.0,165.0,7.0,-1.0,166.0,-1.0
70,05/15/20,4463.0,98.0,3390.0,520.0,-1.0,-1.0,110.0,1.0,176.0,8.0,-1.0,177.0,-1.0
71,05/16/20,4578.0,98.0,3472.0,520.0,-1.0,-1.0,119.0,1.0,72.0,7.0,-1.0,73.0,-1.0
72,05/17/20,4759.0,98.0,3590.0,520.0,-1.0,-1.0,145.0,1.0,89.0,7.0,-1.0,90.0,-1.0
73,05/18/20,4813.0,100.0,3645.0,530.0,-1.0,-1.0,111.0,1.0,71.0,7.0,-1.0,72.0,-1.0
74,05/19/20,4923.0,102.0,3739.0,535.0,-1.0,-1.0,108.0,1.0,74.0,7.0,-1.0,75.0,-1.0
75,05/20/20,5003.0,107.0,3852.0,535.0,-1.0,-1.0,120.0,2.0,90.0,5.0,-1.0,92.0,-1.0
76,05/21/20,5458.0,110.0,3915.0,535.0,-1.0,-1.0,175.0,2.0,91.0,4.0,-1.0,93.0,-1.0
77,05/22/20,5612.0,113.0,4029.0,584.0,-1.0,-1.0,164.0,2.0,91.0,9.0,-1.0,93.0,-1.0
78,05/23/20,5612.0,113.0,4029.0,590.0,-1.0,-1.0,148.0,2.0,80.0,10.0,-1.0,82.0,-1.0
79,05/24/20,5922.0,116.0,4148.0,598.0,-1.0,-1.0,166.0,3.0,80.0,11.0,-1.0,83.0,-1.0
80,05/25/20,6029.0,117.0,4249.0,605.0,-1.0,-1.0,174.0,2.0,86.0,11.0,-1.0,88.0,-1.0
81,05/26/20,6180.0,119.0,4332.0,617.0,-1.0,-1.0,180.0,2.0,85.0,12.0,-1.0,87.0,-1.0
82,05/27/20,6277.0,120.0,4424.0,627.0,-1.0,-1.0,182.0,2.0,82.0,13.0,-1.0,84.0,-1.0
83,05/28/20,6538.0,120.0,4583.0,640.0,-1.0,-1.0,154.0,1.0,95.0,15.0,-1.0,96.0,-1.0
84,05/29/20,6538.0,125.0,4583.0,667.0,-1.0,-1.0,132.0,2.0,79.0,12.0,-1.0,81.0,-1.0
85,05/30/20,7013.0,133.0,5166.0,702.0,-1.0,-1.0,200.0,3.0,162.0,16.0,-1.0,165.0,-1.0
86,05/31/20,7253.0,133.0,5275.0,711.0,-1.0,-1.0,190.0,2.0,161.0,16.0,-1.0,163.0,-1.0
87,06/01/20,7443.0,133.0,5401.0,711.0,-1.0,-1.0,202.0,2.0,165.0,15.0,-1.0,167.0,-1.0
