,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/04/20,2,0.0,0,4.0,0,0,0,0,0,0,0,0,0
1,03/05/20,2,0.0,0,5.0,0,0,0,0,0,0,0,0,0
2,03/06/20,3,0.0,0,6.0,0,0,0,0,0,0,0,0,0
3,03/07/20,5,0.0,0,6.0,0,0,0,0,0,0,0,0,0
4,03/08/20,5,0.0,0,6.0,0,0,0,0,0,0,0,0,0
5,03/09/20,5,0.0,0,8.0,0,0,0,0,0,0,0,0,0
6,03/10/20,6,0.0,0,8.0,0,0,0,0,0,0,0,0,0
7,03/11/20,9,0.0,0,11.0,0,0,1,0,0,1,0,0,0
8,03/12/20,9,0.0,0,16.0,0,0,1,0,0,1,0,0,0
9,03/13/20,9,0.0,0,22.0,0,0,0,0,0,2,0,0,0
10,03/14/20,12,0.0,0,26.0,0,0,1,0,0,2,0,0,0
11,03/15/20,12,0.0,0,36.0,0,0,1,0,0,4,0,0,0
12,03/16/20,18,0.0,0,42.0,0,0,1,0,0,4,0,0,0
13,03/17/20,20,0.0,0,55.0,0,0,2,0,0,6,0,0,0
14,03/18/20,28,0.0,0,67.0,0,0,2,0,0,8,0,0,0
15,03/19/20,44,0.0,0,85.0,0,0,5,0,0,9,0,0,0
16,03/20/20,65,0.0,0,108.0,0,0,8,0,0,12,0,0,0
17,03/21/20,104,1.0,0,128.0,0,0,13,0,0,14,0,0,0
18,03/22/20,152,2.0,0,145.0,0,0,20,0,0,15,0,0,0
19,03/23/20,265,2.0,0,189.0,0,0,35,0,0,21,0,0,0
20,03/24/20,357,5.0,0,219.0,0,0,48,0,0,23,0,0,0
21,03/25/20,450,6.0,0,264.0,0,0,60,0,0,28,0,0,0
22,03/26/20,577,8.0,0,303.0,0,0,76,1,0,31,0,1,0
23,03/27/20,736,13.0,0,343.0,0,0,95,1,0,33,0,1,0
24,03/28/20,873,15.0,0,386.0,0,0,109,2,0,36,0,2,0
25,03/29/20,919,17.0,0,427.0,0,0,109,2,0,40,0,2,0
26,03/30/20,1157,20.0,0,478.0,0,0,127,2,0,41,0,2,0
27,03/31/20,1289,24.0,0,534.0,0,0,133,2,0,45,0,2,0
28,04/01/20,1413,29.0,0,582.0,0,0,137,3,0,45,0,3,0
29,04/02/20,1598,32.0,0,616.0,0,0,145,3,0,44,0,3,0
30,04/03/20,1769,41.0,0,667.0,0,0,147,4,0,46,0,4,0
31,04/04/20,2019,52.0,0,711.0,0,0,163,5,0,46,0,5,0
32,04/05/20,2269,64.0,0,760.0,0,0,192,6,0,47,0,6,0
33,04/06/20,2456,65.0,0,819.0,0,0,185,6,0,48,0,6,0
34,04/07/20,2575,73.0,0,853.0,0,0,183,7,0,45,0,7,0
35,04/08/20,2726,80.0,0,906.0,0,0,187,7,0,46,0,7,0
36,04/09/20,3018,89.0,0,950.0,0,0,202,8,0,47,0,8,0
37,04/10/20,3112,97.0,0,995.0,0,0,191,8,0,46,0,8,0
38,04/11/20,3393,108.0,0,1037.0,0,0,196,8,0,46,0,8,0
39,04/12/20,3539,115.0,0,1074.0,0,0,181,7,0,44,0,7,0
40,04/13/20,3702,122.0,0,1122.0,0,0,178,8,0,43,0,8,0
41,04/14/20,3806,131.0,249,1171.0,0,0,175,8,35,45,0,43,0
42,04/15/20,3962,142.0,385,1213.0,0,0,176,8,55,43,0,63,0
43,04/16/20,4234,150.0,460,1258.0,0,0,173,8,65,44,0,73,0
44,04/17/20,4507,169.0,539,1289.0,0,0,199,10,77,42,0,87,0
45,04/18/20,4719,177.0,539,1341.0,0,0,189,9,77,43,0,86,0
46,04/19/20,4929,184.0,994,1387.0,0,0,198,9,142,44,0,151,0
47,04/20/20,5064,187.0,1155,1454.0,0,0,194,9,165,47,0,174,0
48,04/21/20,5251,208.0,1155,1484.0,0,0,206,11,129,44,0,140,0
49,04/22/20,5459,229.0,1265,1528.0,0,0,213,12,125,45,0,137,0
50,04/23/20,5769,249.0,1282,1572.0,0,0,219,14,117,44,0,131,0
51,04/24/20,6045,266.0,1313,1626.0,0,0,219,13,110,48,0,123,0
52,04/25/20,6280,266.0,1345,1672.0,0,0,223,12,115,47,0,127,0
53,04/26/20,6526,275.0,1383,1716.0,0,0,228,13,55,47,0,68,0
54,04/27/20,6716,275.0,1418,1772.0,0,0,236,12,37,45,0,49,0
55,04/28/20,6948,293.0,1450,1824.0,0,0,242,12,42,48,0,54,0
56,04/29/20,7202,304.0,1475,1884.0,0,0,249,10,30,50,0,40,0
57,04/30/20,7648,320.0,1499,1937.0,0,0,268,10,31,52,0,41,0
58,05/01/20,7962,330.0,1528,1986.0,0,0,273,9,30,51,0,39,0
