,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/05/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/06/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/07/20,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/08/20,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/09/20,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/10/20,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/11/20,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/12/20,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/13/20,72.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/14/20,101.0,1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/15/20,131.0,1.0,-1.0,-1.0,-1.0,-1.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/16/20,131.0,1.0,-1.0,-1.0,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/17/20,160.0,1.0,-1.0,-1.0,-1.0,-1.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/18/20,183.0,2.0,-1.0,-1.0,-1.0,1216.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/19/20,216.0,2.0,-1.0,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/20/20,277.0,3.0,-1.0,-1.0,-1.0,2952.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/21/20,363.0,4.0,-1.0,44.0,-1.0,3680.0,37.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/22/20,475.0,5.0,-1.0,49.0,-1.0,4550.0,49.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/23/20,591.0,6.0,-1.0,58.0,-1.0,5436.0,66.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,03/24/20,720.0,7.0,-1.0,72.0,-1.0,6224.0,80.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,03/25/20,912.0,11.0,-1.0,84.0,-1.0,7701.0,104.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,03/26/20,1086.0,19.0,-1.0,148.0,-1.0,8064.0,124.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,03/27/20,1430.0,24.0,-1.0,184.0,-1.0,8064.0,165.0,3.0,-1.0,-1.0,-1.0,-1.0,730.0
23,03/28/20,1734.0,31.0,-1.0,239.0,-1.0,11676.0,196.0,4.0,-1.0,28.0,-1.0,-1.0,1142.0
24,03/29/20,2061.0,44.0,-1.0,274.0,-1.0,13276.0,227.0,6.0,-1.0,32.0,-1.0,-1.0,1247.0
25,03/30/20,2627.0,51.0,-1.0,414.0,-1.0,14470.0,291.0,6.0,-1.0,51.0,-1.0,-1.0,1291.0
26,03/31/20,2627.0,51.0,-1.0,414.0,-1.0,15364.0,272.0,6.0,-1.0,49.0,-1.0,-1.0,1306.0
27,04/01/20,2966.0,69.0,-1.0,509.0,-1.0,15364.0,293.0,8.0,-1.0,61.0,-1.0,-1.0,1095.0
28,04/02/20,3342.0,80.0,-1.0,620.0,-1.0,18645.0,322.0,9.0,-1.0,67.0,-1.0,-1.0,1512.0
29,04/03/20,3728.0,97.0,-1.0,710.0,-1.0,19788.0,328.0,10.0,-1.0,75.0,-1.0,-1.0,1675.0
30,04/04/20,4173.0,111.0,-1.0,823.0,-1.0,22071.0,348.0,11.0,-1.0,83.0,-1.0,-1.0,1485.0
31,04/05/20,4565.0,126.0,-1.0,875.0,-1.0,23900.0,358.0,12.0,-1.0,86.0,-1.0,-1.0,1518.0
32,04/06/20,4950.0,140.0,-1.0,924.0,-1.0,25773.0,332.0,13.0,-1.0,73.0,-1.0,-1.0,1615.0
33,04/07/20,5172.0,150.0,-1.0,994.0,-1.0,26875.0,364.0,14.0,-1.0,83.0,-1.0,-1.0,1644.0
34,04/08/20,5429.0,179.0,-1.0,1079.0,-1.0,28094.0,352.0,16.0,-1.0,81.0,-1.0,-1.0,1819.0
35,04/09/20,5655.0,193.0,-1.0,1162.0,-1.0,-1.0,330.0,16.0,-1.0,77.0,-1.0,-1.0,-1.0
36,04/10/20,6510.0,250.0,-1.0,1312.0,-1.0,31180.0,397.0,22.0,-1.0,86.0,-1.0,-1.0,-1.0
37,04/11/20,6510.0,250.0,-1.0,1312.0,-1.0,32653.0,334.0,20.0,-1.0,70.0,-1.0,-1.0,-1.0
38,04/12/20,6893.0,274.0,-1.0,1376.0,-1.0,34873.0,333.0,21.0,-1.0,72.0,-1.0,-1.0,-1.0
39,04/13/20,7684.0,304.0,-1.0,1472.0,-1.0,37153.0,391.0,23.0,-1.0,78.0,-1.0,-1.0,-1.0
40,04/14/20,7691.0,308.0,-1.0,1493.0,-1.0,38742.0,360.0,23.0,-1.0,71.0,-1.0,-1.0,-1.0
41,04/15/20,7941.0,329.0,-1.0,1556.0,-1.0,39580.0,359.0,21.0,-1.0,68.0,-1.0,-1.0,-1.0
42,04/16/20,8280.0,357.0,-1.0,1636.0,-1.0,40533.0,375.0,23.0,-1.0,68.0,-1.0,-1.0,-1.0
43,04/17/20,8675.0,374.0,-1.0,1693.0,-1.0,41830.0,309.0,18.0,-1.0,54.0,-1.0,-1.0,1521.0
44,04/18/20,9047.0,391.0,-1.0,1755.0,-1.0,43307.0,362.0,20.0,-1.0,63.0,-1.0,-1.0,1522.0
