,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/07/20,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
1,03/08/20,1.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
2,03/09/20,1.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
3,03/10/20,2.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
4,03/11/20,3.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
5,03/12/20,6.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
6,03/13/20,6.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
7,03/14/20,11.0,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0
8,03/15/20,20.0,0,0.0,0.0,0,0.0,2,0,0,0,0,0,0
9,03/16/20,26.0,0,0.0,0.0,0,0.0,3,0,0,0,0,0,0
10,03/17/20,41.0,0,0.0,0.0,0,0.0,5,0,0,0,0,0,0
11,03/18/20,68.0,0,0.0,0.0,0,0.0,9,0,0,0,0,0,0
12,03/19/20,96.0,1,0.0,0.0,0,0.0,12,0,0,0,0,0,0
13,03/20/20,194.0,3,0.0,0.0,0,0.0,26,0,0,0,0,0,0
14,03/21/20,194.0,4,0.0,0.0,0,0.0,26,0,0,0,0,0,0
15,03/22/20,223.0,5,0.0,0.0,0,0.0,29,0,0,0,0,0,0
16,03/23/20,415.0,10,0.0,0.0,0,0.0,55,1,0,0,0,1,0
17,03/24/20,618.0,12,0.0,0.0,0,0.0,82,1,0,0,0,1,0
18,03/25/20,875.0,19,0.0,0.0,0,0.0,115,2,0,0,0,2,0
19,03/26/20,1012.0,21,0.0,0.0,0,0.0,130,2,0,0,0,2,0
20,03/27/20,1291.0,27,0.0,0.0,0,0.0,156,3,0,0,0,3,0
21,03/28/20,1291.0,27,0.0,0.0,0,0.0,156,3,0,0,0,3,0
22,03/29/20,1993.0,34,0.0,0.0,0,0.0,252,4,0,0,0,4,0
23,03/30/20,2571.0,36,0.0,0.0,0,0.0,308,3,0,0,0,3,0
24,03/31/20,3128.0,69,0.0,0.0,0,0.0,358,8,0,0,0,8,0
25,04/01/20,3557.0,85,0.0,0.0,0,0.0,383,9,0,0,0,9,0
26,04/02/20,3824.0,112,0.0,0.0,0,0.0,401,13,0,0,0,13,0
27,04/03/20,4914.0,131,0.0,0.0,0,0.0,517,14,0,0,0,14,0
28,04/04/20,5276.0,165,0.0,0.0,0,0.0,569,19,0,0,0,19,0
29,04/05/20,5675.0,189,0.0,0.0,0,0.0,526,22,0,0,0,22,0
30,04/06/20,6906.0,206,0.0,0.0,0,0.0,619,24,0,0,0,24,0
31,04/07/20,7781.0,277,0.0,0.0,0,0.0,664,29,0,0,0,29,0
32,04/08/20,7781.0,277,0.0,0.0,0,0.0,603,27,0,0,0,27,0
33,04/09/20,9784.0,380,0.0,0.0,0,0.0,851,38,0,0,0,38,0
34,04/10/20,10538.0,448,0.0,0.0,0,0.0,803,45,0,0,0,45,0
35,04/11/20,11510.0,494,0.0,0.0,0,0.0,890,47,0,0,0,47,0
36,04/12/20,12035.0,554,0.0,0.0,0,0.0,908,52,0,0,0,52,0
