,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/05/20,0.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/06/20,0.0,-1.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0
2,03/07/20,0.0,-1.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
3,03/08/20,1.0,-1.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0
4,03/09/20,1.0,-1.0,-1.0,-1.0,-1.0,15.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0
5,03/10/20,5.0,-1.0,-1.0,-1.0,-1.0,22.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
6,03/11/20,5.0,-1.0,-1.0,-1.0,-1.0,25.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
7,03/12/20,10.0,-1.0,-1.0,-1.0,-1.0,30.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
8,03/13/20,10.0,-1.0,-1.0,-1.0,-1.0,30.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
9,03/14/20,10.0,-1.0,-1.0,-1.0,-1.0,59.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0
10,03/15/20,16.0,-1.0,-1.0,-1.0,-1.0,95.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0
11,03/16/20,17.0,-1.0,-1.0,-1.0,-1.0,113.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0
12,03/17/20,22.0,-1.0,-1.0,-1.0,-1.0,126.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0
13,03/18/20,31.0,-1.0,-1.0,-1.0,-1.0,169.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.0
14,03/19/20,39.0,0.0,-1.0,-1.0,-1.0,192.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0
15,03/20/20,71.0,1.0,-1.0,-1.0,-1.0,572.0,9.0,1.0,-1.0,-1.0,-1.0,-1.0,77.0
16,03/21/20,77.0,1.0,-1.0,-1.0,-1.0,583.0,10.0,0.0,-1.0,-1.0,-1.0,-1.0,75.0
17,03/22/20,98.0,1.0,-1.0,-1.0,-1.0,1055.0,12.0,0.0,-1.0,-1.0,-1.0,-1.0,137.0
18,03/23/20,116.0,2.0,-1.0,-1.0,-1.0,1229.0,14.0,0.0,-1.0,-1.0,-1.0,-1.0,159.0
19,03/24/20,137.0,2.0,-1.0,-1.0,-1.0,1332.0,16.0,0.0,-1.0,-1.0,-1.0,-1.0,172.0
20,03/25/20,183.0,2.0,-1.0,-1.0,-1.0,1606.0,22.0,0.0,-1.0,-1.0,-1.0,-1.0,205.0
21,03/26/20,231.0,3.0,21.0,-1.0,-1.0,1857.0,27.0,0.0,-1.0,-1.0,-1.0,-1.0,238.0
22,03/27/20,267.0,3.0,49.0,-1.0,-1.0,2164.0,28.0,0.0,28.0,-1.0,-1.0,28.0,227.0
23,03/28/20,304.0,4.0,51.0,-1.0,-1.0,2515.0,32.0,0.0,15.0,-1.0,-1.0,15.0,276.0
24,03/29/20,342.0,5.0,66.0,-1.0,-1.0,2811.0,35.0,1.0,15.0,-1.0,-1.0,16.0,251.0
25,03/30/20,401.0,9.0,106.0,-1.0,-1.0,3083.0,41.0,1.0,21.0,-1.0,-1.0,22.0,265.0
26,03/31/20,495.0,9.0,121.0,-1.0,-1.0,3757.0,51.0,1.0,20.0,-1.0,-1.0,21.0,346.0
