,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/06/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/07/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/08/20,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/09/20,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/10/20,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/11/20,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/12/20,4.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/13/20,4.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/14/20,6.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/15/20,6.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/16/20,8.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/17/20,16.0,0.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/18/20,25.0,0.0,-1.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/19/20,30.0,0.0,-1.0,-1.0,-1.0,-1.0,4.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/20/20,38.0,0.0,-1.0,-1.0,-1.0,-1.0,5.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/21/20,45.0,0.0,-1.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/22/20,56.0,0.0,-1.0,-1.0,-1.0,-1.0,7.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/23/20,68.0,0.0,-1.0,-1.0,-1.0,-1.0,9.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/24/20,91.0,1.0,-1.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,03/25/20,115.0,2.0,-1.0,-1.0,-1.0,-1.0,13.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,03/26/20,130.0,3.0,4.0,-1.0,-1.0,-1.0,14.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,03/27/20,163.0,5.0,9.0,-1.0,-1.0,-1.0,18.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,03/28/20,214.0,9.0,9.0,-1.0,-1.0,-1.0,24.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,03/29/20,232.0,10.0,9.0,-1.0,-1.0,-1.0,25.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,03/30/20,264.0,11.0,9.0,-1.0,-1.0,-1.0,28.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,03/31/20,319.0,12.0,22.0,-1.0,-1.0,-1.0,33.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,04/01/20,368.0,13.0,49.0,-1.0,-1.0,-1.0,36.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,04/02/20,393.0,16.0,49.0,-1.0,-1.0,-1.0,38.0,2.0,6.0,-1.0,-1.0,8.0,-1.0
28,04/03/20,450.0,17.0,71.0,-1.0,-1.0,-1.0,41.0,2.0,9.0,-1.0,-1.0,11.0,-1.0
29,04/04/20,593.0,17.0,71.0,-1.0,-1.0,-1.0,54.0,1.0,9.0,-1.0,-1.0,10.0,-1.0
30,04/05/20,673.0,19.0,71.0,-1.0,-1.0,-1.0,63.0,1.0,9.0,-1.0,-1.0,10.0,-1.0
31,04/06/20,673.0,24.0,71.0,-1.0,-1.0,-1.0,58.0,2.0,9.0,-1.0,-1.0,11.0,-1.0
32,04/07/20,928.0,28.0,144.0,-1.0,-1.0,-1.0,87.0,2.0,17.0,-1.0,-1.0,19.0,-1.0
33,04/08/20,928.0,32.0,144.0,-1.0,-1.0,-1.0,80.0,3.0,14.0,-1.0,-1.0,17.0,-1.0
34,04/09/20,1207.0,34.0,173.0,-1.0,-1.0,-1.0,116.0,3.0,18.0,-1.0,-1.0,21.0,-1.0
35,04/10/20,1326.0,36.0,177.0,-1.0,-1.0,-1.0,125.0,3.0,15.0,-1.0,-1.0,18.0,-1.0
36,04/11/20,1479.0,43.0,191.0,-1.0,-1.0,-1.0,127.0,4.0,17.0,-1.0,-1.0,21.0,-1.0
37,04/12/20,1479.0,48.0,191.0,-1.0,-1.0,-1.0,115.0,4.0,17.0,-1.0,-1.0,21.0,-1.0
38,04/13/20,1625.0,53.0,213.0,-1.0,-1.0,-1.0,136.0,4.0,20.0,-1.0,-1.0,24.0,-1.0
39,04/14/20,1761.0,60.0,277.0,-1.0,-1.0,-1.0,119.0,5.0,19.0,-1.0,-1.0,24.0,-1.0
40,04/15/20,2014.0,67.0,354.0,-1.0,-1.0,-1.0,155.0,5.0,30.0,-1.0,-1.0,35.0,-1.0
41,04/16/20,2075.0,70.0,378.0,-1.0,-1.0,-1.0,124.0,5.0,29.0,-1.0,-1.0,34.0,-1.0
42,04/17/20,2323.0,76.0,423.0,-1.0,-1.0,-1.0,142.0,6.0,35.0,-1.0,-1.0,41.0,-1.0
43,04/18/20,2323.0,86.0,423.0,-1.0,-1.0,-1.0,121.0,6.0,33.0,-1.0,-1.0,39.0,-1.0
44,04/19/20,2538.0,90.0,466.0,-1.0,-1.0,-1.0,151.0,6.0,39.0,-1.0,-1.0,45.0,-1.0
45,04/20/20,2745.0,99.0,495.0,-1.0,-1.0,-1.0,160.0,7.0,40.0,-1.0,-1.0,47.0,-1.0
46,04/21/20,2931.0,104.0,565.0,-1.0,-1.0,-1.0,167.0,6.0,41.0,-1.0,-1.0,47.0,-1.0
47,04/22/20,3200.0,117.0,599.0,-1.0,-1.0,-1.0,169.0,7.0,35.0,-1.0,-1.0,42.0,-1.0
48,04/23/20,3308.0,131.0,643.0,-1.0,-1.0,-1.0,176.0,9.0,38.0,-1.0,-1.0,47.0,-1.0
49,04/24/20,3442.0,147.0,703.0,-1.0,-1.0,-1.0,160.0,10.0,40.0,-1.0,-1.0,50.0,-1.0
50,04/25/20,3576.0,155.0,809.0,-1.0,-1.0,-1.0,179.0,10.0,55.0,-1.0,-1.0,65.0,-1.0
51,04/26/20,4034.0,168.0,911.0,-1.0,-1.0,-1.0,214.0,11.0,64.0,-1.0,-1.0,75.0,-1.0
52,04/27/20,4162.0,181.0,996.0,-1.0,-1.0,-1.0,202.0,12.0,72.0,-1.0,-1.0,84.0,-1.0
