,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/16/20,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/17/20,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/18/20,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/19/20,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/20/20,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/21/20,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/22/20,27.0,1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/23/20,29.0,1.0,-1.0,-1.0,-1.0,-1.0,4.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/24/20,32.0,1.0,-1.0,-1.0,-1.0,-1.0,4.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/25/20,37.0,1.0,-1.0,-1.0,-1.0,-1.0,4.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/26/20,45.0,1.0,-1.0,-1.0,-1.0,-1.0,5.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/27/20,51.0,1.0,-1.0,-1.0,-1.0,-1.0,5.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/28/20,55.0,1.0,7.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/29/20,56.0,1.0,7.0,-1.0,-1.0,-1.0,4.0,0.0,0.0,-1.0,-1.0,0.0,-1.0
14,03/30/20,58.0,1.0,7.0,-1.0,-1.0,-1.0,4.0,0.0,0.0,-1.0,-1.0,0.0,-1.0
15,03/31/20,69.0,2.0,7.0,-1.0,-1.0,-1.0,5.0,0.0,0.0,-1.0,-1.0,0.0,-1.0
16,04/01/20,77.0,3.0,9.0,-1.0,-1.0,-1.0,6.0,0.0,0.0,-1.0,-1.0,0.0,-1.0
17,04/02/20,82.0,3.0,12.0,-1.0,-1.0,-1.0,5.0,0.0,1.0,-1.0,-1.0,1.0,-1.0
