,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/06/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/07/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/08/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/09/20,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/10/20,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/11/20,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/12/20,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/13/20,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/14/20,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/15/20,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/16/20,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/17/20,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/18/20,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/19/20,38.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/20/20,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/21/20,68.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/22/20,90.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/23/20,105.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/24/20,124.0,-1.0,-1.0,27.0,-1.0,-1.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,03/25/20,145.0,1.0,-1.0,36.0,-1.0,-1.0,17.0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0
20,03/26/20,179.0,1.0,15.0,46.0,-1.0,-1.0,20.0,0.0,-1.0,10.0,-1.0,-1.0,-1.0
21,03/27/20,235.0,3.0,18.0,50.0,-1.0,-1.0,27.0,1.0,3.0,8.0,-1.0,4.0,-1.0
22,03/28/20,298.0,3.0,-1.0,61.0,-1.0,-1.0,33.0,1.0,3.0,8.0,-1.0,4.0,-1.0
23,03/29/20,336.0,4.0,18.0,68.0,-1.0,-1.0,35.0,1.0,3.0,8.0,-1.0,4.0,-1.0
24,03/30/20,424.0,6.0,23.0,74.0,-1.0,-1.0,46.0,1.0,4.0,8.0,-1.0,5.0,-1.0
25,03/31/20,497.0,7.0,33.0,94.0,-1.0,-1.0,53.0,1.0,6.0,10.0,-1.0,7.0,-1.0
26,04/01/20,549.0,9.0,118.0,99.0,-1.0,-1.0,58.0,1.0,26.0,9.0,-1.0,27.0,-1.0
27,04/02/20,614.0,11.0,-1.0,120.0,-1.0,-1.0,62.0,1.0,26.0,11.0,-1.0,27.0,-1.0
28,04/03/20,699.0,11.0,188.0,138.0,-1.0,-1.0,66.0,1.0,33.0,13.0,-1.0,34.0,-1.0
29,04/04/20,786.0,14.0,188.0,153.0,-1.0,-1.0,70.0,2.0,25.0,13.0,-1.0,27.0,-1.0
30,04/05/20,868.0,22.0,188.0,165.0,-1.0,-1.0,76.0,3.0,20.0,14.0,-1.0,23.0,-1.0
31,04/06/20,946.0,25.0,284.0,179.0,-1.0,-1.0,75.0,3.0,38.0,15.0,-1.0,41.0,-1.0
32,04/07/20,1048.0,26.0,341.0,193.0,-1.0,-1.0,79.0,3.0,48.0,14.0,-1.0,51.0,-1.0
33,04/08/20,1145.0,27.0,431.0,193.0,-1.0,-1.0,85.0,3.0,49.0,13.0,-1.0,52.0,-1.0
34,04/09/20,1270.0,29.0,476.0,-1.0,-1.0,-1.0,94.0,3.0,48.0,12.0,-1.0,51.0,-1.0
35,04/10/20,1388.0,31.0,506.0,-1.0,-1.0,-1.0,98.0,3.0,45.0,11.0,-1.0,48.0,-1.0
36,04/11/20,1510.0,34.0,585.0,-1.0,-1.0,-1.0,103.0,3.0,57.0,10.0,-1.0,60.0,-1.0
37,04/12/20,1587.0,41.0,674.0,-1.0,-1.0,-1.0,103.0,3.0,69.0,9.0,-1.0,72.0,-1.0
38,04/13/20,1710.0,43.0,741.0,-1.0,-1.0,-1.0,109.0,3.0,65.0,7.0,-1.0,68.0,-1.0
39,04/14/20,1899.0,49.0,741.0,-1.0,-1.0,-1.0,122.0,3.0,57.0,0.0,-1.0,60.0,-1.0
40,04/15/20,1995.0,53.0,908.0,-1.0,-1.0,-1.0,121.0,4.0,68.0,-1.0,-1.0,72.0,-1.0
41,04/16/20,2141.0,60.0,987.0,-1.0,-1.0,-1.0,124.0,4.0,73.0,-1.0,-1.0,77.0,-1.0
42,04/17/20,2332.0,64.0,1007.0,-1.0,-1.0,-1.0,135.0,5.0,72.0,-1.0,-1.0,77.0,-1.0
43,04/18/20,2513.0,74.0,1095.0,-1.0,-1.0,-1.0,143.0,6.0,73.0,-1.0,-1.0,79.0,-1.0
44,04/19/20,2902.0,75.0,1171.0,-1.0,-1.0,-1.0,188.0,5.0,71.0,-1.0,-1.0,76.0,-1.0
45,04/20/20,3159.0,79.0,1235.0,-1.0,-1.0,-1.0,207.0,5.0,71.0,-1.0,-1.0,76.0,-1.0
46,04/21/20,3641.0,83.0,1293.0,-1.0,-1.0,-1.0,249.0,5.0,79.0,-1.0,-1.0,84.0,-1.0
47,04/22/20,3748.0,90.0,1428.0,-1.0,-1.0,-1.0,250.0,5.0,74.0,-1.0,-1.0,79.0,-1.0
48,04/23/20,3924.0,96.0,1492.0,-1.0,-1.0,-1.0,255.0,5.0,72.0,-1.0,-1.0,77.0,-1.0
49,04/24/20,4445.0,107.0,1604.0,-1.0,-1.0,-1.0,302.0,6.0,85.0,-1.0,-1.0,91.0,-1.0
50,04/25/20,5092.0,112.0,1723.0,-1.0,-1.0,-1.0,368.0,5.0,90.0,-1.0,-1.0,95.0,-1.0
51,04/26/20,5476.0,118.0,1900.0,-1.0,-1.0,-1.0,368.0,6.0,104.0,-1.0,-1.0,110.0,-1.0
52,04/27/20,5868.0,127.0,2021.0,-1.0,-1.0,-1.0,387.0,7.0,112.0,-1.0,-1.0,119.0,-1.0
53,04/28/20,6376.0,136.0,2164.0,-1.0,-1.0,-1.0,391.0,8.0,124.0,-1.0,-1.0,132.0,-1.0
54,04/29/20,6843.0,148.0,2428.0,-1.0,-1.0,-1.0,442.0,8.0,143.0,-1.0,-1.0,151.0,-1.0
55,04/30/20,7145.0,162.0,2697.0,-1.0,-1.0,-1.0,460.0,9.0,172.0,-1.0,-1.0,181.0,-1.0
56,05/01/20,7884.0,170.0,2899.0,-1.0,-1.0,-1.0,491.0,9.0,185.0,-1.0,-1.0,194.0,-1.0
57,05/02/20,8641.0,175.0,3156.0,-1.0,-1.0,-1.0,507.0,9.0,205.0,-1.0,-1.0,214.0,-1.0
58,05/03/20,9169.0,184.0,3325.0,-1.0,-1.0,-1.0,528.0,9.0,204.0,-1.0,-1.0,213.0,-1.0
59,05/04/20,9703.0,188.0,3486.0,-1.0,-1.0,-1.0,548.0,9.0,209.0,-1.0,-1.0,218.0,-1.0
60,05/05/20,10111.0,207.0,3572.0,-1.0,-1.0,-1.0,534.0,10.0,201.0,-1.0,-1.0,211.0,-1.0
61,05/06/20,10404.0,219.0,3803.0,-1.0,-1.0,-1.0,509.0,10.0,196.0,-1.0,-1.0,206.0,-1.0
62,05/07/20,11059.0,231.0,4266.0,-1.0,-1.0,-1.0,559.0,10.0,224.0,-1.0,-1.0,234.0,-1.0
63,05/08/20,11457.0,243.0,4685.0,-1.0,-1.0,-1.0,510.0,10.0,255.0,-1.0,-1.0,265.0,-1.0
64,05/09/20,11671.0,252.0,5011.0,-1.0,-1.0,-1.0,433.0,11.0,265.0,-1.0,-1.0,276.0,-1.0
65,05/10/20,11959.0,265.0,5154.0,-1.0,-1.0,-1.0,399.0,12.0,261.0,-1.0,-1.0,273.0,-1.0
66,05/11/20,12373.0,271.0,5249.0,-1.0,-1.0,-1.0,381.0,12.0,252.0,-1.0,-1.0,264.0,-1.0
67,05/12/20,12912.0,289.0,5618.0,-1.0,-1.0,-1.0,400.0,12.0,292.0,-1.0,-1.0,304.0,-1.0
68,05/13/20,13289.0,306.0,5954.0,-1.0,-1.0,81288.0,412.0,12.0,307.0,-1.0,-1.0,319.0,-1.0
69,05/14/20,13675.0,318.0,6231.0,-1.0,-1.0,85719.0,374.0,12.0,281.0,-1.0,-1.0,293.0,4431.0
70,05/15/20,14049.0,336.0,6561.0,-1.0,-1.0,93566.0,370.0,13.0,268.0,-1.0,-1.0,281.0,6139.0
71,05/16/20,14328.0,346.0,6927.0,-1.0,-1.0,96300.0,380.0,13.0,274.0,-1.0,-1.0,287.0,5004.0
72,05/17/20,14651.0,351.0,7154.0,-1.0,-1.0,100241.0,385.0,12.0,286.0,-1.0,-1.0,298.0,4738.0
73,05/18/20,14955.0,355.0,7324.0,-1.0,-1.0,103148.0,369.0,12.0,296.0,-1.0,-1.0,308.0,4372.0
74,05/19/20,15349.0,372.0,8130.0,-1.0,-1.0,107648.0,348.0,12.0,359.0,-1.0,-1.0,371.0,4393.0
75,05/20/20,15614.0,388.0,8362.0,-1.0,-1.0,111007.0,332.0,12.0,344.0,-1.0,-1.0,356.0,4246.0
76,05/21/20,16170.0,406.0,8672.0,-1.0,-1.0,116828.0,356.0,13.0,349.0,-1.0,-1.0,362.0,4444.0
77,05/22/20,16504.0,425.0,9079.0,-1.0,-1.0,120514.0,351.0,13.0,360.0,-1.0,-1.0,373.0,3850.0
78,05/23/20,16893.0,444.0,9254.0,-1.0,-1.0,124214.0,366.0,14.0,332.0,-1.0,-1.0,346.0,3988.0
79,05/24/20,17252.0,454.0,9318.0,-1.0,-1.0,128040.0,372.0,15.0,309.0,-1.0,-1.0,324.0,3971.0
80,05/25/20,17577.0,459.0,9377.0,-1.0,-1.0,133046.0,375.0,15.0,293.0,-1.0,-1.0,308.0,4271.0
81,05/26/20,17703.0,478.0,9791.0,-1.0,-1.0,135307.0,336.0,15.0,237.0,-1.0,-1.0,252.0,3951.0
82,05/27/20,18360.0,491.0,10016.0,-1.0,-1.0,139946.0,392.0,15.0,236.0,-1.0,-1.0,251.0,4134.0
83,05/28/20,18573.0,504.0,10359.0,-1.0,-1.0,143359.0,343.0,14.0,241.0,-1.0,-1.0,255.0,3790.0
84,05/29/20,18926.0,522.0,10753.0,-1.0,-1.0,-1.0,346.0,14.0,239.0,-1.0,-1.0,253.0,3808.0
85,05/30/20,19244.0,531.0,11019.0,-1.0,-1.0,150851.0,336.0,12.0,252.0,-1.0,-1.0,264.0,3829.0
