,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/06/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/07/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/08/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/09/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/10/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/11/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/12/20,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/13/20,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/14/20,6.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/15/20,8.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/16/20,11.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/17/20,15.0,1.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/18/20,16.0,1.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/19/20,34.0,1.0,-1.0,-1.0,-1.0,-1.0,4.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/20/20,44.0,1.0,-1.0,-1.0,-1.0,-1.0,5.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/21/20,55.0,2.0,-1.0,-1.0,-1.0,-1.0,7.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/22/20,64.0,2.0,-1.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/23/20,82.0,2.0,-1.0,-1.0,-1.0,-1.0,10.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/24/20,98.0,2.0,-1.0,-1.0,-1.0,-1.0,12.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,03/25/20,126.0,3.0,-1.0,-1.0,-1.0,-1.0,16.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,03/26/20,168.0,3.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,03/27/20,202.0,4.0,-1.0,27.0,-1.0,-1.0,23.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,03/28/20,261.0,5.0,-1.0,27.0,-1.0,-1.0,29.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
23,03/29/20,319.0,6.0,-1.0,55.0,-1.0,-1.0,36.0,1.0,-1.0,14.0,-1.0,-1.0,-1.0
24,03/30/20,368.0,8.0,-1.0,66.0,-1.0,-1.0,41.0,1.0,-1.0,13.0,-1.0,-1.0,-1.0
25,03/31/20,428.0,9.0,-1.0,79.0,-1.0,-1.0,47.0,1.0,-1.0,13.0,-1.0,-1.0,-1.0
26,04/01/20,482.0,10.0,-1.0,114.0,-1.0,-1.0,51.0,1.0,-1.0,17.0,-1.0,-1.0,-1.0
27,04/02/20,552.0,13.0,-1.0,138.0,-1.0,-1.0,55.0,1.0,-1.0,18.0,-1.0,-1.0,-1.0
28,04/03/20,620.0,17.0,-1.0,151.0,-1.0,-1.0,60.0,2.0,-1.0,18.0,-1.0,-1.0,-1.0
29,04/04/20,698.0,21.0,-1.0,172.0,-1.0,-1.0,62.0,2.0,-1.0,21.0,-1.0,-1.0,-1.0
30,04/05/20,747.0,22.0,-1.0,183.0,-1.0,-1.0,61.0,2.0,-1.0,18.0,-1.0,-1.0,-1.0
31,04/06/20,845.0,25.0,-1.0,198.0,-1.0,-1.0,68.0,2.0,-1.0,19.0,-1.0,-1.0,-1.0
32,04/07/20,900.0,27.0,-1.0,223.0,-1.0,-1.0,67.0,3.0,-1.0,21.0,-1.0,-1.0,-1.0
33,04/08/20,1046.0,38.0,-1.0,223.0,-1.0,-1.0,81.0,4.0,-1.0,16.0,-1.0,-1.0,-1.0
34,04/09/20,1106.0,42.0,-1.0,263.0,-1.0,-1.0,79.0,4.0,-1.0,18.0,-1.0,-1.0,-1.0
35,04/10/20,1166.0,50.0,-1.0,274.0,-1.0,-1.0,78.0,5.0,-1.0,18.0,-1.0,-1.0,-1.0
36,04/11/20,1268.0,55.0,-1.0,293.0,-1.0,-1.0,81.0,5.0,-1.0,17.0,-1.0,-1.0,-1.0
37,04/12/20,1337.0,56.0,-1.0,298.0,-1.0,-1.0,84.0,5.0,-1.0,16.0,-1.0,-1.0,-1.0
38,04/13/20,1376.0,62.0,-1.0,309.0,-1.0,-1.0,76.0,5.0,-1.0,16.0,-1.0,-1.0,-1.0
39,04/14/20,1426.0,69.0,-1.0,327.0,-1.0,-1.0,75.0,6.0,-1.0,15.0,-1.0,-1.0,-1.0
40,04/15/20,1494.0,76.0,-1.0,342.0,-1.0,-1.0,64.0,5.0,-1.0,17.0,-1.0,-1.0,-1.0
41,04/16/20,1588.0,80.0,-1.0,359.0,-1.0,-1.0,69.0,5.0,-1.0,14.0,-1.0,-1.0,-1.0
42,04/17/20,1705.0,84.0,-1.0,375.0,-1.0,-1.0,77.0,5.0,-1.0,14.0,-1.0,-1.0,-1.0
43,04/18/20,1790.0,86.0,-1.0,383.0,-1.0,-1.0,75.0,4.0,-1.0,13.0,-1.0,-1.0,-1.0
44,04/19/20,1849.0,92.0,-1.0,390.0,-1.0,-1.0,73.0,5.0,-1.0,13.0,-1.0,-1.0,-1.0
45,04/20/20,1986.0,100.0,-1.0,405.0,-1.0,-1.0,87.0,5.0,-1.0,14.0,-1.0,-1.0,-1.0
46,04/21/20,2025.0,107.0,-1.0,419.0,-1.0,-1.0,86.0,5.0,-1.0,13.0,-1.0,-1.0,-1.0
47,04/22/20,2211.0,110.0,-1.0,432.0,-1.0,-1.0,102.0,5.0,-1.0,13.0,-1.0,-1.0,-1.0
48,04/23/20,2482.0,112.0,-1.0,442.0,-1.0,-1.0,128.0,5.0,-1.0,12.0,-1.0,-1.0,-1.0
49,04/24/20,2777.0,-1.0,-1.0,457.0,-1.0,-1.0,153.0,5.0,-1.0,12.0,-1.0,-1.0,-1.0
50,04/25/20,3056.0,117.0,-1.0,474.0,-1.0,-1.0,181.0,5.0,-1.0,13.0,-1.0,-1.0,-1.0
51,04/26/20,3174.0,118.0,-1.0,485.0,-1.0,-1.0,189.0,4.0,-1.0,14.0,-1.0,-1.0,-1.0
52,04/27/20,3328.0,120.0,-1.0,496.0,-1.0,-1.0,192.0,3.0,-1.0,13.0,-1.0,-1.0,-1.0
53,04/28/20,3491.0,124.0,-1.0,504.0,-1.0,-1.0,209.0,2.0,-1.0,12.0,-1.0,-1.0,-1.0
54,04/29/20,3738.0,125.0,266.0,515.0,198.0,-1.0,218.0,2.0,-1.0,12.0,-1.0,-1.0,-1.0
55,04/30/20,4238.0,129.0,272.0,523.0,201.0,-1.0,251.0,2.0,6.0,12.0,3.0,8.0,-1.0
56,05/01/20,4449.0,130.0,280.0,534.0,206.0,-1.0,239.0,2.0,7.0,11.0,4.0,9.0,-1.0
57,05/02/20,4746.0,131.0,286.0,541.0,206.0,-1.0,241.0,2.0,7.0,10.0,3.0,9.0,-1.0
58,05/03/20,5030.0,134.0,286.0,547.0,209.0,-1.0,265.0,2.0,5.0,9.0,3.0,7.0,-1.0
59,05/04/20,5245.0,136.0,291.0,553.0,209.0,-1.0,274.0,2.0,5.0,8.0,2.0,7.0,-1.0
60,05/05/20,5458.0,137.0,296.0,566.0,212.0,-1.0,281.0,2.0,5.0,9.0,2.0,7.0,-1.0
61,05/06/20,5734.0,144.0,318.0,571.0,213.0,-1.0,285.0,3.0,7.0,8.0,2.0,10.0,-1.0
62,05/07/20,6144.0,147.0,323.0,587.0,218.0,-1.0,272.0,3.0,7.0,9.0,2.0,10.0,-1.0
63,05/08/20,6501.0,152.0,332.0,608.0,223.0,-1.0,293.0,3.0,7.0,11.0,2.0,10.0,-1.0
64,05/09/20,6751.0,157.0,350.0,635.0,229.0,-1.0,286.0,4.0,9.0,13.0,3.0,13.0,-1.0
65,05/10/20,6948.0,157.0,371.0,657.0,231.0,-1.0,274.0,3.0,12.0,16.0,3.0,15.0,-1.0
66,05/11/20,7116.0,158.0,376.0,660.0,233.0,-1.0,267.0,3.0,12.0,15.0,3.0,15.0,-1.0
67,05/12/20,7116.0,158.0,376.0,660.0,233.0,-1.0,237.0,3.0,11.0,13.0,3.0,14.0,-1.0
68,05/13/20,7468.0,164.0,422.0,704.0,238.0,54025.0,248.0,3.0,15.0,19.0,4.0,18.0,-1.0
69,05/14/20,7468.0,164.0,422.0,704.0,238.0,57544.0,189.0,2.0,14.0,17.0,3.0,16.0,3519.0
70,05/15/20,7886.0,172.0,443.0,724.0,246.0,61488.0,198.0,3.0,16.0,17.0,3.0,19.0,3732.0
71,05/16/20,7886.0,172.0,443.0,724.0,246.0,61488.0,162.0,2.0,13.0,13.0,2.0,15.0,2488.0
72,05/17/20,7886.0,172.0,443.0,724.0,246.0,61488.0,134.0,2.0,10.0,10.0,2.0,12.0,1866.0
73,05/18/20,8340.0,173.0,465.0,740.0,250.0,66882.0,175.0,2.0,13.0,11.0,2.0,15.0,2571.0
74,05/19/20,8340.0,173.0,465.0,740.0,250.0,66882.0,175.0,2.0,13.0,11.0,2.0,15.0,2143.0
75,05/20/20,8539.0,178.0,473.0,760.0,258.0,71048.0,153.0,2.0,7.0,8.0,3.0,9.0,2432.0
76,05/21/20,8539.0,178.0,473.0,760.0,258.0,71048.0,153.0,2.0,7.0,8.0,3.0,9.0,1929.0
77,05/22/20,8958.0,185.0,485.0,787.0,269.0,76280.0,153.0,2.0,6.0,9.0,3.0,8.0,2113.0
78,05/23/20,8958.0,185.0,485.0,787.0,269.0,76280.0,153.0,2.0,6.0,9.0,3.0,8.0,2113.0
79,05/24/20,8958.0,185.0,485.0,787.0,269.0,76280.0,153.0,2.0,6.0,9.0,3.0,8.0,2113.0
80,05/25/20,9218.0,188.0,493.0,800.0,271.0,81245.0,125.0,2.0,4.0,9.0,3.0,6.0,2052.0
81,05/26/20,9218.0,188.0,493.0,800.0,271.0,81245.0,125.0,2.0,4.0,9.0,3.0,6.0,2052.0
82,05/27/20,9337.0,205.0,534.0,822.0,275.0,84333.0,114.0,4.0,9.0,9.0,2.0,13.0,1898.0
83,05/28/20,9337.0,205.0,534.0,822.0,275.0,84333.0,114.0,4.0,9.0,9.0,2.0,13.0,1898.0
84,05/29/20,9719.0,208.0,547.0,842.0,284.0,94780.0,109.0,3.0,9.0,8.0,2.0,12.0,2643.0
85,05/30/20,9719.0,208.0,547.0,842.0,284.0,94780.0,109.0,3.0,9.0,8.0,2.0,12.0,2643.0
86,05/31/20,9719.0,208.0,547.0,842.0,284.0,-1.0,109.0,3.0,9.0,8.0,2.0,12.0,3083.0
87,06/01/20,10011.0,217.0,547.0,842.0,284.0,-1.0,113.0,4.0,8.0,6.0,2.0,12.0,2707.0
