,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/07/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/08/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/09/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/10/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/11/20,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/12/20,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/13/20,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/14/20,51.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/15/20,90.0,2.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/16/20,115.0,2.0,-1.0,-1.0,-1.0,-1.0,16.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/17/20,137.0,4.0,-1.0,-1.0,-1.0,-1.0,19.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/18/20,240.0,6.0,-1.0,-1.0,-1.0,-1.0,33.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/19/20,347.0,8.0,-1.0,-1.0,-1.0,-1.0,48.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/20/20,473.0,12.0,-1.0,-1.0,-1.0,-1.0,62.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/21/20,580.0,16.0,-1.0,-1.0,-1.0,-1.0,76.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/22/20,837.0,20.0,-1.0,-1.0,-1.0,-1.0,107.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/23/20,1172.0,34.0,-1.0,-1.0,-1.0,-1.0,151.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/24/20,1388.0,46.0,-1.0,-1.0,-1.0,-1.0,179.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/25/20,1795.0,65.0,-1.0,-1.0,-1.0,-1.0,222.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,03/26/20,2305.0,83.0,-1.0,-1.0,-1.0,-1.0,280.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,03/27/20,2746.0,119.0,-1.0,-1.0,-1.0,-1.0,325.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,03/28/20,3315.0,137.0,-1.0,-1.0,-1.0,-1.0,391.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,03/29/20,3540.0,151.0,-1.0,-1.0,-1.0,-1.0,386.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,03/30/20,4025.0,185.0,-1.0,-1.0,-1.0,-1.0,408.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,03/31/20,5237.0,239.0,-1.0,-1.0,-1.0,-1.0,550.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,04/01/20,6424.0,273.0,-1.0,-1.0,-1.0,-1.0,661.0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,04/02/20,9150.0,310.0,-1.0,-1.0,-1.0,-1.0,978.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,04/03/20,10297.0,370.0,-1.0,-1.0,-1.0,-1.0,1079.0,36.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,04/04/20,12496.0,409.0,-1.0,-1.0,-1.0,-1.0,1312.0,39.0,-1.0,-1.0,-1.0,-1.0,-1.0
29,04/05/20,13010.0,477.0,-1.0,-1.0,-1.0,-1.0,1353.0,47.0,-1.0,-1.0,-1.0,-1.0,-1.0
30,04/06/20,14867.0,512.0,-1.0,-1.0,-1.0,-1.0,1549.0,47.0,-1.0,-1.0,-1.0,-1.0,-1.0
31,04/07/20,16284.0,582.0,-1.0,-1.0,-1.0,-1.0,1578.0,49.0,-1.0,-1.0,-1.0,-1.0,-1.0
32,04/08/20,17030.0,652.0,-1.0,-1.0,-1.0,-1.0,1515.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0
33,04/09/20,18283.0,702.0,-1.0,-1.0,-1.0,-1.0,1305.0,56.0,-1.0,-1.0,-1.0,-1.0,-1.0
34,04/10/20,19253.0,755.0,-1.0,-1.0,-1.0,-1.0,1279.0,55.0,-1.0,-1.0,-1.0,-1.0,-1.0
35,04/11/20,20014.0,806.0,-1.0,-1.0,-1.0,-1.0,1074.0,57.0,-1.0,-1.0,-1.0,-1.0,-1.0
36,04/12/20,20595.0,840.0,-1.0,-1.0,-1.0,-1.0,1084.0,52.0,-1.0,-1.0,-1.0,-1.0,-1.0
37,04/13/20,21016.0,884.0,-1.0,-1.0,-1.0,-1.0,878.0,53.0,-1.0,-1.0,-1.0,-1.0,-1.0
38,04/14/20,21518.0,1013.0,-1.0,-1.0,-1.0,-1.0,748.0,62.0,-1.0,-1.0,-1.0,-1.0,-1.0
39,04/15/20,21951.0,1103.0,-1.0,-1.0,-1.0,-1.0,703.0,64.0,-1.0,-1.0,-1.0,-1.0,-1.0
40,04/16/20,22532.0,1156.0,-1.0,-1.0,-1.0,-1.0,607.0,65.0,-1.0,-1.0,-1.0,-1.0,-1.0
41,04/17/20,23118.0,1213.0,-1.0,-1.0,-1.0,-1.0,552.0,65.0,-1.0,-1.0,-1.0,-1.0,-1.0
42,04/18/20,23580.0,1267.0,-1.0,-1.0,-1.0,-1.0,509.0,66.0,-1.0,-1.0,-1.0,-1.0,-1.0
43,04/19/20,23928.0,1296.0,-1.0,-1.0,-1.0,-1.0,476.0,65.0,-1.0,-1.0,-1.0,-1.0,-1.0
44,04/20/20,24523.0,1328.0,-1.0,-1.0,-1.0,-1.0,501.0,63.0,-1.0,-1.0,-1.0,-1.0,-1.0
45,04/21/20,24854.0,1405.0,-1.0,-1.0,-1.0,-1.0,477.0,56.0,-1.0,-1.0,-1.0,-1.0,-1.0
46,04/22/20,25258.0,1473.0,14927.0,-1.0,-1.0,-1.0,472.0,53.0,-1.0,-1.0,-1.0,-1.0,-1.0
47,04/23/20,25739.0,1540.0,14927.0,-1.0,-1.0,-1.0,458.0,55.0,0.0,-1.0,-1.0,55.0,-1.0
48,04/24/20,26140.0,1601.0,14927.0,-1.0,-1.0,-1.0,432.0,55.0,0.0,-1.0,-1.0,55.0,-1.0
49,04/25/20,26512.0,1644.0,14927.0,-1.0,-1.0,-1.0,419.0,54.0,0.0,-1.0,-1.0,54.0,-1.0
50,04/26/20,26773.0,1670.0,14927.0,-1.0,-1.0,-1.0,406.0,53.0,0.0,-1.0,-1.0,53.0,-1.0
51,04/27/20,27068.0,1697.0,17303.0,-1.0,-1.0,-1.0,364.0,53.0,475.0,-1.0,-1.0,528.0,-1.0
52,04/28/20,27286.0,1758.0,17303.0,-1.0,-1.0,-1.0,347.0,50.0,396.0,-1.0,-1.0,446.0,-1.0
53,04/29/20,27660.0,1802.0,17303.0,-1.0,-1.0,-1.0,343.0,47.0,339.0,-1.0,-1.0,386.0,-1.0
54,04/30/20,28001.0,1862.0,17303.0,-1.0,-1.0,-1.0,323.0,46.0,339.0,-1.0,-1.0,385.0,-1.0
55,05/01/20,28711.0,1927.0,17303.0,-1.0,-1.0,-1.0,367.0,47.0,339.0,-1.0,-1.0,386.0,-1.0
56,05/02/20,29140.0,1950.0,17303.0,-1.0,-1.0,-1.0,375.0,44.0,339.0,-1.0,-1.0,383.0,-1.0
57,05/03/20,29340.0,1969.0,17303.0,-1.0,-1.0,-1.0,367.0,43.0,339.0,-1.0,-1.0,382.0,-1.0
58,05/04/20,29673.0,2064.0,20316.0,-1.0,-1.0,-1.0,372.0,52.0,430.0,-1.0,-1.0,482.0,-1.0
59,05/05/20,29996.0,2115.0,20316.0,-1.0,-1.0,-1.0,387.0,51.0,430.0,-1.0,-1.0,481.0,-1.0
60,05/06/20,30399.0,2115.0,20316.0,-1.0,-1.0,-1.0,391.0,45.0,430.0,-1.0,-1.0,475.0,-1.0
61,05/07/20,30652.0,2208.0,20316.0,-1.0,-1.0,-1.0,379.0,49.0,430.0,-1.0,-1.0,479.0,-1.0
62,05/08/20,30855.0,2227.0,20316.0,-1.0,-1.0,-1.0,306.0,43.0,430.0,-1.0,-1.0,473.0,-1.0
63,05/09/20,31417.0,2267.0,20316.0,-1.0,-1.0,-1.0,325.0,45.0,430.0,-1.0,-1.0,475.0,-1.0
