,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/12/20,8,0.0,0,0.0,0,0,0,0,0,0,0,0,0
1,03/13/20,23,0.0,0,0.0,0,0,0,0,0,0,0,0,0
2,03/14/20,38,0.0,0,0.0,0,0,0,0,0,0,0,0,0
3,03/15/20,64,0.0,0,0.0,0,0,0,0,0,0,0,0,0
4,03/16/20,97,0.0,0,0.0,0,0,0,0,0,0,0,0,0
5,03/17/20,118,0.0,0,0.0,0,0,0,0,0,0,0,0,0
6,03/18/20,156,2.0,0,0.0,0,0,21,0,0,0,0,0,0
7,03/19/20,229,3.0,0,0.0,0,0,31,0,0,0,0,0,0
8,03/20/20,314,5.0,0,0.0,0,0,41,0,0,0,0,0,0
9,03/21/20,426,7.0,0,61.0,0,0,55,1,0,8,0,1,0
10,03/22/20,547,11.0,0,71.0,0,0,69,1,0,10,0,1,0
11,03/23/20,678,17.0,0,79.0,0,0,83,2,0,11,0,2,0
12,03/24/20,1060,26.0,0,94.0,0,0,134,3,0,13,0,3,0
13,03/25/20,1739,33.0,0,103.0,0,0,226,4,0,14,0,4,0
14,03/26/20,2318,42.0,0,219.0,0,0,298,5,0,31,0,5,0
15,03/27/20,3151,57.0,0,219.0,0,0,405,7,0,31,0,7,0
16,03/28/20,4158,72.0,0,350.0,0,0,533,9,0,41,0,9,0
17,03/29/20,4856,99.0,0,399.0,0,0,615,12,0,46,0,12,0
18,03/30/20,5653,124.0,0,453.0,0,0,710,15,0,53,0,15,0
19,03/31/20,6521,153.0,0,562.0,0,0,780,18,0,66,0,18,0
20,04/01/20,7639,187.0,0,682.0,0,0,842,22,0,82,0,22,0
21,04/02/20,8867,229.0,0,813.0,0,0,935,26,0,84,0,26,0
22,04/03/20,10303,265.0,0,966.0,0,0,1021,29,0,106,0,29,0
23,04/04/20,11637,304.0,0,1370.0,0,0,1068,33,0,145,0,33,0
24,04/05/20,12402,370.0,0,1632.0,0,0,1078,38,0,176,0,38,0
25,04/06/20,13739,448.0,0,1667.0,0,0,1155,46,0,173,0,46,0
26,04/07/20,15104,515.0,0,1831.0,0,0,1226,51,0,181,0,51,0
27,04/08/20,16692,615.0,0,2119.0,0,0,1293,61,0,205,0,61,0
28,04/09/20,18843,725.0,0,2302.0,0,0,1425,70,0,212,0,70,0
29,04/10/20,20878,832.0,0,2435.0,0,0,1510,81,0,209,0,81,0
30,04/11/20,22766,946.0,0,2507.0,0,0,1589,91,0,162,0,91,0
31,04/12/20,25381,1056.0,0,2514.0,0,0,1854,98,0,126,0,98,0
32,04/13/20,26794,1211.0,0,3485.0,0,0,1865,109,0,259,0,109,0
33,04/14/20,28109,1329.0,0,3616.0,0,0,1857,116,0,255,0,116,0
34,04/15/20,29970,1502.0,0,3637.0,0,0,1896,126,0,216,0,126,0
35,04/16/20,32492,1667.0,0,3726.0,0,0,1949,134,0,203,0,134,0
36,04/17/20,35125,1822.0,0,3756.0,0,0,2035,141,0,188,0,141,0
37,04/18/20,37527,1983.0,0,0.0,0,0,2108,148,0,178,0,148,0
38,04/19/20,39820,2146.0,0,3789.0,0,0,2062,155,0,177,0,155,0
39,04/20/20,41416,2303.0,0,3872.0,0,0,2088,156,0,50,0,156,0
40,04/21/20,43168,2449.0,0,4009.0,0,0,2151,160,0,51,0,160,0
41,04/22/20,44913,2597.0,0,4256.0,0,0,2134,156,0,83,0,156,0
42,04/23/20,47992,2769.0,0,4493.0,0,0,2214,157,0,104,0,157,0
43,04/24/20,50969,2877.0,0,4752.0,0,0,2263,150,0,137,0,150,0
44,04/25/20,53348,2877.0,0,4965.0,0,0,2260,127,0,168,0,127,0
45,04/26/20,54938,2899.0,0,5104.0,0,0,2159,107,0,187,0,107,0
46,04/27/20,56462,3003.0,0,5237.0,0,0,2149,100,0,195,0,100,0
47,04/28/20,58302,3153.0,0,5515.0,0,0,2162,100,0,215,0,100,0
48,04/29/20,60265,3405.0,0,5758.0,0,0,2193,115,0,214,0,115,0
49,04/30/20,62205,3562.0,0,5942.0,0,0,2030,113,0,207,0,113,0
50,05/01/20,64311,3716.0,0,6169.0,0,0,1906,119,0,202,0,119,0
51,05/02/20,66263,3846.0,0,6378.0,0,0,1845,138,0,201,0,138,0
52,05/03/20,68087,4004.0,0,6507.0,0,0,1878,157,0,200,0,157,0
53,05/04/20,69087,4090.0,0,6622.0,0,0,1803,155,0,197,0,155,0
54,05/05/20,70271,4212.0,0,6831.0,0,0,1709,151,0,188,0,151,0
55,05/06/20,72025,4420.0,0,7080.0,0,0,1680,145,0,188,0,145,0
56,05/07/20,73721,4552.0,0,7237.0,0,0,1645,141,0,185,0,141,0
57,05/08/20,75333,4702.0,0,7434.0,0,0,1574,140,0,180,0,140,0
58,05/09/20,76743,4840.0,0,7551.0,0,0,1497,142,0,167,0,142,0
59,05/10/20,77793,4979.0,0,7617.0,0,0,1386,139,0,158,0,139,0
60,05/11/20,78462,5108.0,0,7732.0,0,0,1339,145,0,158,0,145,0
61,05/12/20,79332,5141.0,0,7842.0,0,0,1294,132,0,144,0,132,0
62,05/13/20,80497,5315.0,0,8032.0,0,401496,1210,127,0,136,0,127,57356
63,05/14/20,82182,5482.0,0,8207.0,0,410032,1208,132,0,138,0,132,58576
64,05/15/20,83421,5592.0,0,8314.0,0,435679,1155,127,0,125,0,127,62239
65,05/16/20,84933,5705.0,0,8456.0,0,448089,1170,123,0,129,0,123,64012
66,05/17/20,86010,5797.0,0,8539.0,0,460826,1173,116,0,131,0,116,65832
67,05/18/20,87052,5862.0,0,8621.0,0,469199,1227,107,0,127,0,107,67028
68,05/19/20,87925,5938.0,0,8766.0,0,476940,1227,113,0,132,0,113,68134
69,05/20/20,88970,6066.0,0,8897.0,0,489953,1210,107,0,123,0,107,12636
70,05/21/20,90084,6148.0,0,9040.0,0,501486,1128,95,0,119,0,95,13064
71,05/22/20,90889,6228.0,0,9162.0,0,511644,1066,90,0,121,0,90,10852
72,05/23/20,91662,6304.0,0,9260.0,0,520986,961,85,0,114,0,85,10413
73,05/24/20,92675,6372.0,0,9308.0,0,532373,952,82,0,109,0,82,10221
74,05/25/20,93271,6416.0,0,9339.0,0,540561,888,79,0,102,0,79,10194
75,05/26/20,93693,6473.0,0,9388.0,0,545481,824,76,0,88,0,76,9791
76,05/27/20,94220,6547.0,0,9492.0,0,545481,750,68,0,85,0,68,7932
