,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/05/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/06/20,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/07/20,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/08/20,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/09/20,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/10/20,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/11/20,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/12/20,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/13/20,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/14/20,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/15/20,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/16/20,37.0,2.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/17/20,57.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/18/20,85.0,2.0,-1.0,-1.0,-1.0,-1.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/19/20,107.0,2.0,-1.0,-1.0,-1.0,-1.0,14.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/20/20,149.0,3.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/21/20,190.0,3.0,-1.0,-1.0,-1.0,-1.0,23.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/22/20,244.0,4.0,-1.0,-1.0,-1.0,-1.0,30.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/23/20,288.0,4.0,-1.0,-1.0,-1.0,-1.0,36.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,03/24/20,349.0,5.0,-1.0,-1.0,-1.0,-1.0,42.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,03/25/20,423.0,5.0,-1.0,-1.0,-1.0,-1.0,48.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,03/26/20,580.0,7.0,-1.0,132.0,-1.0,-1.0,68.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,03/27/20,774.0,10.0,25.0,173.0,-1.0,-1.0,89.0,1.0,-1.0,41.0,-1.0,-1.0,-1.0
23,03/28/20,992.0,17.0,-1.0,226.0,-1.0,-1.0,115.0,2.0,-1.0,47.0,-1.0,-1.0,-1.0
24,03/29/20,1239.0,24.0,-1.0,277.0,-1.0,-1.0,142.0,3.0,-1.0,48.0,-1.0,-1.0,-1.0
25,03/30/20,1413.0,35.0,-1.0,353.0,-1.0,-1.0,161.0,4.0,-1.0,55.0,-1.0,-1.0,-1.0
26,03/31/20,1660.0,43.0,-1.0,429.0,-1.0,-1.0,187.0,5.0,-1.0,59.0,-1.0,-1.0,-1.0
27,04/01/20,1985.0,52.0,-1.0,522.0,-1.0,-1.0,223.0,7.0,-1.0,65.0,-1.0,-1.0,-1.0
28,04/02/20,2331.0,64.0,81.0,582.0,-1.0,-1.0,250.0,8.0,-1.0,64.0,-1.0,-1.0,-1.0
29,04/03/20,2758.0,84.0,159.0,664.0,-1.0,-1.0,283.0,11.0,78.0,70.0,-1.0,89.0,-1.0
30,04/04/20,3125.0,101.0,159.0,821.0,-1.0,-1.0,305.0,12.0,39.0,85.0,-1.0,51.0,-1.0
31,04/05/20,3609.0,122.0,159.0,936.0,-1.0,-1.0,339.0,14.0,26.0,94.0,-1.0,40.0,-1.0
32,04/06/20,4045.0,138.0,184.0,1059.0,-1.0,-1.0,376.0,15.0,26.0,101.0,-1.0,41.0,-1.0
33,04/07/20,4371.0,160.0,288.0,1106.0,-1.0,-1.0,387.0,17.0,41.0,97.0,-1.0,58.0,-1.0
34,04/08/20,5529.0,191.0,365.0,1210.0,-1.0,-1.0,506.0,20.0,47.0,98.0,-1.0,67.0,-1.0
35,04/09/20,6185.0,221.0,376.0,1348.0,-1.0,-1.0,551.0,22.0,42.0,109.0,-1.0,64.0,-1.0
36,04/10/20,6968.0,255.0,397.0,1413.0,-1.0,-1.0,601.0,24.0,34.0,107.0,-1.0,58.0,-1.0
37,04/11/20,7694.0,298.0,431.0,1709.0,-1.0,-1.0,653.0,28.0,39.0,127.0,-1.0,67.0,-1.0
38,04/12/20,8225.0,335.0,456.0,1860.0,-1.0,-1.0,659.0,30.0,42.0,132.0,-1.0,72.0,-1.0
39,04/13/20,8936.0,384.0,603.0,1975.0,-1.0,-1.0,699.0,35.0,60.0,131.0,-1.0,95.0,-1.0
40,04/14/20,9472.0,421.0,607.0,2122.0,-1.0,-1.0,729.0,37.0,46.0,145.0,-1.0,83.0,-1.0
41,04/15/20,10032.0,469.0,607.0,2231.0,-1.0,-1.0,643.0,40.0,35.0,146.0,-1.0,75.0,-1.0
42,04/16/20,10784.0,499.0,736.0,2451.0,-1.0,-1.0,657.0,40.0,51.0,158.0,-1.0,91.0,-1.0
43,04/17/20,11572.0,541.0,736.0,2612.0,-1.0,-1.0,658.0,41.0,48.0,171.0,-1.0,89.0,-1.0
44,04/18/20,12308.0,582.0,771.0,2757.0,-1.0,-1.0,659.0,41.0,49.0,150.0,-1.0,90.0,-1.0
45,04/19/20,12830.0,626.0,914.0,2886.0,-1.0,-1.0,658.0,42.0,65.0,147.0,-1.0,107.0,-1.0
46,04/20/20,13684.0,683.0,917.0,3014.0,-1.0,-1.0,678.0,43.0,45.0,148.0,-1.0,88.0,-1.0
47,04/21/20,14193.0,732.0,930.0,3158.0,-1.0,-1.0,674.0,44.0,46.0,148.0,-1.0,90.0,-1.0
48,04/22/20,14775.0,779.0,981.0,3325.0,-1.0,-1.0,678.0,44.0,53.0,156.0,-1.0,97.0,-1.0
49,04/23/20,15737.0,831.0,1040.0,3477.0,-1.0,-1.0,708.0,47.0,43.0,147.0,-1.0,90.0,-1.0
50,04/24/20,16616.0,899.0,1108.0,3618.0,-1.0,-1.0,721.0,51.0,53.0,144.0,-1.0,104.0,-1.0
51,04/25/20,17766.0,948.0,1165.0,3760.0,-1.0,-1.0,780.0,52.0,56.0,143.0,-1.0,108.0,-1.0
52,04/26/20,18581.0,1001.0,1177.0,3962.0,-1.0,-1.0,822.0,54.0,38.0,154.0,-1.0,92.0,-1.0
53,04/27/20,19487.0,1045.0,1263.0,4101.0,-1.0,-1.0,829.0,52.0,49.0,155.0,-1.0,101.0,-1.0
54,04/28/20,20113.0,1099.0,1295.0,4268.0,-1.0,-1.0,846.0,52.0,52.0,159.0,-1.0,104.0,-1.0
55,04/29/20,20849.0,1168.0,1361.0,4402.0,-1.0,-1.0,868.0,56.0,54.0,154.0,-1.0,110.0,-1.0
56,04/30/20,21742.0,1226.0,1432.0,4559.0,-1.0,-1.0,858.0,56.0,56.0,155.0,-1.0,112.0,-1.0
57,05/01/20,23472.0,1276.0,1517.0,4718.0,-1.0,-1.0,979.0,54.0,58.0,157.0,-1.0,112.0,-1.0
58,05/02/20,24473.0,1323.0,1590.0,4910.0,-1.0,-1.0,958.0,54.0,61.0,164.0,-1.0,115.0,-1.0
59,05/03/20,25462.0,1372.0,1666.0,5051.0,-1.0,-1.0,983.0,53.0,70.0,156.0,-1.0,123.0,-1.0
60,05/04/20,26408.0,1424.0,1695.0,5199.0,-1.0,-1.0,989.0,54.0,62.0,157.0,-1.0,116.0,-1.0
61,05/05/20,27117.0,1476.0,1810.0,5337.0,-1.0,-1.0,1001.0,54.0,74.0,153.0,-1.0,128.0,-1.0
62,05/06/20,28163.0,1520.0,1903.0,5497.0,-1.0,-1.0,1045.0,50.0,77.0,156.0,-1.0,127.0,-1.0
63,05/07/20,29374.0,1580.0,2029.0,5663.0,-1.0,-1.0,1090.0,51.0,85.0,158.0,-1.0,136.0,-1.0
64,05/08/20,30485.0,1643.0,2041.0,5811.0,-1.0,-1.0,1002.0,52.0,75.0,156.0,-1.0,127.0,-1.0
65,05/09/20,31534.0,1692.0,2159.0,5932.0,-1.0,-1.0,1009.0,53.0,81.0,146.0,-1.0,134.0,-1.0
66,05/10/20,32587.0,1739.0,2293.0,5955.0,-1.0,-1.0,1018.0,52.0,90.0,129.0,-1.0,142.0,-1.0
67,05/11/20,33373.0,1788.0,2298.0,6183.0,-1.0,-1.0,995.0,52.0,86.0,141.0,-1.0,138.0,-1.0
68,05/12/20,34061.0,1834.0,2394.0,6287.0,-1.0,-1.0,992.0,51.0,83.0,136.0,-1.0,134.0,-1.0
69,05/13/20,34812.0,1881.0,2456.0,6404.0,-1.0,169503.0,950.0,52.0,79.0,130.0,-1.0,131.0,-1.0
70,05/14/20,35903.0,1935.0,2569.0,6553.0,-1.0,173574.0,933.0,51.0,77.0,127.0,-1.0,128.0,4071.0
71,05/15/20,36986.0,1991.0,2685.0,6679.0,-1.0,182826.0,929.0,50.0,92.0,124.0,-1.0,142.0,6662.0
72,05/16/20,37968.0,2040.0,2806.0,6755.0,-1.0,190175.0,919.0,50.0,92.0,118.0,-1.0,142.0,6891.0
73,05/17/20,38804.0,2090.0,2816.0,6993.0,-1.0,194926.0,888.0,50.0,75.0,148.0,-1.0,125.0,6356.0
74,05/18/20,39762.0,2122.0,2817.0,7086.0,-1.0,201506.0,913.0,48.0,74.0,129.0,-1.0,122.0,6401.0
75,05/19/20,41546.0,2164.0,2868.0,7199.0,-1.0,208658.0,1069.0,47.0,68.0,130.0,-1.0,115.0,6526.0
76,05/20/20,42323.0,2198.0,2993.0,7393.0,-1.0,215330.0,1073.0,45.0,77.0,141.0,-1.0,122.0,6547.0
77,05/21/20,43531.0,2221.0,3099.0,7485.0,-1.0,220233.0,1090.0,41.0,76.0,133.0,-1.0,117.0,6666.0
78,05/22/20,44424.0,2274.0,3243.0,7634.0,-1.0,227902.0,1063.0,40.0,80.0,136.0,-1.0,120.0,6439.0
79,05/23/20,45495.0,2306.0,3283.0,7825.0,-1.0,232327.0,1075.0,38.0,68.0,153.0,-1.0,106.0,6022.0
80,05/24/20,46313.0,2341.0,3319.0,7939.0,-1.0,240362.0,1073.0,36.0,72.0,135.0,-1.0,108.0,6491.0
81,05/25/20,47152.0,2379.0,3329.0,8092.0,-1.0,249577.0,1056.0,37.0,73.0,144.0,-1.0,110.0,6867.0
82,05/26/20,47687.0,2417.0,3334.0,8179.0,-1.0,254487.0,877.0,36.0,67.0,140.0,-1.0,103.0,6547.0
83,05/27/20,48423.0,2458.0,3401.0,8281.0,-1.0,262055.0,871.0,37.0,58.0,127.0,-1.0,95.0,6675.0
84,05/28/20,49709.0,2501.0,3468.0,8392.0,-1.0,274858.0,883.0,40.0,53.0,130.0,-1.0,93.0,7804.0
85,05/29/20,50988.0,2538.0,3571.0,8479.0,-1.0,284518.0,938.0,38.0,47.0,121.0,-1.0,85.0,8088.0
86,05/30/20,52015.0,2562.0,3649.0,8619.0,-1.0,293946.0,931.0,37.0,52.0,113.0,-1.0,89.0,8803.0
87,05/31/20,52778.0,2596.0,3764.0,8738.0,-1.0,301881.0,924.0,36.0,64.0,114.0,-1.0,100.0,8788.0
88,06/01/20,53327.0,2625.0,3782.0,8886.0,-1.0,308730.0,882.0,35.0,65.0,113.0,-1.0,100.0,8450.0
