,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/07/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/08/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/09/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/10/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/11/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/12/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/13/20,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/14/20,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/15/20,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/16/20,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/17/20,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/18/20,43.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/19/20,53.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/20/20,57.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/21/20,73.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/22/20,89.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/23/20,107.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/24/20,125.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/25/20,149.0,-1.0,7.0,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,03/26/20,155.0,-1.0,16.0,-1.0,-1.0,-1.0,15.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0
20,03/27/20,168.0,1.0,24.0,-1.0,-1.0,-1.0,16.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0
21,03/28/20,211.0,1.0,36.0,-1.0,-1.0,-1.0,20.0,0.0,10.0,-1.0,-1.0,10.0,-1.0
22,03/29/20,253.0,3.0,41.0,-1.0,-1.0,-1.0,23.0,1.0,8.0,-1.0,-1.0,9.0,-1.0
23,03/30/20,275.0,3.0,41.0,49.0,-1.0,-1.0,24.0,1.0,7.0,-1.0,-1.0,8.0,-1.0
24,03/31/20,303.0,5.0,68.0,57.0,-1.0,-1.0,25.0,1.0,10.0,8.0,-1.0,11.0,-1.0
25,04/01/20,344.0,7.0,80.0,63.0,-1.0,-1.0,28.0,1.0,10.0,7.0,-1.0,11.0,-1.0
26,04/02/20,376.0,7.0,94.0,68.0,-1.0,-1.0,32.0,1.0,11.0,6.0,-1.0,12.0,-1.0
27,04/03/20,432.0,9.0,113.0,75.0,-1.0,-1.0,38.0,1.0,13.0,6.0,-1.0,14.0,-1.0
28,04/04/20,456.0,10.0,140.0,83.0,-1.0,-1.0,35.0,1.0,15.0,7.0,-1.0,16.0,-1.0
29,04/05/20,470.0,10.0,156.0,86.0,-1.0,-1.0,31.0,1.0,16.0,6.0,-1.0,17.0,-1.0
30,04/06/20,499.0,10.0,158.0,92.0,-1.0,-1.0,32.0,1.0,17.0,6.0,-1.0,18.0,-1.0
31,04/07/20,519.0,12.0,176.0,99.0,-1.0,-1.0,31.0,1.0,15.0,6.0,-1.0,16.0,-1.0
32,04/08/20,537.0,14.0,187.0,101.0,-1.0,-1.0,28.0,1.0,15.0,5.0,-1.0,16.0,-1.0
33,04/09/20,560.0,16.0,202.0,105.0,-1.0,-1.0,26.0,1.0,15.0,5.0,-1.0,16.0,-1.0
34,04/10/20,586.0,17.0,246.0,111.0,-1.0,-1.0,22.0,1.0,19.0,5.0,-1.0,20.0,-1.0
35,04/11/20,616.0,19.0,256.0,114.0,-1.0,-1.0,23.0,1.0,17.0,4.0,-1.0,18.0,-1.0
36,04/12/20,633.0,19.0,266.0,120.0,-1.0,-1.0,23.0,1.0,16.0,5.0,-1.0,17.0,-1.0
37,04/13/20,698.0,19.0,273.0,124.0,-1.0,-1.0,28.0,1.0,16.0,5.0,-1.0,17.0,-1.0
38,04/14/20,734.0,20.0,292.0,124.0,-1.0,-1.0,31.0,1.0,17.0,4.0,-1.0,18.0,-1.0
39,04/15/20,770.0,24.0,305.0,126.0,-1.0,-1.0,33.0,1.0,17.0,4.0,-1.0,18.0,-1.0
40,04/16/20,796.0,27.0,333.0,130.0,-1.0,-1.0,34.0,2.0,19.0,4.0,-1.0,21.0,-1.0
41,04/17/20,827.0,29.0,352.0,133.0,-1.0,-1.0,34.0,2.0,15.0,3.0,-1.0,17.0,-1.0
42,04/18/20,847.0,32.0,382.0,136.0,-1.0,-1.0,33.0,2.0,18.0,3.0,-1.0,20.0,-1.0
43,04/19/20,867.0,34.0,393.0,136.0,-1.0,-1.0,33.0,2.0,18.0,2.0,-1.0,20.0,-1.0
44,04/20/20,875.0,35.0,414.0,138.0,-1.0,-1.0,25.0,2.0,20.0,2.0,-1.0,22.0,-1.0
45,04/21/20,888.0,36.0,443.0,139.0,-1.0,-1.0,22.0,2.0,22.0,2.0,-1.0,24.0,-1.0
46,04/22/20,907.0,39.0,455.0,144.0,-1.0,-1.0,20.0,2.0,21.0,3.0,-1.0,23.0,-1.0
47,04/23/20,937.0,44.0,485.0,150.0,-1.0,-1.0,20.0,2.0,22.0,3.0,-1.0,24.0,-1.0
48,04/24/20,965.0,47.0,499.0,152.0,-1.0,-1.0,20.0,3.0,21.0,3.0,-1.0,24.0,-1.0
49,04/25/20,990.0,50.0,519.0,156.0,-1.0,-1.0,20.0,3.0,20.0,3.0,-1.0,23.0,-1.0
50,04/26/20,1015.0,50.0,532.0,159.0,-1.0,-1.0,21.0,2.0,20.0,3.0,-1.0,22.0,-1.0
51,04/27/20,1023.0,51.0,549.0,161.0,-1.0,-1.0,21.0,2.0,19.0,3.0,-1.0,21.0,-1.0
52,04/28/20,1040.0,51.0,585.0,163.0,-1.0,-1.0,22.0,2.0,20.0,3.0,-1.0,22.0,-1.0
53,04/29/20,1056.0,52.0,615.0,166.0,-1.0,-1.0,21.0,2.0,23.0,3.0,-1.0,25.0,-1.0
54,04/30/20,1095.0,53.0,631.0,170.0,-1.0,-1.0,23.0,1.0,21.0,3.0,-1.0,22.0,-1.0
55,05/01/20,1123.0,55.0,657.0,177.0,-1.0,-1.0,23.0,1.0,23.0,4.0,-1.0,24.0,-1.0
56,05/02/20,1152.0,56.0,689.0,181.0,-1.0,-1.0,23.0,1.0,24.0,4.0,-1.0,25.0,-1.0
57,05/03/20,1185.0,57.0,706.0,183.0,-1.0,-1.0,24.0,1.0,25.0,3.0,-1.0,26.0,-1.0
58,05/04/20,1205.0,57.0,720.0,186.0,-1.0,-1.0,26.0,1.0,24.0,4.0,-1.0,25.0,-1.0
59,05/05/20,1226.0,61.0,741.0,187.0,-1.0,-1.0,27.0,1.0,22.0,3.0,-1.0,23.0,-1.0
60,05/06/20,1254.0,62.0,766.0,191.0,-1.0,-1.0,28.0,1.0,22.0,4.0,-1.0,23.0,-1.0
61,05/07/20,1330.0,62.0,787.0,192.0,-1.0,-1.0,34.0,1.0,22.0,3.0,-1.0,23.0,-1.0
62,05/08/20,1374.0,63.0,836.0,194.0,-1.0,-1.0,36.0,1.0,26.0,2.0,-1.0,27.0,-1.0
63,05/09/20,1408.0,64.0,857.0,198.0,-1.0,-1.0,37.0,1.0,24.0,2.0,-1.0,25.0,-1.0
64,05/10/20,1436.0,64.0,861.0,199.0,-1.0,-1.0,36.0,1.0,22.0,2.0,-1.0,23.0,-1.0
65,05/11/20,1462.0,65.0,872.0,200.0,-1.0,-1.0,37.0,1.0,22.0,2.0,-1.0,23.0,-1.0
66,05/12/20,1477.0,65.0,913.0,202.0,-1.0,-1.0,36.0,1.0,25.0,2.0,-1.0,26.0,-1.0
