,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/01/20,9,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,03/02/20,18,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2,03/03/20,34,0.0,0.0,0,0,0,0,0,0,0,0,0,0
3,03/04/20,52,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4,03/05/20,72,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5,03/06/20,98,0.0,0.0,0,0,0,0,0,0,0,0,0,0
6,03/07/20,128,0.0,0.0,0,0,0,17,0,0,0,0,0,0
7,03/08/20,168,0.0,0.0,0,0,0,22,0,0,0,0,0,0
8,03/09/20,254,0.0,0.0,0,0,0,33,0,0,0,0,0,0
9,03/10/20,358,0.0,0.0,0,0,0,46,0,0,0,0,0,0
10,03/11/20,497,0.0,0.0,0,0,0,63,0,0,0,0,0,0
11,03/12/20,702,0.0,0.0,0,0,0,90,0,0,0,0,0,0
12,03/13/20,945,0.0,0.0,0,0,0,121,0,0,0,0,0,0
13,03/14/20,1196,0.0,0.0,0,0,0,152,0,0,0,0,0,0
14,03/15/20,1480,0.0,0.0,0,0,0,187,0,0,0,0,0,0
15,03/16/20,1933,0.0,0.0,0,0,0,239,0,0,0,0,0,0
16,03/17/20,3659,2.0,0.0,0,0,0,471,0,0,0,0,0,0
17,03/18/20,4531,5.0,0.0,0,0,0,576,0,0,0,0,0,0
18,03/19/20,5276,10.0,0.0,0,0,0,653,1,0,0,0,1,0
19,03/20/20,6219,13.0,0.0,0,0,0,753,1,0,0,0,1,0
20,03/21/20,7023,23.0,0.0,0,0,0,832,3,0,0,0,3,0
21,03/22/20,7822,36.0,0.0,0,0,0,906,5,0,0,0,5,0
22,03/23/20,9062,57.0,0.0,0,0,0,1018,8,0,0,0,8,0
23,03/24/20,10155,86.0,0.0,0,0,0,928,12,0,0,0,12,0
24,03/25/20,11335,111.0,0.0,0,0,0,972,15,0,0,0,15,0
25,03/26/20,12475,159.0,0.0,0,0,0,1028,21,0,0,0,21,0
26,03/27/20,13799,212.0,0.0,0,0,0,1082,28,0,0,0,28,0
27,03/28/20,14865,283.0,0.0,0,0,0,1120,37,0,0,0,37,0
28,03/29/20,15784,351.0,0.0,0,0,0,1137,45,0,0,0,45,0
29,03/30/20,17363,437.0,0.0,0,0,0,1185,54,0,0,0,54,0
30,03/31/20,18654,551.0,0.0,0,0,0,1214,66,0,0,0,66,0
31,04/01/20,20246,676.0,0.0,0,0,0,1273,80,0,0,0,80,0
32,04/02/20,21376,801.0,0.0,0,0,0,1271,91,0,0,0,91,0
33,04/03/20,22579,918.0,56.0,0,0,0,1254,100,8,0,0,108,0
34,04/04/20,23581,1030.0,56.0,0,0,0,1245,106,8,0,0,114,0
35,04/05/20,24458,1150.0,56.0,0,0,0,1239,114,8,0,0,122,0
36,04/06/20,25785,1291.0,56.0,0,0,0,1203,122,8,0,0,130,0
37,04/07/20,26964,1449.0,56.0,0,0,0,1187,128,8,0,0,136,0
38,04/08/20,28064,1600.0,56.0,0,0,0,1116,132,8,0,0,140,0
