,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/06/20,1,0,0.0,0,0,0,0,0,0,0,0,0,0
1,03/07/20,2,0,0.0,0,0,0,0,0,0,0,0,0,0
2,03/08/20,2,0,0.0,0,0,0,0,0,0,0,0,0,0
3,03/09/20,5,0,0.0,0,0,0,0,0,0,0,0,0,0
4,03/10/20,11,0,0.0,0,0,0,0,0,0,0,0,0,0
5,03/11/20,21,0,0.0,0,0,0,0,0,0,0,0,0,0
6,03/12/20,43,0,0.0,0,0,0,6,0,0,0,0,0,0
7,03/13/20,62,0,0.0,0,0,0,8,0,0,0,0,0,0
8,03/14/20,90,0,0.0,0,0,0,12,0,0,0,0,0,0
9,03/15/20,128,0,0.0,0,0,0,18,0,0,0,0,0,0
10,03/16/20,179,0,0.0,0,0,0,24,0,0,0,0,0,0
11,03/17/20,246,0,0.0,0,0,0,33,0,0,0,0,0,0
12,03/18/20,269,0,0.0,0,0,0,35,0,0,0,0,0,0
13,03/19/20,287,0,0.0,0,0,0,34,0,0,0,0,0,0
14,03/20/20,303,0,0.0,0,0,0,34,0,0,0,0,0,0
15,03/21/20,327,1,0.0,0,0,0,33,0,0,0,0,0,0
16,03/22/20,349,1,0.0,12,0,0,31,0,0,1,0,0,0
17,03/23/20,393,1,0.0,17,0,0,30,0,0,2,0,0,0
18,03/24/20,444,1,0.0,21,0,0,28,0,0,3,0,0,0
19,03/25/20,502,1,121.0,35,0,0,33,0,17,5,0,17,0
20,03/26/20,565,2,0.0,41,0,0,39,0,17,5,0,17,0
21,03/27/20,640,4,176.0,51,17,0,48,0,17,7,2,17,0
22,03/28/20,687,5,215.0,57,17,0,51,0,22,8,2,22,0
23,03/29/20,725,9,243.0,75,17,0,53,1,26,9,2,27,0
24,03/30/20,823,10,0.0,92,24,0,61,1,26,10,3,27,0
25,03/31/20,916,12,0.0,112,26,0,67,1,26,13,3,27,0
26,04/01/20,973,17,0.0,122,27,0,67,2,9,12,3,11,0
27,04/02/20,1056,18,0.0,138,38,0,70,2,9,13,5,11,0
28,04/03/20,1119,22,0.0,156,40,0,68,2,9,15,3,11,0
29,04/04/20,1158,24,416.0,180,69,0,67,2,4,17,7,6,0
30,04/05/20,1217,29,422.0,202,77,0,70,2,0,18,8,2,0
31,04/06/20,1330,30,440.0,223,90,0,72,2,3,18,9,5,0
32,04/07/20,1432,34,515.0,242,100,0,73,3,14,18,10,17,0
33,04/08/20,1534,39,593.0,271,105,0,80,3,25,21,11,28,0
34,04/09/20,1637,50,625.0,293,119,0,83,4,29,22,11,33,0
35,04/10/20,1732,57,675.0,317,131,0,87,5,37,23,13,42,0
36,04/11/20,1806,64,729.0,340,138,0,92,5,44,22,9,49,0
37,04/12/20,1864,70,772.0,361,146,0,92,5,50,22,9,55,0
38,04/13/20,2012,70,772.0,361,146,0,97,5,47,19,8,52,0
39,04/14/20,2165,79,830.0,405,155,0,104,6,45,23,7,51,0
40,04/15/20,2321,87,853.0,445,175,0,112,6,37,24,10,43,0
41,04/16/20,2486,94,926.0,475,188,0,121,6,43,26,9,49,0
42,04/17/20,2668,111,955.0,518,202,0,133,7,40,28,10,47,0
43,04/18/20,2788,121,997.0,561,215,0,140,8,38,31,11,46,0
44,04/19/20,2914,134,1026.0,574,226,0,150,9,36,30,11,45,0
45,04/20/20,3190,143,1059.0,602,241,0,168,10,41,34,13,51,0
46,04/21/20,3452,160,1094.0,629,253,0,183,11,37,32,14,48,0
47,04/22/20,3758,179,1138.0,660,262,0,205,13,40,30,12,53,0
48,04/23/20,4270,200,1336.0,712,274,0,254,15,58,33,12,73,0
49,04/24/20,4788,221,1373.0,756,281,0,302,15,59,34,11,74,0
50,04/25/20,5127,244,1410.0,797,291,0,334,17,59,33,10,76,0
51,04/26/20,5512,272,1502.0,829,301,0,371,19,68,36,10,87,0
52,04/27/20,6187,286,1556.0,861,316,0,428,20,71,37,10,91,0
53,04/28/20,6788,301,1611.0,912,324,0,476,20,73,40,10,93,0
54,04/29/20,7468,319,1724.0,950,337,0,530,20,83,41,10,103,0
55,04/30/20,8116,343,1829.0,1044,358,0,549,20,70,47,12,90,0
56,05/01/20,8736,371,1911.0,1096,380,0,564,21,76,48,14,97,0
57,05/02/20,9071,395,2002.0,1159,404,0,563,21,84,51,16,105,0
58,05/03/20,9411,419,2596.0,1199,426,0,557,21,156,52,17,177,0
59,05/04/20,10235,428,3784.0,1271,444,0,578,20,318,58,18,338,0
60,05/05/20,10876,455,4159.0,1350,475,0,584,22,364,62,21,386,0
61,05/06/20,11510,485,4520.0,1405,488,0,577,23,399,65,21,422,0
62,05/07/20,12328,508,4800.0,1459,512,0,601,23,424,59,22,447,0
63,05/08/20,13040,534,5163.0,1549,540,0,614,23,464,64,22,487,0
64,05/09/20,13321,558,5764.0,1612,556,0,607,23,537,64,21,560,0
65,05/10/20,13552,578,6304.0,1657,581,0,591,22,529,65,22,551,0
66,05/11/20,14379,591,6945.0,1716,600,0,592,23,451,63,22,474,0
67,05/12/20,15043,614,7609.0,1799,625,0,595,22,492,64,21,514,0
68,05/13/20,15772,638,8149.0,1851,647,0,608,21,518,63,22,539,0
69,05/14/20,16565,663,8473.0,1915,663,0,605,22,524,65,21,546,0
70,05/15/20,17363,692,8820.0,1985,679,0,617,22,522,62,19,544,0
71,05/16/20,17705,709,9571.0,2039,700,0,626,21,543,61,20,564,0
72,05/17/20,18016,731,10175.0,2090,716,0,637,21,553,61,19,574,0
73,05/18/20,18987,740,10764.0,2128,731,0,658,21,545,58,18,566,0
74,05/19/20,19842,757,11540.0,2221,750,0,685,20,561,60,17,581,0
75,05/20/20,20609,786,12227.0,2308,773,0,691,21,582,65,18,603,0
76,05/21/20,21582,818,12488.0,2380,787,0,716,22,573,66,17,595,0
77,05/22/20,22374,851,12696.0,2432,806,0,715,22,553,63,18,575,0
78,05/23/20,22765,861,13485.0,2534,832,0,722,21,559,70,18,580,0
79,05/24/20,23121,878,14115.0,2588,841,0,729,21,562,71,17,583,0
80,05/25/20,23524,890,14816.0,2676,869,0,648,21,578,78,19,599,0
81,05/26/20,24308,908,15523.0,2709,886,0,638,21,569,69,19,590,0
82,05/27/20,24988,942,16314.0,2796,902,0,625,22,583,69,18,605,0
83,05/28/20,25559,977,16655.0,2880,924,0,568,22,595,71,19,617,0
84,05/29/20,26013,1006,16930.0,2936,938,0,519,22,604,72,18,626,0
85,05/30/20,26181,1036,17864.0,3011,960,0,488,25,625,68,18,650,0
86,05/31/20,26322,1050,18695.0,3047,971,0,457,24,654,65,18,678,0
87,06/01/20,26897,1060,19441.0,3086,981,0,481,24,660,58,16,684,0
88,06/02/20,27376,1082,20381.0,3134,1003,0,438,24,694,60,16,718,0
89,06/03/20,27889,1097,21169.0,3203,1022,0,414,22,693,58,17,715,0
90,06/04/20,28290,1126,21490.0,3253,1033,0,390,21,690,53,15,711,0
91,06/05/20,28688,1159,21864.0,3289,1044,0,382,21,704,50,15,725,0
92,06/06/20,28853,1181,22253.0,3336,1044,0,381,20,627,46,12,647,0
93,06/07/20,28988,1197,22992.0,3367,1044,0,380,21,613,45,10,634,0
94,06/08/20,29436,1208,23657.0,3401,1052,0,362,21,602,45,10,623,0
95,06/09/20,29866,1228,24221.0,3441,1068,0,355,20,548,43,9,568,0
96,06/10/20,30199,1267,24675.0,3482,1083,0,330,24,500,39,8,524,0
97,06/11/20,30418,1280,24870.0,3522,1091,0,304,22,482,38,8,504,0
98,06/12/20,30463,1305,25028.0,3557,1093,0,253,20,452,38,7,472,0
99,06/13/20,30465,1314,25620.0,3581,1104,0,230,19,481,35,8,500,0
100,06/14/20,30471,1329,26090.0,3610,1110,0,211,18,442,34,9,460,0
101,06/15/20,30693,1335,26609.0,3630,1121,0,179,18,421,32,9,439,0
102,06/16/20,30882,1344,27006.0,3658,1128,0,145,16,397,31,8,413,0
103,06/17/20,31296,1357,27404.0,3689,1136,0,156,12,389,29,7,401,0
104,06/18/20,31675,1376,27566.0,3718,1144,0,179,13,385,28,7,398,0
105,06/19/20,32031,1393,27709.0,3748,1150,0,224,12,383,27,8,395,0
106,06/20/20,32467,1404,28205.0,3767,1155,0,286,12,369,26,7,381,0
107,06/21/20,32920,1412,28663.0,3797,1163,0,349,11,367,26,7,378,0
108,06/22/20,33227,1416,29065.0,3830,1180,0,362,11,350,28,8,361,0
109,06/23/20,33469,1425,29399.0,3860,1191,0,369,11,341,28,9,352,0
110,06/24/20,33763,1432,29707.0,3897,1203,0,352,10,329,29,9,339,0
111,06/25/20,34123,1441,29854.0,3943,1218,0,349,9,326,32,10,335,0
112,06/26/20,34616,1446,30008.0,3966,1221,0,369,7,328,31,10,335,0
113,06/27/20,35033,1452,30401.0,3986,1233,0,366,6,313,31,11,319,0
114,06/28/20,35549,1460,30809.0,4010,1241,0,375,6,306,30,11,312,0
115,06/29/20,35861,1470,31225.0,4031,1249,0,376,7,308,28,9,315,0
