,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/07/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/08/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/09/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/10/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/11/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/12/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/13/20,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/14/20,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/15/20,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/16/20,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/17/20,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/18/20,34.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/19/20,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/20/20,80.0,1.0,-1.0,-1.0,-1.0,-1.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/21/20,140.0,1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/22/20,207.0,1.0,-1.0,33.0,-1.0,-1.0,28.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/23/20,249.0,1.0,-1.0,33.0,-1.0,-1.0,34.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
17,03/24/20,320.0,1.0,-1.0,86.0,-1.0,-1.0,43.0,0.0,-1.0,26.0,-1.0,-1.0,-1.0
18,03/25/20,377.0,2.0,-1.0,117.0,-1.0,-1.0,49.0,0.0,-1.0,28.0,-1.0,-1.0,-1.0
19,03/26/20,485.0,6.0,-1.0,150.0,-1.0,-1.0,62.0,1.0,-1.0,29.0,-1.0,-1.0,-1.0
20,03/27/20,579.0,8.0,-1.0,185.0,-1.0,-1.0,71.0,1.0,-1.0,30.0,-1.0,-1.0,-1.0
21,03/28/20,663.0,13.0,-1.0,219.0,-1.0,-1.0,75.0,2.0,-1.0,31.0,-1.0,-1.0,-1.0
22,03/29/20,758.0,14.0,-1.0,235.0,-1.0,-1.0,79.0,2.0,-1.0,29.0,-1.0,-1.0,-1.0
23,03/30/20,847.0,16.0,-1.0,-1.0,-1.0,-1.0,85.0,2.0,-1.0,34.0,-1.0,-1.0,-1.0
24,03/31/20,937.0,20.0,-1.0,235.0,-1.0,-1.0,88.0,3.0,-1.0,30.0,-1.0,-1.0,-1.0
25,04/01/20,1073.0,22.0,-1.0,332.0,-1.0,-1.0,99.0,3.0,-1.0,43.0,-1.0,-1.0,-1.0
26,04/02/20,1177.0,26.0,-1.0,360.0,-1.0,-1.0,99.0,3.0,-1.0,42.0,-1.0,-1.0,-1.0
27,04/03/20,1358.0,29.0,-1.0,420.0,-1.0,-1.0,111.0,3.0,-1.0,47.0,-1.0,-1.0,-1.0
28,04/04/20,1455.0,35.0,-1.0,436.0,-1.0,-1.0,113.0,3.0,-1.0,43.0,-1.0,-1.0,-1.0
29,04/05/20,1638.0,43.0,-1.0,475.0,-1.0,-1.0,126.0,4.0,-1.0,48.0,-1.0,-1.0,-1.0
30,04/06/20,1738.0,51.0,-1.0,475.0,-1.0,-1.0,127.0,5.0,-1.0,40.0,-1.0,-1.0,-1.0
31,04/07/20,1915.0,59.0,-1.0,-1.0,-1.0,-1.0,140.0,6.0,-1.0,40.0,-1.0,-1.0,-1.0
32,04/08/20,2003.0,67.0,-1.0,475.0,-1.0,-1.0,133.0,6.0,-1.0,29.0,-1.0,-1.0,-1.0
33,04/09/20,2260.0,76.0,-1.0,475.0,-1.0,-1.0,155.0,7.0,-1.0,23.0,-1.0,-1.0,-1.0
34,04/10/20,2469.0,82.0,-1.0,482.0,-1.0,-1.0,159.0,8.0,-1.0,12.0,-1.0,-1.0,-1.0
35,04/11/20,2642.0,93.0,-1.0,528.0,-1.0,-1.0,170.0,8.0,-1.0,18.0,-1.0,-1.0,-1.0
36,04/12/20,2781.0,96.0,-1.0,548.0,-1.0,-1.0,163.0,8.0,-1.0,15.0,-1.0,-1.0,-1.0
37,04/13/20,2942.0,98.0,-1.0,549.0,-1.0,-1.0,172.0,7.0,-1.0,15.0,-1.0,-1.0,-1.0
38,04/14/20,3087.0,111.0,-1.0,596.0,-1.0,-1.0,167.0,7.0,-1.0,20.0,-1.0,-1.0,-1.0
39,04/15/20,3360.0,122.0,-1.0,645.0,-1.0,-1.0,194.0,8.0,-1.0,24.0,-1.0,-1.0,-1.0
40,04/16/20,3624.0,129.0,-1.0,682.0,-1.0,-1.0,195.0,8.0,-1.0,30.0,-1.0,-1.0,-1.0
41,04/17/20,3793.0,140.0,-1.0,736.0,-1.0,-1.0,189.0,8.0,-1.0,36.0,-1.0,-1.0,-1.0
42,04/18/20,3974.0,152.0,-1.0,782.0,-1.0,-1.0,190.0,8.0,-1.0,36.0,-1.0,-1.0,-1.0
43,04/19/20,4274.0,159.0,-1.0,808.0,-1.0,-1.0,213.0,9.0,-1.0,37.0,-1.0,-1.0,-1.0
44,04/20/20,4512.0,169.0,-1.0,819.0,-1.0,-1.0,224.0,10.0,-1.0,39.0,-1.0,-1.0,-1.0
45,04/21/20,4716.0,183.0,-1.0,858.0,-1.0,-1.0,233.0,10.0,-1.0,37.0,-1.0,-1.0,-1.0
46,04/22/20,4894.0,193.0,-1.0,910.0,-1.0,-1.0,219.0,10.0,-1.0,38.0,-1.0,-1.0,-1.0
47,04/23/20,5153.0,201.0,-1.0,946.0,-1.0,-1.0,218.0,10.0,-1.0,38.0,-1.0,-1.0,-1.0
48,04/24/20,5434.0,209.0,-1.0,970.0,-1.0,-1.0,234.0,10.0,-1.0,33.0,-1.0,-1.0,-1.0
49,04/25/20,5718.0,221.0,-1.0,996.0,-1.0,-1.0,249.0,10.0,-1.0,31.0,-1.0,-1.0,-1.0
50,04/26/20,5911.0,227.0,-1.0,1001.0,-1.0,-1.0,234.0,10.0,-1.0,28.0,-1.0,-1.0,-1.0
51,04/27/20,6094.0,229.0,-1.0,1060.0,-1.0,-1.0,226.0,9.0,-1.0,34.0,-1.0,-1.0,-1.0
52,04/28/20,6342.0,239.0,-1.0,1088.0,-1.0,-1.0,232.0,8.0,-1.0,33.0,-1.0,-1.0,-1.0
53,04/29/20,6569.0,250.0,3413.0,1126.0,-1.0,-1.0,239.0,8.0,-1.0,31.0,-1.0,-1.0,-1.0
54,04/30/20,6815.0,261.0,3413.0,1175.0,-1.0,-1.0,237.0,9.0,0.0,33.0,-1.0,9.0,-1.0
55,05/01/20,7212.0,281.0,3413.0,1226.0,-1.0,-1.0,254.0,10.0,0.0,37.0,-1.0,10.0,-1.0
56,05/02/20,7441.0,291.0,3413.0,1265.0,-1.0,-1.0,246.0,10.0,0.0,38.0,-1.0,10.0,-1.0
57,05/03/20,7550.0,303.0,3413.0,1298.0,-1.0,-1.0,234.0,11.0,0.0,42.0,-1.0,11.0,-1.0
58,05/04/20,7877.0,310.0,4421.0,1316.0,-1.0,-1.0,255.0,12.0,202.0,37.0,-1.0,214.0,-1.0
59,05/05/20,8207.0,342.0,4421.0,1352.0,-1.0,-1.0,266.0,15.0,168.0,38.0,-1.0,183.0,-1.0
60,05/06/20,8424.0,374.0,4421.0,1392.0,-1.0,-1.0,265.0,18.0,144.0,38.0,-1.0,162.0,-1.0
61,05/07/20,8686.0,396.0,4421.0,1442.0,-1.0,-1.0,267.0,19.0,144.0,38.0,-1.0,163.0,-1.0
62,05/08/20,9090.0,409.0,4421.0,1478.0,-1.0,-1.0,268.0,18.0,144.0,36.0,-1.0,162.0,-1.0
63,05/09/20,9378.0,421.0,4421.0,1512.0,-1.0,-1.0,277.0,19.0,144.0,35.0,-1.0,163.0,-1.0
64,05/10/20,9501.0,430.0,4421.0,1531.0,-1.0,-1.0,279.0,18.0,144.0,33.0,-1.0,162.0,-1.0
