,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/07/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/08/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/09/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/10/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/11/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/12/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/13/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/14/20,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/15/20,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/16/20,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/17/20,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/18/20,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/19/20,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/20/20,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/21/20,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/22/20,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/23/20,34.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/24/20,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/25/20,53.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,03/26/20,71.0,-1.0,-1.0,1.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,03/27/20,108.0,-1.0,-1.0,7.0,-1.0,-1.0,13.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0
21,03/28/20,129.0,1.0,-1.0,7.0,-1.0,-1.0,16.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0
22,03/29/20,154.0,1.0,-1.0,8.0,-1.0,-1.0,18.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0
23,03/30/20,171.0,4.0,-1.0,10.0,-1.0,-1.0,20.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0
24,03/31/20,184.0,4.0,-1.0,14.0,-1.0,-1.0,20.0,1.0,-1.0,3.0,-1.0,-1.0,-1.0
25,04/01/20,208.0,5.0,-1.0,17.0,-1.0,-1.0,22.0,1.0,-1.0,3.0,-1.0,-1.0,-1.0
26,04/02/20,227.0,5.0,-1.0,20.0,-1.0,-1.0,22.0,1.0,-1.0,3.0,-1.0,-1.0,-1.0
27,04/03/20,243.0,5.0,-1.0,24.0,-1.0,-1.0,19.0,1.0,-1.0,2.0,-1.0,-1.0,-1.0
28,04/04/20,265.0,5.0,-1.0,24.0,-1.0,-1.0,19.0,1.0,-1.0,2.0,-1.0,-1.0,-1.0
29,04/05/20,286.0,6.0,-1.0,24.0,-1.0,-1.0,19.0,1.0,-1.0,2.0,-1.0,-1.0,-1.0
30,04/06/20,299.0,6.0,-1.0,24.0,-1.0,-1.0,18.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0
31,04/07/20,319.0,6.0,-1.0,28.0,-1.0,-1.0,19.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0
32,04/08/20,332.0,6.0,135.0,31.0,-1.0,-1.0,18.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0
33,04/09/20,354.0,6.0,157.0,36.0,-1.0,-1.0,18.0,0.0,22.0,2.0,-1.0,22.0,-1.0
34,04/10/20,365.0,6.0,165.0,41.0,-1.0,-1.0,17.0,0.0,15.0,2.0,-1.0,15.0,-1.0
35,04/11/20,377.0,6.0,169.0,46.0,-1.0,-1.0,16.0,0.0,11.0,3.0,-1.0,11.0,-1.0
36,04/12/20,387.0,6.0,169.0,47.0,-1.0,-1.0,14.0,0.0,8.0,3.0,-1.0,8.0,-1.0
37,04/13/20,394.0,7.0,171.0,47.0,-1.0,-1.0,14.0,0.0,7.0,3.0,-1.0,7.0,-1.0
38,04/14/20,399.0,7.0,197.0,50.0,-1.0,-1.0,11.0,0.0,10.0,3.0,-1.0,10.0,-1.0
39,04/15/20,404.0,7.0,209.0,51.0,-1.0,-1.0,10.0,0.0,11.0,3.0,-1.0,11.0,-1.0
40,04/16/20,415.0,7.0,218.0,52.0,-1.0,-1.0,9.0,0.0,9.0,2.0,-1.0,9.0,-1.0
41,04/17/20,422.0,8.0,233.0,54.0,-1.0,-1.0,8.0,0.0,10.0,2.0,-1.0,10.0,-1.0
42,04/18/20,426.0,10.0,234.0,55.0,-1.0,-1.0,7.0,1.0,9.0,1.0,-1.0,10.0,-1.0
43,04/19/20,433.0,10.0,243.0,55.0,-1.0,-1.0,7.0,1.0,11.0,1.0,-1.0,12.0,-1.0
44,04/20/20,433.0,10.0,243.0,57.0,-1.0,-1.0,6.0,0.0,10.0,1.0,-1.0,10.0,-1.0
45,04/21/20,437.0,12.0,273.0,59.0,-1.0,-1.0,5.0,1.0,11.0,1.0,-1.0,12.0,-1.0
46,04/22/20,439.0,14.0,296.0,59.0,-1.0,-1.0,5.0,1.0,12.0,1.0,-1.0,13.0,-1.0
47,04/23/20,442.0,14.0,306.0,59.0,-1.0,-1.0,4.0,1.0,13.0,1.0,-1.0,14.0,-1.0
48,04/24/20,444.0,14.0,325.0,59.0,-1.0,-1.0,3.0,1.0,13.0,1.0,-1.0,14.0,-1.0
49,04/25/20,445.0,14.0,339.0,61.0,-1.0,-1.0,3.0,1.0,15.0,1.0,-1.0,16.0,-1.0
50,04/26/20,448.0,14.0,339.0,61.0,-1.0,-1.0,2.0,1.0,14.0,1.0,-1.0,15.0,-1.0
51,04/27/20,449.0,14.0,352.0,61.0,-1.0,-1.0,2.0,1.0,16.0,1.0,-1.0,17.0,-1.0
52,04/28/20,451.0,15.0,356.0,61.0,-1.0,-1.0,2.0,0.0,12.0,0.0,-1.0,12.0,-1.0
53,04/29/20,451.0,16.0,382.0,61.0,-1.0,-1.0,2.0,0.0,12.0,0.0,-1.0,12.0,-1.0
54,04/30/20,453.0,16.0,392.0,61.0,-1.0,-1.0,2.0,0.0,12.0,0.0,-1.0,12.0,-1.0
55,05/01/20,453.0,16.0,397.0,61.0,-1.0,-1.0,1.0,0.0,10.0,0.0,-1.0,10.0,-1.0
56,05/02/20,455.0,16.0,404.0,61.0,-1.0,-1.0,1.0,0.0,9.0,0.0,-1.0,9.0,-1.0
57,05/03/20,455.0,16.0,404.0,61.0,-1.0,-1.0,1.0,0.0,9.0,0.0,-1.0,9.0,-1.0
58,05/04/20,457.0,16.0,404.0,62.0,-1.0,-1.0,1.0,0.0,7.0,0.0,-1.0,7.0,-1.0
59,05/05/20,-1.0,16.0,410.0,62.0,-1.0,-1.0,1.0,0.0,8.0,0.0,-1.0,8.0,-1.0
60,05/06/20,457.0,16.0,417.0,62.0,-1.0,-1.0,1.0,0.0,5.0,0.0,-1.0,5.0,-1.0
61,05/07/20,457.0,16.0,417.0,62.0,-1.0,-1.0,1.0,0.0,4.0,0.0,-1.0,4.0,-1.0
62,05/08/20,458.0,16.0,420.0,62.0,-1.0,-1.0,1.0,0.0,3.0,0.0,-1.0,3.0,-1.0
63,05/09/20,458.0,16.0,422.0,62.0,-1.0,-1.0,1.0,0.0,3.0,0.0,-1.0,3.0,-1.0
64,05/10/20,458.0,16.0,422.0,62.0,-1.0,-1.0,1.0,0.0,3.0,0.0,-1.0,3.0,-1.0
65,05/11/20,459.0,16.0,423.0,62.0,-1.0,-1.0,0.0,0.0,3.0,0.0,-1.0,3.0,-1.0
66,05/12/20,461.0,16.0,425.0,63.0,-1.0,-1.0,1.0,0.0,2.0,0.0,-1.0,2.0,-1.0
