,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/04/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/05/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/06/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/07/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/08/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/09/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/10/20,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/11/20,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/12/20,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/13/20,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/14/20,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/15/20,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/16/20,33.0,0.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/17/20,40.0,0.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/18/20,63.0,0.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/19/20,97.0,0.0,-1.0,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/20/20,137.0,0.0,-1.0,-1.0,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/21/20,184.0,0.0,-1.0,-1.0,-1.0,-1.0,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/22/20,255.0,0.0,-1.0,-1.0,-1.0,-1.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,03/23/20,297.0,0.0,-1.0,-1.0,-1.0,-1.0,38.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,03/24/20,398.0,0.0,-1.0,-1.0,-1.0,-1.0,51.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,03/25/20,504.0,1.0,-1.0,-1.0,-1.0,-1.0,63.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,03/26/20,636.0,2.0,-1.0,-1.0,-1.0,-1.0,77.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,03/27/20,763.0,3.0,-1.0,-1.0,-1.0,-1.0,89.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,03/28/20,935.0,4.0,-1.0,-1.0,-1.0,-1.0,107.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,03/29/20,1040.0,4.0,-1.0,-1.0,-1.0,-1.0,112.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,03/30/20,1307.0,6.0,-1.0,-1.0,-1.0,-1.0,144.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,03/31/20,1498.0,8.0,-1.0,-1.0,-1.0,-1.0,157.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,04/01/20,1584.0,10.0,-1.0,-1.0,-1.0,-1.0,154.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
