,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/07/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/08/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/09/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/10/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/11/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/12/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/13/20,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/14/20,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/15/20,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/16/20,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/17/20,3.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/18/20,6.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/19/20,15.0,0.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/20/20,20.0,0.0,-1.0,-1.0,-1.0,-1.0,3.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/21/20,28.0,0.0,-1.0,3.0,-1.0,-1.0,4.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/22/20,28.0,0.0,-1.0,3.0,-1.0,-1.0,4.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
16,03/23/20,30.0,0.0,-1.0,4.0,-1.0,-1.0,4.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
17,03/24/20,34.0,0.0,-1.0,5.0,-1.0,-1.0,4.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0
18,03/25/20,39.0,0.0,-1.0,8.0,-1.0,-1.0,5.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0
19,03/26/20,52.0,0.0,-1.0,10.0,-1.0,-1.0,5.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0
20,03/27/20,65.0,0.0,15.0,13.0,-1.0,-1.0,6.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0
21,03/28/20,83.0,1.0,16.0,16.0,-1.0,-1.0,8.0,0.0,1.0,2.0,-1.0,1.0,-1.0
22,03/29/20,98.0,1.0,18.0,17.0,-1.0,-1.0,10.0,0.0,2.0,2.0,-1.0,2.0,-1.0
23,03/30/20,109.0,2.0,19.0,19.0,-1.0,-1.0,11.0,0.0,1.0,2.0,-1.0,1.0,-1.0
24,03/31/20,126.0,3.0,30.0,21.0,-1.0,-1.0,13.0,0.0,4.0,2.0,-1.0,4.0,-1.0
25,04/01/20,142.0,3.0,34.0,23.0,-1.0,-1.0,15.0,0.0,4.0,2.0,-1.0,4.0,-1.0
26,04/02/20,159.0,3.0,43.0,28.0,-1.0,-1.0,15.0,0.0,5.0,3.0,-1.0,5.0,-1.0
27,04/03/20,173.0,3.0,55.0,29.0,-1.0,-1.0,15.0,0.0,6.0,2.0,-1.0,6.0,-1.0
28,04/04/20,186.0,3.0,63.0,30.0,-1.0,-1.0,15.0,0.0,7.0,2.0,-1.0,7.0,-1.0
29,04/05/20,207.0,3.0,63.0,31.0,-1.0,-1.0,16.0,0.0,6.0,2.0,-1.0,6.0,-1.0
30,04/06/20,225.0,3.0,74.0,32.0,-1.0,-1.0,17.0,0.0,8.0,2.0,-1.0,8.0,-1.0
31,04/07/20,237.0,4.0,82.0,33.0,-1.0,-1.0,16.0,0.0,7.0,2.0,-1.0,7.0,-1.0
32,04/08/20,251.0,4.0,98.0,34.0,-1.0,-1.0,16.0,0.0,9.0,2.0,-1.0,9.0,-1.0
33,04/09/20,269.0,5.0,101.0,34.0,-1.0,-1.0,16.0,0.0,8.0,1.0,-1.0,8.0,-1.0
34,04/10/20,278.0,6.0,105.0,36.0,-1.0,-1.0,15.0,0.0,7.0,1.0,-1.0,7.0,-1.0
35,04/11/20,293.0,7.0,119.0,36.0,-1.0,-1.0,15.0,1.0,8.0,1.0,-1.0,9.0,-1.0
36,04/12/20,308.0,8.0,121.0,39.0,-1.0,-1.0,14.0,1.0,8.0,1.0,-1.0,9.0,-1.0
37,04/13/20,331.0,8.0,127.0,40.0,-1.0,-1.0,15.0,1.0,8.0,1.0,-1.0,9.0,-1.0
38,04/14/20,341.0,9.0,138.0,42.0,-1.0,-1.0,15.0,1.0,8.0,1.0,-1.0,9.0,-1.0
39,04/15/20,365.0,9.0,142.0,44.0,-1.0,-1.0,16.0,1.0,6.0,1.0,-1.0,7.0,-1.0
40,04/16/20,393.0,9.0,163.0,45.0,-1.0,-1.0,18.0,1.0,9.0,2.0,-1.0,10.0,-1.0
41,04/17/20,439.0,9.0,172.0,47.0,-1.0,-1.0,23.0,0.0,10.0,2.0,-1.0,10.0,-1.0
42,04/18/20,528.0,9.0,183.0,47.0,-1.0,-1.0,34.0,0.0,9.0,2.0,-1.0,9.0,-1.0
43,04/19/20,585.0,10.0,189.0,51.0,-1.0,-1.0,40.0,0.0,10.0,2.0,-1.0,10.0,-1.0
44,04/20/20,627.0,13.0,189.0,53.0,-1.0,-1.0,42.0,1.0,9.0,2.0,-1.0,10.0,-1.0
45,04/21/20,644.0,13.0,214.0,54.0,-1.0,-1.0,43.0,1.0,11.0,2.0,-1.0,12.0,-1.0
46,04/22/20,679.0,14.0,229.0,62.0,-1.0,-1.0,45.0,1.0,12.0,3.0,-1.0,13.0,-1.0
47,04/23/20,709.0,15.0,269.0,65.0,-1.0,-1.0,45.0,1.0,15.0,3.0,-1.0,16.0,-1.0
48,04/24/20,748.0,15.0,285.0,67.0,-1.0,-1.0,44.0,1.0,16.0,3.0,-1.0,17.0,-1.0
49,04/25/20,803.0,16.0,310.0,70.0,-1.0,-1.0,39.0,1.0,18.0,3.0,-1.0,19.0,-1.0
50,04/26/20,867.0,17.0,326.0,71.0,-1.0,-1.0,40.0,1.0,20.0,3.0,-1.0,21.0,-1.0
51,04/27/20,942.0,19.0,350.0,77.0,-1.0,-1.0,45.0,1.0,23.0,3.0,-1.0,24.0,-1.0
52,04/28/20,991.0,19.0,409.0,79.0,-1.0,-1.0,50.0,1.0,28.0,4.0,-1.0,29.0,-1.0
53,04/29/20,1033.0,19.0,437.0,82.0,-1.0,-1.0,51.0,1.0,30.0,3.0,-1.0,31.0,-1.0
54,04/30/20,1067.0,19.0,458.0,85.0,-1.0,-1.0,51.0,1.0,27.0,3.0,-1.0,28.0,-1.0
55,05/01/20,1107.0,23.0,482.0,86.0,-1.0,-1.0,51.0,1.0,28.0,3.0,-1.0,29.0,-1.0
56,05/02/20,1153.0,24.0,510.0,90.0,-1.0,-1.0,50.0,1.0,29.0,3.0,-1.0,30.0,-1.0
57,05/03/20,1191.0,-1.0,517.0,90.0,-1.0,-1.0,46.0,1.0,27.0,3.0,-1.0,28.0,-1.0
58,05/04/20,1225.0,-1.0,540.0,94.0,-1.0,-1.0,40.0,1.0,27.0,2.0,-1.0,28.0,-1.0
59,05/05/20,1266.0,24.0,559.0,95.0,-1.0,-1.0,39.0,1.0,21.0,2.0,-1.0,22.0,-1.0
60,05/06/20,1323.0,24.0,582.0,97.0,-1.0,-1.0,41.0,1.0,21.0,2.0,-1.0,22.0,-1.0
61,05/07/20,1371.0,24.0,601.0,102.0,-1.0,-1.0,43.0,1.0,20.0,2.0,-1.0,21.0,-1.0
62,05/08/20,1425.0,24.0,714.0,104.0,-1.0,-1.0,45.0,0.0,33.0,3.0,-1.0,33.0,-1.0
63,05/09/20,1464.0,24.0,762.0,110.0,-1.0,-1.0,44.0,0.0,36.0,3.0,-1.0,36.0,-1.0
64,05/10/20,1491.0,24.0,792.0,110.0,-1.0,-1.0,43.0,0.0,39.0,3.0,-1.0,39.0,-1.0
65,05/11/20,1518.0,24.0,846.0,115.0,-1.0,-1.0,42.0,0.0,44.0,3.0,-1.0,44.0,-1.0
66,05/12/20,1571.0,25.0,877.0,122.0,-1.0,-1.0,44.0,0.0,45.0,4.0,-1.0,45.0,-1.0
67,05/13/20,1647.0,29.0,969.0,127.0,-1.0,47832.0,46.0,1.0,55.0,4.0,-1.0,56.0,-1.0
