,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/05/20,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
1,03/06/20,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
2,03/07/20,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0
3,03/08/20,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0
4,03/09/20,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0
5,03/10/20,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0
6,03/11/20,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0
7,03/12/20,10,0.0,0,0.0,0,0,1,0,0,0,0,0,0
8,03/13/20,13,0.0,0,0.0,0,0,1,0,0,0,0,0,0
9,03/14/20,14,0.0,0,0.0,0,0,1,0,0,0,0,0,0
10,03/15/20,17,0.0,0,0.0,0,0,2,0,0,0,0,0,0
11,03/16/20,18,0.0,0,0.0,0,0,2,0,0,0,0,0,0
12,03/17/20,21,0.0,0,0.0,0,0,2,0,0,0,0,0,0
13,03/18/20,24,0.0,0,0.0,0,0,2,0,0,0,0,0,0
14,03/19/20,27,0.0,0,0.0,0,0,2,0,0,0,0,0,0
15,03/20/20,32,0.0,0,0.0,0,0,2,0,0,0,0,0,0
16,03/21/20,38,0.0,0,0.0,0,0,3,0,0,0,0,0,0
17,03/22/20,48,0.0,0,0.0,0,0,4,0,0,0,0,0,0
18,03/23/20,50,0.0,0,0.0,0,0,4,0,0,0,0,0,0
19,03/24/20,52,0.0,0,0.0,0,0,4,0,0,0,0,0,0
20,03/25/20,61,0.0,0,0.0,0,0,5,0,0,0,0,0,0
21,03/26/20,73,0.0,0,0.0,0,0,6,0,0,0,0,0,0
22,03/27/20,85,0.0,0,0.0,0,1903,7,0,0,0,0,0,271
23,03/28/20,96,2.0,0,0.0,0,2006,8,0,0,0,0,0,286
24,03/29/20,108,2.0,0,0.0,0,2345,8,0,0,0,0,0,335
25,03/30/20,145,2.0,0,0.0,0,2734,13,0,0,0,0,0,390
26,03/31/20,172,3.0,0,0.0,0,3111,17,0,0,0,0,0,444
27,04/01/20,210,4.0,0,0.0,0,3693,21,0,0,0,0,0,527
28,04/02/20,246,5.0,0,0.0,0,4235,24,0,0,0,0,0,605
29,04/03/20,279,6.0,0,0.0,0,4777,27,0,0,0,0,0,410
30,04/04/20,321,6.0,0,0.0,0,5389,32,0,0,0,0,0,483
31,04/05/20,363,8.0,0,0.0,0,5933,36,0,0,0,0,0,512
32,04/06/20,409,8.0,0,0.0,0,6796,37,0,0,0,0,0,580
33,04/07/20,447,10.0,0,0.0,0,7269,39,1,0,0,0,1,594
34,04/08/20,519,12.0,0,0.0,0,8067,44,1,0,0,0,1,624
35,04/09/20,567,14.0,0,0.0,0,8852,45,1,0,0,0,1,659
36,04/10/20,635,15.0,0,0.0,0,9375,50,1,0,0,0,1,656
37,04/11/20,700,17.0,0,0.0,0,10007,54,1,0,0,0,1,659
38,04/12/20,791,17.0,0,0.0,0,10197,61,1,0,0,0,1,609
39,04/13/20,814,17.0,0,0.0,0,10991,57,1,0,0,0,1,599
40,04/14/20,871,18.0,0,0.0,0,11384,60,1,0,0,0,1,587
41,04/15/20,901,20.0,0,0.0,0,11757,54,1,0,0,0,1,527
42,04/16/20,952,21.0,0,0.0,0,12324,55,1,0,0,0,1,496
43,04/17/20,1066,24.0,0,0.0,0,13173,61,1,0,0,0,1,542
44,04/18/20,1138,24.0,0,0.0,0,13753,62,1,0,0,0,1,535
45,04/19/20,1287,28.0,0,0.0,0,14652,70,1,0,0,0,1,636
46,04/20/20,1474,28.0,0,0.0,0,15756,94,1,0,0,0,1,680
47,04/21/20,1648,33.0,0,0.0,0,16478,111,2,0,0,0,2,727
48,04/22/20,1722,38.0,0,0.0,0,16813,117,2,0,0,0,2,722
49,04/23/20,1813,45.0,0,0.0,0,17394,123,3,0,0,0,3,724
50,04/24/20,2124,47.0,0,0.0,0,18701,151,3,0,0,0,3,789
51,04/25/20,2421,50.0,0,0.0,0,20112,183,3,0,0,0,3,908
52,04/26/20,2732,53.0,0,0.0,0,21377,206,3,0,0,0,3,960
53,04/27/20,3028,56.0,0,0.0,0,22525,222,4,0,0,0,4,967
54,04/28/20,3358,0.0,0,0.0,0,23772,244,3,0,0,0,3,1042
55,04/29/20,3374,56.0,0,0.0,0,23798,236,2,0,0,0,2,997
56,04/30/20,3784,68.0,0,0.0,0,25498,281,3,0,0,0,3,1157
57,05/01/20,4281,70.0,0,0.0,0,27577,308,3,0,0,0,3,1268
58,05/02/20,4838,73.0,0,0.0,0,29557,345,3,0,0,0,3,1349
59,05/03/20,5326,76.0,0,0.0,0,31332,370,3,0,0,0,3,1422
60,05/04/20,5910,78.0,0,0.0,0,33819,411,3,0,0,0,3,1613
61,05/05/20,6083,78.0,0,0.0,0,34675,389,3,0,0,0,3,1557
62,05/06/20,6438,82.0,0,0.0,0,36194,437,3,0,0,0,3,1770
63,05/07/20,6771,86.0,0,0.0,0,37829,426,2,0,0,0,2,1761
64,05/08/20,7190,90.0,0,0.0,0,40482,415,2,0,0,0,2,1843
65,05/09/20,7831,92.0,0,0.0,0,43046,427,2,0,0,0,2,1927
66,05/10/20,8234,96.0,0,0.0,0,45644,415,2,0,0,0,2,2044
67,05/11/20,8315,98.0,0,0.0,0,46314,343,2,0,0,0,2,1785
68,05/12/20,8572,100.0,0,0.0,0,48019,355,3,0,0,0,3,1906
69,05/13/20,8692,103.0,0,0.0,0,49799,322,3,0,0,0,3,1943
70,05/14/20,9075,107.0,0,0.0,0,53427,329,3,0,0,0,3,2228
71,05/15/20,9416,113.0,0,0.0,0,57315,318,3,0,0,0,3,2404
72,05/16/20,9772,119.0,0,0.0,0,60092,277,3,0,0,0,3,2435
73,05/17/20,10220,123.0,0,0.0,0,65774,283,3,0,0,0,3,2875
74,05/18/20,10348,123.0,0,0.0,0,67649,290,3,0,0,0,3,3047
75,05/19/20,10625,125.0,0,0.0,0,70147,293,3,0,0,0,3,3161
76,05/20/20,10846,132.0,0,0.0,0,72333,307,4,0,0,0,4,3219
77,05/21/20,11122,138.0,0,0.0,0,75864,292,4,0,0,0,4,3205
78,05/22/20,11425,143.0,0,0.0,0,78654,287,4,0,0,0,4,3048
