,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/04/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/05/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/06/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/07/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/08/20,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/09/20,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/10/20,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/11/20,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/12/20,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/13/20,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/14/20,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/15/20,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/16/20,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/17/20,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/18/20,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/19/20,39.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/20/20,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/21/20,55.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/22/20,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,03/23/20,78.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,03/24/20,101.0,1.0,-1.0,11.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,03/25/20,108.0,1.0,-1.0,13.0,-1.0,-1.0,12.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0
22,03/26/20,137.0,1.0,-1.0,19.0,-1.0,-1.0,14.0,0.0,-1.0,4.0,-1.0,-1.0,-1.0
23,03/27/20,158.0,1.0,-1.0,25.0,-1.0,-1.0,16.0,0.0,-1.0,5.0,-1.0,-1.0,-1.0
24,03/28/20,187.0,2.0,-1.0,30.0,-1.0,-1.0,19.0,0.0,-1.0,5.0,-1.0,-1.0,-1.0
25,03/29/20,214.0,2.0,-1.0,33.0,-1.0,-1.0,21.0,0.0,-1.0,4.0,-1.0,-1.0,-1.0
26,03/30/20,314.0,3.0,-1.0,45.0,-1.0,-1.0,34.0,0.0,-1.0,6.0,-1.0,-1.0,-1.0
27,03/31/20,314.0,3.0,-1.0,45.0,-1.0,-1.0,30.0,0.0,-1.0,5.0,-1.0,-1.0,-1.0
28,04/01/20,415.0,4.0,56.0,56.0,-1.0,-1.0,44.0,0.0,-1.0,6.0,-1.0,-1.0,-1.0
29,04/02/20,415.0,4.0,91.0,58.0,-1.0,-1.0,40.0,0.0,35.0,6.0,-1.0,35.0,-1.0
30,04/03/20,479.0,5.0,101.0,73.0,-1.0,-1.0,46.0,1.0,22.0,7.0,-1.0,23.0,-1.0
31,04/04/20,540.0,7.0,144.0,80.0,-1.0,-1.0,50.0,1.0,29.0,7.0,-1.0,30.0,-1.0
32,04/05/20,621.0,9.0,146.0,86.0,-1.0,-1.0,58.0,1.0,22.0,8.0,-1.0,23.0,-1.0
33,04/06/20,669.0,9.0,147.0,92.0,-1.0,-1.0,51.0,1.0,18.0,7.0,-1.0,19.0,-1.0
34,04/07/20,715.0,9.0,151.0,103.0,-1.0,-1.0,57.0,1.0,16.0,8.0,-1.0,17.0,-1.0
35,04/08/20,788.0,18.0,211.0,118.0,-1.0,-1.0,53.0,2.0,22.0,9.0,-1.0,24.0,-1.0
36,04/09/20,788.0,18.0,227.0,118.0,-1.0,-1.0,53.0,2.0,19.0,9.0,-1.0,21.0,-1.0
37,04/10/20,819.0,21.0,234.0,124.0,-1.0,-1.0,49.0,2.0,19.0,7.0,-1.0,21.0,-1.0
38,04/11/20,885.0,22.0,234.0,134.0,-1.0,-1.0,49.0,2.0,13.0,8.0,-1.0,15.0,-1.0
39,04/12/20,929.0,23.0,236.0,146.0,-1.0,-1.0,44.0,2.0,13.0,9.0,-1.0,15.0,-1.0
40,04/13/20,985.0,23.0,239.0,152.0,-1.0,-1.0,45.0,2.0,13.0,9.0,-1.0,15.0,-1.0
41,04/14/20,1020.0,23.0,249.0,152.0,-1.0,-1.0,44.0,2.0,14.0,7.0,-1.0,16.0,-1.0
42,04/15/20,1139.0,32.0,365.0,178.0,-1.0,-1.0,50.0,2.0,22.0,9.0,-1.0,24.0,-1.0
43,04/16/20,1139.0,32.0,365.0,178.0,-1.0,-1.0,50.0,2.0,20.0,9.0,-1.0,22.0,-1.0
44,04/17/20,1287.0,37.0,455.0,190.0,-1.0,-1.0,67.0,2.0,32.0,9.0,-1.0,34.0,-1.0
45,04/18/20,1287.0,37.0,468.0,190.0,-1.0,-1.0,57.0,2.0,33.0,8.0,-1.0,35.0,-1.0
46,04/19/20,1342.0,38.0,513.0,192.0,-1.0,-1.0,59.0,2.0,40.0,7.0,-1.0,42.0,-1.0
47,04/20/20,1392.0,41.0,521.0,198.0,-1.0,-1.0,58.0,3.0,40.0,7.0,-1.0,43.0,-1.0
48,04/21/20,1491.0,42.0,521.0,206.0,-1.0,-1.0,67.0,3.0,39.0,8.0,-1.0,42.0,-1.0
49,04/22/20,1491.0,42.0,546.0,206.0,-1.0,-1.0,50.0,1.0,26.0,4.0,-1.0,27.0,-1.0
50,04/23/20,1588.0,48.0,550.0,213.0,-1.0,-1.0,64.0,2.0,26.0,5.0,-1.0,28.0,-1.0
51,04/24/20,1670.0,51.0,551.0,218.0,-1.0,-1.0,55.0,2.0,14.0,4.0,-1.0,16.0,-1.0
52,04/25/20,1720.0,53.0,578.0,224.0,-1.0,-1.0,62.0,2.0,16.0,5.0,-1.0,18.0,-1.0
53,04/26/20,1787.0,60.0,777.0,238.0,-1.0,-1.0,64.0,3.0,38.0,7.0,-1.0,41.0,-1.0
54,04/27/20,1864.0,60.0,779.0,242.0,-1.0,-1.0,67.0,3.0,37.0,6.0,-1.0,40.0,-1.0
55,04/28/20,1938.0,60.0,798.0,246.0,-1.0,-1.0,64.0,3.0,40.0,6.0,-1.0,43.0,-1.0
56,04/29/20,2010.0,60.0,936.0,249.0,-1.0,-1.0,74.0,3.0,56.0,6.0,-1.0,59.0,-1.0
57,04/30/20,2054.0,66.0,980.0,259.0,-1.0,-1.0,67.0,3.0,61.0,7.0,-1.0,64.0,-1.0
58,05/01/20,2146.0,72.0,980.0,262.0,-1.0,-1.0,68.0,3.0,61.0,6.0,-1.0,64.0,-1.0
59,05/02/20,2310.0,81.0,980.0,270.0,-1.0,-1.0,84.0,4.0,57.0,7.0,-1.0,61.0,-1.0
60,05/03/20,2429.0,84.0,1107.0,277.0,-1.0,-1.0,92.0,3.0,47.0,6.0,-1.0,50.0,-1.0
61,05/04/20,2588.0,86.0,-1.0,286.0,-1.0,-1.0,103.0,4.0,55.0,6.0,-1.0,59.0,-1.0
62,05/05/20,2588.0,86.0,1107.0,286.0,82.0,-1.0,93.0,4.0,62.0,6.0,-1.0,66.0,-1.0
63,05/06/20,2636.0,92.0,1107.0,295.0,82.0,-1.0,89.0,5.0,34.0,7.0,0.0,39.0,-1.0
64,05/07/20,2740.0,111.0,1110.0,307.0,82.0,-1.0,98.0,6.0,26.0,7.0,0.0,32.0,-1.0
65,05/08/20,2843.0,114.0,1165.0,308.0,97.0,-1.0,100.0,6.0,37.0,7.0,5.0,43.0,-1.0
66,05/09/20,2947.0,121.0,1210.0,309.0,97.0,-1.0,91.0,6.0,46.0,6.0,4.0,52.0,-1.0
67,05/10/20,3011.0,131.0,1228.0,313.0,97.0,-1.0,83.0,7.0,24.0,5.0,3.0,31.0,-1.0
68,05/11/20,3160.0,133.0,1229.0,318.0,97.0,-1.0,82.0,7.0,20.0,5.0,2.0,27.0,-1.0
69,05/12/20,3160.0,133.0,1231.0,318.0,97.0,-1.0,82.0,7.0,18.0,5.0,2.0,25.0,-1.0
70,05/13/20,3239.0,142.0,1234.0,319.0,97.0,-1.0,86.0,7.0,18.0,3.0,2.0,25.0,-1.0
71,05/14/20,3299.0,150.0,1236.0,326.0,97.0,35840.0,80.0,6.0,18.0,3.0,2.0,24.0,-1.0
72,05/15/20,3464.0,159.0,1247.0,335.0,109.0,42306.0,89.0,6.0,12.0,4.0,2.0,18.0,6466.0
73,05/16/20,3464.0,159.0,1254.0,335.0,109.0,42676.0,74.0,5.0,6.0,4.0,2.0,11.0,3418.0
74,05/17/20,3556.0,171.0,1258.0,347.0,109.0,44752.0,78.0,6.0,4.0,5.0,2.0,10.0,2971.0
75,05/18/20,3596.0,172.0,1268.0,359.0,109.0,44878.0,62.0,6.0,6.0,6.0,2.0,12.0,2260.0
76,05/19/20,3652.0,172.0,1269.0,368.0,109.0,49474.0,70.0,6.0,5.0,7.0,2.0,11.0,2727.0
77,05/20/20,3721.0,182.0,1275.0,383.0,109.0,50888.0,69.0,6.0,6.0,9.0,2.0,12.0,2508.0
78,05/21/20,3868.0,190.0,1388.0,385.0,109.0,52830.0,81.0,6.0,22.0,8.0,2.0,28.0,2427.0
79,05/22/20,3935.0,199.0,1767.0,393.0,120.0,55100.0,67.0,6.0,74.0,8.0,2.0,80.0,1828.0
80,05/23/20,4089.0,208.0,2197.0,419.0,120.0,59539.0,89.0,7.0,135.0,12.0,2.0,142.0,2409.0
81,05/24/20,4089.0,208.0,2197.0,419.0,120.0,59539.0,76.0,5.0,134.0,10.0,2.0,139.0,2112.0
82,05/25/20,4149.0,209.0,2204.0,419.0,120.0,61386.0,79.0,5.0,134.0,9.0,2.0,139.0,2358.0
83,05/26/20,4197.0,210.0,2434.0,420.0,120.0,63039.0,78.0,5.0,166.0,7.0,2.0,171.0,1938.0
84,05/27/20,4231.0,214.0,2550.0,421.0,120.0,64232.0,73.0,5.0,182.0,5.0,2.0,187.0,1906.0
85,05/28/20,4286.0,223.0,2691.0,426.0,120.0,65596.0,60.0,5.0,186.0,6.0,2.0,191.0,1824.0
86,05/29/20,4386.0,232.0,2730.0,438.0,120.0,66862.0,64.0,5.0,138.0,6.0,0.0,143.0,1680.0
87,05/30/20,4492.0,238.0,2802.0,440.0,120.0,68960.0,58.0,4.0,86.0,3.0,0.0,90.0,1346.0
88,05/31/20,4545.0,242.0,2940.0,449.0,140.0,70280.0,65.0,5.0,106.0,4.0,3.0,111.0,1534.0
89,06/01/20,4651.0,245.0,2948.0,451.0,141.0,72456.0,72.0,5.0,106.0,5.0,3.0,111.0,1581.0
90,06/02/20,4685.0,245.0,2954.0,456.0,142.0,74344.0,70.0,5.0,74.0,5.0,3.0,79.0,1615.0
91,06/03/20,4749.0,256.0,3071.0,462.0,142.0,75739.0,74.0,6.0,74.0,6.0,3.0,80.0,1644.0
92,06/04/20,4795.0,265.0,3157.0,468.0,144.0,75965.0,73.0,6.0,67.0,6.0,3.0,73.0,1481.0
93,06/05/20,4876.0,273.0,3187.0,472.0,145.0,79765.0,70.0,6.0,65.0,5.0,4.0,71.0,1843.0
94,06/06/20,5019.0,283.0,3319.0,487.0,145.0,84009.0,75.0,6.0,74.0,7.0,4.0,80.0,2150.0
95,06/07/20,5019.0,283.0,3319.0,487.0,145.0,84009.0,68.0,6.0,54.0,5.0,1.0,60.0,1961.0
