,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/06/20,0,0,0,0,0,0.0,0,0,0,0,0,0,0
1,03/07/20,0,0,0,0,0,0.0,0,0,0,0,0,0,0
2,03/08/20,0,0,0,0,0,0.0,0,0,0,0,0,0,0
3,03/09/20,0,0,0,0,0,0.0,0,0,0,0,0,0,0
4,03/10/20,0,0,0,0,0,0.0,0,0,0,0,0,0,0
5,03/11/20,3,0,0,0,0,0.0,0,0,0,0,0,0,0
6,03/12/20,5,0,0,0,0,0.0,0,0,0,0,0,0,0
7,03/13/20,10,0,0,0,0,0.0,1,0,0,0,0,0,0
8,03/14/20,10,0,0,0,0,0.0,1,0,0,0,0,0,0
9,03/15/20,13,0,0,0,0,0.0,1,0,0,0,0,0,0
10,03/16/20,17,0,0,0,0,0.0,2,0,0,0,0,0,0
11,03/17/20,23,0,0,0,0,0.0,3,0,0,0,0,0,0
12,03/18/20,28,0,0,0,0,0.0,3,0,0,0,0,0,0
13,03/19/20,35,0,0,0,0,0.0,4,0,0,0,0,0,0
14,03/20/20,43,0,0,0,0,0.0,4,0,0,0,0,0,0
15,03/21/20,57,0,0,0,0,0.0,6,0,0,0,0,0,0
16,03/22/20,57,0,0,0,0,0.0,6,0,0,0,0,0,0
17,03/23/20,65,0,0,0,0,0.0,6,0,0,0,0,0,0
18,03/24/20,83,0,0,0,0,0.0,8,0,0,0,0,0,0
19,03/25/20,100,1,0,0,0,0.0,10,0,0,0,0,0,0
20,03/26/20,112,1,0,0,0,0.0,11,0,0,0,0,0,0
21,03/27/20,136,1,0,0,0,0.0,13,0,0,0,0,0,0
22,03/28/20,191,1,0,0,0,0.0,19,0,0,0,0,0,0
23,03/29/20,237,2,2,0,0,0.0,25,0,0,0,0,0,0
24,03/30/20,237,2,26,0,0,0.0,24,0,3,0,0,3,0
25,03/31/20,281,4,26,0,0,0.0,28,0,3,0,0,3,0
26,04/01/20,315,5,26,0,0,0.0,30,0,3,0,0,3,0
27,04/02/20,363,6,26,0,0,0.0,35,0,3,0,0,3,0
28,04/03/20,403,7,26,0,0,0.0,38,0,3,0,0,3,0
29,04/04/20,495,10,26,0,0,0.0,43,1,3,0,0,4,0
30,04/05/20,543,11,54,0,0,0.0,43,1,7,0,0,8,0
31,04/06/20,624,12,130,0,0,0.0,55,1,14,0,0,15,0
32,04/07/20,686,12,133,0,0,0.0,57,1,15,0,0,16,0
33,04/08/20,794,13,171,0,0,0.0,68,1,20,0,0,21,0
34,04/09/20,865,16,201,0,0,0.0,71,1,25,0,0,26,0
35,04/10/20,1091,19,217,0,0,0.0,98,1,27,0,0,28,0
36,04/11/20,1091,19,235,0,0,0.0,85,1,29,0,0,30,0
37,04/12/20,1174,20,235,0,0,0.0,90,1,25,0,0,26,0
38,04/13/20,1245,26,295,0,0,0.0,88,2,23,0,0,25,0
39,04/14/20,1345,31,304,181,0,0.0,94,2,24,25,0,26,0
40,04/15/20,1407,36,340,181,0,0.0,87,3,24,25,0,27,0
41,04/16/20,1484,36,353,215,0,0.0,88,2,21,30,0,23,0
42,04/17/20,1597,44,353,230,0,0.0,72,3,19,32,0,22,0
43,04/18/20,1711,51,382,242,0,0.0,88,4,21,34,0,25,0
44,04/19/20,1798,53,465,258,0,0.0,89,4,32,36,0,36,0
45,04/20/20,1845,55,487,274,0,0.0,85,4,27,39,0,31,0
46,04/21/20,1971,58,501,291,0,0.0,89,3,28,15,0,31,0
47,04/22/20,2072,65,529,306,0,0.0,95,4,27,17,0,31,0
48,04/23/20,2210,71,547,331,0,0.0,103,5,27,16,0,32,0
49,04/24/20,2379,78,573,367,0,0.0,111,4,31,19,0,35,0
50,04/25/20,2521,84,614,412,0,0.0,115,4,33,24,0,37,0
51,04/26/20,2660,93,614,412,0,0.0,123,5,21,22,0,26,0
52,04/27/20,2726,99,650,412,0,0.0,125,6,23,19,0,29,0
53,04/28/20,2823,104,666,481,0,0.0,121,6,23,27,0,29,0
54,04/29/20,2974,110,705,509,0,0.0,128,6,25,29,0,31,0
55,04/30/20,3213,112,734,536,0,0.0,143,5,26,29,0,31,0
56,05/01/20,3411,123,760,536,0,0.0,147,6,26,24,0,32,0
57,05/02/20,3513,131,785,587,0,0.0,141,6,24,25,0,30,0
58,05/03/20,3732,139,812,587,0,0.0,153,6,28,25,0,34,0
59,05/04/20,3850,151,832,587,0,0.0,160,7,26,25,0,33,0
60,05/05/20,4031,156,842,667,0,0.0,172,7,25,26,0,32,0
61,05/06/20,4138,162,964,687,0,0.0,166,7,37,25,0,44,0
62,05/07/20,4291,169,1073,687,0,0.0,154,8,48,21,0,56,0
63,05/08/20,4493,172,1125,760,0,0.0,154,7,52,32,0,59,0
64,05/09/20,4673,181,1189,789,0,0.0,165,7,57,28,0,64,0
65,05/10/20,4778,191,1268,789,0,0.0,149,7,65,28,0,72,0
66,05/11/20,4863,200,1285,789,0,0.0,144,7,64,28,0,71,0
67,05/12/20,5069,208,1300,886,0,0.0,148,7,65,31,0,72,0
68,05/13/20,5212,219,1434,886,0,106721.0,153,8,67,28,0,75,15245
69,05/14/20,5364,231,1515,886,0,110289.0,153,8,63,28,0,71,15755
70,05/15/20,5503,242,1576,886,0,119601.0,144,10,64,18,0,74,17085
71,05/16/20,5662,253,1671,886,0,124458.0,141,10,68,13,0,78,17779
72,05/17/20,5857,259,1739,886,0,128574.0,154,9,67,13,0,76,18367
73,05/18/20,5938,265,1755,886,0,133253.0,153,9,67,13,0,76,19036
74,05/19/20,6096,270,1796,886,0,137620.0,146,8,70,0,0,78,19660
75,05/20/20,6192,276,1882,1139,0,142246.0,140,8,64,36,0,72,5075
76,05/21/20,6317,283,1985,1139,0,147344.0,136,7,67,36,0,74,5293
77,05/22/20,6472,294,2041,1139,0,152767.0,138,7,66,36,0,73,4738
78,05/23/20,6625,302,2149,1139,0,158383.0,137,7,68,36,0,75,4846
79,05/24/20,6795,308,2357,1139,0,169119.0,134,7,88,36,0,95,5792
80,05/25/20,6943,317,2464,1243,0,173481.0,143,7,101,51,0,108,5746
81,05/26/20,7026,320,2522,1264,0,177361.0,132,7,103,54,0,110,5677
82,05/27/20,7130,325,2564,1282,0,180646.0,134,7,97,20,0,104,5485
83,05/28/20,7252,329,2638,1282,0,0.0,133,6,93,20,0,99,4757
84,05/29/20,7364,335,2684,1317,0,183544.0,127,5,91,25,0,96,3982
85,05/30/20,7493,344,2728,1317,0,188261.0,124,6,82,25,0,88,3854
86,05/31/20,7624,351,2835,1317,0,199604.0,118,6,68,25,0,74,3941
87,06/01/20,7689,356,2853,1317,0,199604.0,106,5,55,10,0,60,3317
88,06/02/20,7800,362,2888,1317,0,203115.0,110,6,52,7,0,58,3265
89,06/03/20,8024,367,2960,1416,0,206837.0,127,6,56,19,0,62,3327
90,06/04/20,8140,375,3013,1416,0,212996.0,126,6,53,19,0,59,4207
91,06/05/20,8353,383,3115,1416,0,217757.0,141,6,61,14,0,67,4887
92,06/06/20,8672,387,3206,1489,0,224640.0,168,6,68,24,0,74,5197
93,06/07/20,8800,392,3286,1489,0,229147.0,168,5,64,24,0,69,4220
94,06/08/20,8940,396,3307,1533,0,234375.0,178,5,64,30,0,69,4967
95,06/09/20,9062,400,3380,1558,0,238801.0,180,5,70,34,0,75,5098
96,06/10/20,9105,404,3699,1583,0,241657.0,154,5,105,23,0,110,4974
97,06/11/20,9250,410,3806,1583,0,245557.0,158,5,113,23,0,118,4651
98,06/12/20,9526,426,3983,1625,0,255284.0,167,6,124,29,0,130,5361
99,06/13/20,9526,426,3983,1625,0,255284.0,122,5,111,19,0,116,4377
100,06/14/20,9621,431,4072,1625,0,258994.0,117,5,112,19,0,117,4263
101,06/15/20,9723,435,4114,1625,0,263665.0,111,5,115,13,0,120,4184
102,06/16/20,9845,440,4160,1686,0,267921.0,111,5,111,18,0,116,4160
103,06/17/20,9933,447,4217,1698,0,271553.0,118,6,74,16,0,80,4270
104,06/18/20,10065,452,4351,1715,0,275897.0,116,6,77,18,0,83,4334
105,06/19/20,10153,456,4439,1726,0,280175.0,89,4,65,14,0,69,3555
106,06/20/20,10260,464,4512,1735,0,284602.0,104,5,75,15,0,80,4188
