,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/05/20,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0
1,03/06/20,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2,03/07/20,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0
3,03/08/20,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0
4,03/09/20,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0
5,03/10/20,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0
6,03/11/20,5,0,0.0,0,0,0.0,0,0,0,0,0,0,0
7,03/12/20,7,0,0.0,0,0,0.0,0,0,0,0,0,0,0
8,03/13/20,11,0,0.0,0,0,0.0,1,0,0,0,0,0,0
9,03/14/20,20,0,0.0,0,0,0.0,2,0,0,0,0,0,0
10,03/15/20,21,1,0.0,0,0,0.0,2,0,0,0,0,0,0
11,03/16/20,45,1,0.0,0,0,0.0,6,0,0,0,0,0,0
12,03/17/20,55,1,0.0,0,0,0.0,7,0,0,0,0,0,0
13,03/18/20,55,2,0.0,0,0,0.0,7,0,0,0,0,0,0
14,03/19/20,95,3,0.0,0,0,0.0,12,0,0,0,0,0,0
15,03/20/20,109,3,0.0,0,0,0.0,14,0,0,0,0,0,0
16,03/21/20,124,5,0.0,0,0,0.0,14,0,0,0,0,0,0
17,03/22/20,190,7,0.0,0,0,0.0,24,0,0,0,0,0,0
18,03/23/20,245,8,0.0,0,0,0.0,28,1,0,0,0,1,0
19,03/24/20,278,13,0.0,0,0,0.0,31,1,0,0,0,1,0
20,03/25/20,321,13,0.0,0,0,0.0,38,1,0,0,0,1,0
21,03/26/20,420,17,0.0,0,0,0.0,46,2,0,0,0,2,0
22,03/27/20,535,21,0.0,0,0,0.0,60,2,0,0,0,2,0
23,03/28/20,621,25,0.0,0,0,0.0,71,2,0,0,0,2,0
24,03/29/20,738,28,0.0,0,0,0.0,78,3,0,0,0,3,0
25,03/30/20,1008,32,0.0,0,0,0.0,109,3,0,0,0,3,0
26,03/31/20,1113,37,0.0,0,0,0.0,119,3,0,0,0,3,0
27,04/01/20,1279,45,0.0,0,0,0.0,136,4,0,0,0,4,0
28,04/02/20,1458,51,0.0,0,0,0.0,148,4,0,0,0,4,0
29,04/03/20,1514,59,0.0,0,0,0.0,139,5,0,0,0,5,0
30,04/04/20,1742,70,0.0,0,0,0.0,160,6,0,0,0,6,0
31,04/05/20,1836,76,0.0,0,0,0.0,156,6,0,0,0,6,0
32,04/06/20,1953,79,0.0,0,0,0.0,135,6,0,0,0,6,0
33,04/07/20,2087,91,0.0,0,0,0.0,139,7,0,0,0,7,0
34,04/08/20,2318,101,0.0,0,0,0.0,148,8,0,0,0,8,0
35,04/09/20,2456,110,0.0,0,0,0.0,142,8,0,0,0,8,0
36,04/10/20,2584,120,0.0,0,0,0.0,152,8,0,0,0,8,0
37,04/11/20,2700,125,0.0,0,0,0.0,136,7,0,0,0,7,0
38,04/12/20,2836,128,0.0,0,0,0.0,142,7,0,0,0,7,0
39,04/13/20,2971,133,0.0,0,0,0.0,145,7,0,0,0,7,0
40,04/14/20,3088,141,0.0,0,0,0.0,143,7,0,0,0,7,0
41,04/15/20,3211,150,0.0,0,0,0.0,127,7,0,0,0,7,0
42,04/16/20,3321,158,0.0,0,0,0.0,123,6,0,0,0,6,0
43,04/17/20,3524,162,0.0,0,0,0.0,134,6,0,0,0,6,0
44,04/18/20,3626,168,0.0,0,0,0.0,132,6,0,0,0,6,0
45,04/19/20,3728,172,0.0,0,0,0.0,127,6,0,0,0,6,0
46,04/20/20,3830,180,0.0,0,0,0.0,122,6,0,0,0,6,0
47,04/21/20,3937,193,0.0,0,0,0.0,121,7,0,0,0,7,0
48,04/22/20,4081,201,0.0,0,0,0.0,124,7,0,0,0,7,0
49,04/23/20,4208,210,0.0,0,0,0.0,126,7,0,0,0,7,0
50,04/24/20,4398,216,0.0,0,0,0.0,124,7,0,0,0,7,0
51,04/25/20,4539,229,0.0,0,0,0.0,130,8,0,0,0,8,0
52,04/26/20,4602,235,0.0,0,0,0.0,124,9,0,0,0,9,0
53,04/27/20,4690,245,0.0,0,0,0.0,122,9,0,0,0,9,0
54,04/28/20,4805,251,0.0,0,0,0.0,124,8,0,0,0,8,0
55,04/29/20,4898,257,100.0,0,0,0.0,116,8,14,0,0,22,0
56,04/30/20,4998,269,158.0,0,0,0.0,112,8,22,0,0,30,0
57,05/01/20,5227,277,182.0,0,0,0.0,118,8,26,0,0,34,0
58,05/02/20,5311,281,182.0,0,0,0.0,110,7,26,0,0,33,0
