,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected
0,03/04/20,6,0,0.0,0,0,0,0,0,0,0,0
1,03/05/20,22,0,0.0,0,0,0,0,0,0,0,0
2,03/06/20,33,0,0.0,0,0,0,0,0,0,0,0
3,03/07/20,76,0,0.0,0,0,0,0,0,0,0,0
4,03/08/20,105,0,0.0,0,0,0,0,0,0,0,0
5,03/09/20,142,0,0.0,0,0,0,0,0,0,0,0
6,03/10/20,173,0,0.0,0,0,23,0,0,0,0,0
7,03/11/20,216,0,0.0,0,0,30,0,0,0,0,0
8,03/12/20,216,0,0.0,0,0,27,0,0,0,0,0
9,03/13/20,421,0,0.0,0,0,55,0,0,0,0,0
10,03/14/20,524,0,0.0,0,0,64,0,0,0,0,0
11,03/15/20,729,3,0.0,0,0,89,0,0,0,0,0
12,03/16/20,950,7,0.0,0,0,115,1,0,0,0,1
13,03/17/20,1700,7,0.0,0,0,218,1,0,0,0,1
14,03/18/20,2382,12,0.0,0,0,309,1,0,0,0,1
15,03/19/20,4152,12,0.0,0,0,562,1,0,0,0,1
16,03/20/20,7102,35,0.0,0,0,954,5,0,0,0,5
17,03/21/20,10356,44,0.0,1531,0,1404,6,0,218,0,6
18,03/22/20,15168,114,0.0,2354,0,2062,15,0,336,0,15
19,03/23/20,20875,114,0.0,3125,0,2846,15,0,446,0,15
20,03/24/20,25665,210,0.0,4041,0,3423,29,0,577,0,29
21,03/25/20,30811,285,0.0,5126,0,4061,39,0,732,0,39
22,03/26/20,37258,385,0.0,6921,0,4729,53,0,988,0,53
23,03/27/20,44635,519,2045.0,8732,0,5361,69,292,1247,0,361
24,03/28/20,52318,728,2726.0,10454,0,5994,97,389,1274,0,486
25,03/29/20,59513,965,3572.0,12695,0,6335,121,510,1477,0,631
26,03/30/20,66497,1218,4204.0,14578,0,6517,157,600,1636,0,757
27,03/31/20,75795,1550,4975.0,17085,0,7161,191,710,1863,0,901
28,04/01/20,83712,1941,6142.0,19929,0,7557,236,877,2114,0,1113
29,04/02/20,92381,2373,7434.0,22786,0,7874,284,1062,2266,0,1346
30,04/03/20,102863,2935,8886.0,26210,0,8318,345,977,2496,0,1322
31,04/04/20,113704,3565,10478.0,29471,0,8769,405,1107,2716,0,1512
