,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/07/20,1,0,0.0,0,0,0,0,0,0,0,0,0,0
1,03/08/20,1,0,0.0,0,0,0,0,0,0,0,0,0,0
2,03/09/20,1,0,0.0,0,0,0,0,0,0,0,0,0,0
3,03/10/20,2,0,0.0,0,0,0,0,0,0,0,0,0,0
4,03/11/20,2,0,0.0,0,0,0,0,0,0,0,0,0,0
5,03/12/20,3,0,0.0,0,0,0,0,0,0,0,0,0,0
6,03/13/20,3,0,0.0,0,0,0,0,0,0,0,0,0,0
7,03/14/20,4,0,0.0,0,0,0,0,0,0,0,0,0,0
8,03/15/20,9,0,0.0,0,0,0,1,0,0,0,0,0,0
9,03/16/20,10,0,0.0,0,0,0,1,0,0,0,0,0,0
10,03/17/20,17,0,0.0,0,0,0,2,0,0,0,0,0,0
11,03/18/20,29,0,0.0,0,0,0,3,0,0,0,0,0,0
12,03/19/20,44,1,0.0,0,0,0,5,0,0,0,0,0,0
13,03/20/20,49,1,0.0,0,0,0,6,0,0,0,0,0,0
14,03/21/20,53,1,0.0,10,0,0,7,0,0,1,0,0,0
15,03/22/20,67,2,0.0,11,0,0,8,0,0,1,0,0,0
16,03/23/20,81,2,0.0,15,0,0,10,0,0,2,0,0,0
17,03/24/20,106,3,0.0,25,0,0,12,0,0,3,0,0,0
18,03/25/20,164,5,0.0,59,0,0,19,0,0,8,0,0,0
19,03/26/20,248,7,0.0,86,0,0,29,0,0,12,0,0,0
20,03/27/20,322,8,0.0,105,0,0,39,1,0,15,0,1,0
21,03/28/20,377,15,0.0,126,0,0,46,2,0,16,0,2,0
22,03/29/20,429,16,0.0,140,0,0,51,2,0,18,0,2,0
23,03/30/20,481,17,0.0,153,0,0,57,2,0,19,0,2,0
24,03/31/20,565,23,0.0,177,0,0,65,2,0,21,0,2,0
25,04/01/20,719,30,0.0,219,0,0,79,3,0,22,0,3,0
26,04/02/20,879,34,0.0,257,0,0,90,3,0,24,0,3,0
27,04/03/20,988,38,383.0,289,0,0,95,4,54,26,0,58,0
28,04/04/20,1159,42,0.0,316,0,0,111,3,54,27,0,57,0
29,04/05/20,1252,46,0.0,330,0,0,117,4,54,27,0,58,0
30,04/06/20,1327,51,522.0,340,0,0,120,4,54,26,0,58,0
31,04/07/20,1472,67,612.0,376,0,0,129,6,67,28,0,73,0
32,04/08/20,1524,79,686.0,390,0,0,115,7,78,24,0,85,0
33,04/09/20,1684,80,686.0,415,0,0,115,6,78,22,0,84,0
34,04/10/20,1794,88,790.0,428,0,0,115,7,38,19,0,45,0
35,04/11/20,1868,94,865.0,446,0,0,101,7,49,18,0,56,0
36,04/12/20,1970,96,865.0,446,0,0,102,7,49,16,0,56,0
37,04/13/20,2069,99,865.0,457,0,0,106,6,49,16,0,55,0
38,04/14/20,2184,108,1060.0,488,0,0,101,5,64,16,0,69,0
39,04/15/20,2263,123,1115.0,510,0,0,105,6,61,17,0,67,0
40,04/16/20,2357,131,1240.0,528,0,0,96,7,79,16,0,86,0
41,04/17/20,2465,136,1331.0,528,0,0,95,6,77,14,0,83,0
42,04/18/20,2570,139,1515.0,541,0,0,100,6,92,13,0,98,0
43,04/19/20,2599,140,1575.0,541,0,0,89,6,101,13,0,107,0
44,04/20/20,2680,143,1614.0,541,0,0,87,6,107,12,0,113,0
