,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/04/20,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/05/20,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/06/20,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/07/20,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/08/20,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/09/20,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/10/20,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/11/20,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/12/20,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/13/20,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/14/20,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/15/20,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/16/20,39.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/17/20,47.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/18/20,75.0,3.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/19/20,88.0,3.0,-1.0,-1.0,-1.0,-1.0,10.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/20/20,114.0,3.0,-1.0,-1.0,-1.0,-1.0,12.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/21/20,114.0,3.0,-1.0,-1.0,-1.0,-1.0,12.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/22/20,161.0,4.0,-1.0,43.0,-1.0,-1.0,18.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,03/23/20,191.0,5.0,-1.0,56.0,-1.0,-1.0,22.0,0.0,-1.0,13.0,-1.0,-1.0,-1.0
20,03/24/20,209.0,8.0,-1.0,61.0,-1.0,-1.0,23.0,1.0,-1.0,9.0,-1.0,-1.0,-1.0
21,03/25/20,209.0,8.0,-1.0,61.0,-1.0,-1.0,19.0,1.0,-1.0,6.0,-1.0,-1.0,-1.0
22,03/26/20,327.0,11.0,-1.0,90.0,-1.0,-1.0,34.0,1.0,-1.0,12.0,-1.0,-1.0,-1.0
23,03/27/20,414.0,12.0,-1.0,102.0,-1.0,-1.0,43.0,1.0,-1.0,12.0,-1.0,-1.0,-1.0
24,03/28/20,479.0,13.0,-1.0,117.0,-1.0,-1.0,52.0,1.0,-1.0,12.0,-1.0,-1.0,-1.0
25,03/29/20,548.0,13.0,-1.0,129.0,-1.0,-1.0,55.0,1.0,-1.0,12.0,-1.0,-1.0,-1.0
26,03/30/20,606.0,16.0,-1.0,140.0,-1.0,-1.0,59.0,2.0,-1.0,12.0,-1.0,-1.0,-1.0
27,03/31/20,690.0,18.0,-1.0,154.0,-1.0,-1.0,69.0,1.0,-1.0,13.0,-1.0,-1.0,-1.0
28,04/01/20,736.0,18.0,-1.0,154.0,-1.0,-1.0,75.0,1.0,-1.0,13.0,-1.0,-1.0,-1.0
29,04/02/20,826.0,21.0,-1.0,188.0,-1.0,-1.0,71.0,1.0,-1.0,14.0,-1.0,-1.0,-1.0
30,04/03/20,899.0,22.0,-1.0,204.0,-1.0,-1.0,69.0,1.0,-1.0,15.0,-1.0,-1.0,-1.0
31,04/04/20,999.0,26.0,-1.0,239.0,-1.0,-1.0,74.0,2.0,-1.0,17.0,-1.0,-1.0,-1.0
32,04/05/20,1068.0,27.0,-1.0,258.0,-1.0,-1.0,74.0,2.0,-1.0,18.0,-1.0,-1.0,-1.0
33,04/06/20,1132.0,27.0,-1.0,258.0,-1.0,-1.0,75.0,2.0,-1.0,17.0,-1.0,-1.0,-1.0
34,04/07/20,1181.0,33.0,-1.0,324.0,-1.0,-1.0,70.0,2.0,-1.0,24.0,-1.0,-1.0,-1.0
35,04/08/20,1239.0,33.0,-1.0,324.0,-1.0,-1.0,72.0,2.0,-1.0,24.0,-1.0,-1.0,-1.0
36,04/09/20,1321.0,44.0,-1.0,326.0,-1.0,-1.0,71.0,3.0,-1.0,20.0,-1.0,-1.0,-1.0
37,04/10/20,1321.0,44.0,-1.0,326.0,-1.0,-1.0,60.0,3.0,-1.0,17.0,-1.0,-1.0,-1.0
38,04/11/20,1371.0,48.0,-1.0,338.0,-1.0,-1.0,53.0,3.0,-1.0,14.0,-1.0,-1.0,-1.0
