,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/06/20,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,03/07/20,4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2,03/08/20,6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
3,03/09/20,10,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
4,03/10/20,12,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
5,03/11/20,16,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
6,03/12/20,22,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0
7,03/13/20,41,0.0,0.0,0.0,0,0,5,0,0,0,0,0,0
8,03/14/20,47,0.0,0.0,0.0,0,0,6,0,0,0,0,0,0
9,03/15/20,63,0.0,0.0,0.0,0,0,8,0,0,0,0,0,0
10,03/16/20,76,0.0,0.0,0.0,0,0,9,0,0,0,0,0,0
11,03/17/20,96,0.0,0.0,0.0,0,0,12,0,0,0,0,0,0
12,03/18/20,133,1.0,0.0,0.0,0,0,16,0,0,0,0,0,0
13,03/19/20,185,1.0,0.0,0.0,0,0,23,0,0,0,0,0,0
14,03/20/20,268,1.0,0.0,0.0,0,0,32,0,0,0,0,0,0
15,03/21/20,371,2.0,0.0,0.0,0,0,46,0,0,0,0,0,0
16,03/22/20,479,2.0,0.0,0.0,0,0,59,0,0,0,0,0,0
17,03/23/20,644,6.0,0.0,0.0,0,0,81,0,0,0,0,0,0
18,03/24/20,851,7.0,0.0,0.0,0,0,107,1,0,0,0,1,0
19,03/25/20,1127,11.0,0.0,0.0,0,0,142,1,0,0,0,1,0
20,03/26/20,1687,16.0,0.0,0.0,0,0,214,2,0,0,0,2,0
21,03/27/20,2218,22.0,0.0,241.0,0,0,278,3,0,34,0,3,0
22,03/28/20,2751,34.0,0.0,316.0,0,0,340,4,0,45,0,4,0
23,03/29/20,3394,38.0,0.0,353.0,0,0,416,5,0,50,0,5,0
24,03/30/20,4087,49.0,0.0,386.0,0,0,491,6,0,55,0,6,0
25,03/31/20,4843,63.0,0.0,514.0,0,0,570,8,0,73,0,8,0
26,04/01/20,5805,74.0,0.0,620.0,0,0,668,9,0,88,0,9,0
27,04/02/20,7016,90.0,0.0,730.0,0,0,761,10,0,104,0,10,0
28,04/03/20,8420,102.0,0.0,852.0,0,0,886,11,0,87,0,11,0
29,04/04/20,10017,136.0,0.0,1004.0,0,0,1038,14,0,98,0,14,0
30,04/05/20,11510,150.0,0.0,1072.0,0,0,1159,16,0,102,0,16,0
31,04/06/20,12980,162.0,0.0,1145.0,0,0,1270,16,0,108,0,16,0
32,04/07/20,14559,240.0,0.0,0.0,0,0,1388,25,0,90,0,25,0
33,04/08/20,16239,309.0,0.0,0.0,0,0,1490,33,0,75,0,33,0
34,04/09/20,18228,338.0,0.0,0.0,0,0,1601,35,0,59,0,35,0
35,04/10/20,19979,416.0,0.0,0.0,0,0,1651,44,0,41,0,44,0
36,04/11/20,21655,494.0,0.0,0.0,0,0,1662,51,0,20,0,51,0
37,04/12/20,22833,507.0,0.0,0.0,0,0,1617,51,0,10,0,51,0
