,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/01/20,2,0.0,0.0,0.0,0,4.0,0,0,0,0,0,0,0
1,03/02/20,2,0.0,0.0,0.0,0,5.0,0,0,0,0,0,0,0
2,03/03/20,2,0.0,0.0,0.0,0,7.0,0,0,0,0,0,0,0
3,03/04/20,2,0.0,0.0,0.0,0,17.0,0,0,0,0,0,0,0
4,03/05/20,3,0.0,0.0,0.0,0,22.0,0,0,0,0,0,0,0
5,03/06/20,3,0.0,0.0,0.0,0,33.0,0,0,0,0,0,0,0
6,03/07/20,3,0.0,0.0,0.0,0,52.0,0,0,0,0,0,0,6
7,03/08/20,3,0.0,0.0,0.0,0,70.0,0,0,0,0,0,0,9
8,03/09/20,4,0.0,0.0,0.0,0,86.0,0,0,0,0,0,0,11
9,03/10/20,5,0.0,0.0,0.0,0,110.0,0,0,0,0,0,0,14
10,03/11/20,5,0.0,0.0,0.0,0,144.0,0,0,0,0,0,0,18
11,03/12/20,13,0.0,0.0,0.0,0,189.0,1,0,0,0,0,0,23
12,03/13/20,19,0.0,0.0,0.0,0,243.0,2,0,0,0,0,0,30
13,03/14/20,19,0.0,0.0,0.0,0,329.0,2,0,0,0,0,0,39
14,03/15/20,20,0.0,0.0,0.0,0,384.0,2,0,0,0,0,0,44
15,03/16/20,22,0.0,0.0,0.0,0,477.0,2,0,0,0,0,0,55
16,03/17/20,33,0.0,0.0,0.0,0,641.0,4,0,0,0,0,0,75
17,03/18/20,44,0.0,0.0,0.0,0,763.0,5,0,0,0,0,0,88
18,03/19/20,61,0.0,0.0,0.0,0,1029.0,6,0,0,0,0,0,120
19,03/20/20,74,0.0,0.0,0.0,0,1235.0,7,0,0,0,0,0,141
20,03/21/20,88,0.0,0.0,0.0,0,1372.0,9,0,0,0,0,0,149
21,03/22/20,113,0.0,0.0,0.0,0,1660.0,13,0,0,0,0,0,182
22,03/23/20,129,0.0,0.0,0.0,0,1842.0,15,0,0,0,0,0,195
23,03/24/20,148,0.0,0.0,0.0,0,2099.0,16,0,0,0,0,0,208
24,03/25/20,176,0.0,0.0,0.0,0,2300.0,18,0,0,0,0,0,219
25,03/26/20,217,0.0,0.0,0.0,0,2517.0,22,0,0,0,0,0,212
26,03/27/20,248,0.0,0.0,0.0,0,2750.0,24,0,0,0,0,0,216
27,03/28/20,312,0.0,0.0,0.0,0,3054.0,32,0,0,0,0,0,240
28,03/29/20,417,3.0,0.0,0.0,0,3473.0,43,0,0,0,0,0,259
29,03/30/20,495,4.0,0.0,0.0,0,3741.0,52,0,0,0,0,0,271
30,03/31/20,568,8.0,35.0,0.0,0,4112.0,60,1,5,0,0,6,287
31,04/01/20,668,10.0,35.0,0.0,0,4857.0,70,1,5,0,0,6,365
32,04/02/20,730,12.0,35.0,0.0,0,5355.0,73,1,5,0,0,6,405
33,04/03/20,831,14.0,35.0,0.0,0,6173.0,83,2,5,0,0,7,489
34,04/04/20,968,17.0,35.0,0.0,0,6930.0,93,2,5,0,0,7,553
35,04/05/20,1150,25.0,35.0,0.0,0,8182.0,104,3,5,0,0,8,672
36,04/06/20,1356,27.0,35.0,0.0,0,9965.0,123,3,5,0,0,8,889
37,04/07/20,1617,30.0,35.0,0.0,0,11712.0,149,3,0,0,0,3,1085
38,04/08/20,1890,35.0,35.0,0.0,0,13557.0,174,3,0,0,0,3,1242
39,04/09/20,2169,43.0,35.0,0.0,0,15198.0,205,4,0,0,0,4,1406
40,04/10/20,2573,49.0,35.0,0.0,0,17976.0,248,5,0,0,0,5,1686
41,04/11/20,2853,56.0,35.0,0.0,0,19983.0,269,5,0,0,0,5,1864
42,04/12/20,3142,63.0,35.0,0.0,0,21720.0,284,5,0,0,0,5,1934
43,04/13/20,3329,73.0,135.0,331.0,0,22760.0,281,6,14,47,0,20,1827
44,04/14/20,3596,80.0,135.0,331.0,0,24586.0,282,7,14,47,0,21,1839
45,04/15/20,3903,87.0,168.0,331.0,0,26470.0,287,7,19,47,0,26,1844
46,04/16/20,4295,105.0,182.0,331.0,0,28952.0,303,8,21,47,0,29,1964
47,04/17/20,4585,118.0,196.0,331.0,0,30742.0,287,9,23,47,0,32,1823
48,04/18/20,4868,150.0,217.0,578.0,0,32395.0,287,13,26,82,0,39,1773
49,04/19/20,5207,164.0,244.0,605.0,0,34496.0,295,14,29,86,0,43,1825
50,04/20/20,5585,175.0,267.0,629.0,0,36468.0,322,14,18,42,0,32,1958
51,04/21/20,5972,186.0,315.0,674.0,0,38578.0,339,15,25,49,0,40,1998
52,04/22/20,6354,201.0,315.0,717.0,0,40882.0,350,16,21,55,0,37,2058
53,04/23/20,6773,213.0,342.0,757.0,0,43196.0,354,15,22,60,0,37,2034
54,04/24/20,7188,0.0,377.0,0.0,0,46259.0,371,13,25,60,0,38,2216
55,04/25/20,7493,215.0,410.0,757.0,0,48353.0,375,9,27,25,0,36,2279
56,04/26/20,7769,226.0,433.0,757.0,0,50515.0,366,8,27,21,0,35,2288
57,04/27/20,7972,233.0,452.0,757.0,0,51887.0,341,8,26,18,0,34,2202
58,04/28/20,8296,239.0,466.0,757.0,0,53985.0,332,7,21,11,0,28,2201
59,04/29/20,8668,251.0,0.0,757.0,0,56811.0,330,6,21,5,0,27,2275
60,04/30/20,9016,266.0,466.0,896.0,0,59116.0,320,7,17,19,0,24,2274
61,05/01/20,9333,279.0,485.0,937.0,0,61661.0,306,9,15,25,0,24,2200
62,05/02/20,9522,296.0,531.0,977.0,0,63145.0,289,11,17,31,0,28,2113
63,05/03/20,9703,320.0,565.0,1013.0,0,64936.0,276,13,18,36,0,31,2060
