,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/04/20,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
1,03/05/20,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
2,03/06/20,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
3,03/07/20,2,0,0.0,0,0,0.0,0,0,0,0,0,0,0
4,03/08/20,2,0,0.0,0,0,0.0,0,0,0,0,0,0,0
5,03/09/20,7,0,0.0,0,0,0.0,0,0,0,0,0,0,0
6,03/10/20,7,0,0.0,0,0,0.0,1,0,0,0,0,0,0
7,03/11/20,9,0,0.0,0,0,0.0,1,0,0,0,0,0,0
8,03/12/20,10,0,0.0,0,0,0.0,1,0,0,0,0,0,0
9,03/13/20,12,0,0.0,0,0,0.0,1,0,0,0,0,0,0
10,03/14/20,13,0,0.0,0,0,0.0,1,0,0,0,0,0,0
11,03/15/20,19,0,0.0,0,0,0.0,2,0,0,0,0,0,0
12,03/16/20,28,1,0.0,0,0,0.0,3,0,0,0,0,0,0
13,03/17/20,33,1,0.0,0,0,0.0,3,0,0,0,0,0,0
14,03/18/20,60,1,0.0,0,0,0.0,7,0,0,0,0,0,0
15,03/19/20,60,1,0.0,0,0,0.0,7,0,0,0,0,0,0
16,03/20/20,81,1,0.0,0,0,0.0,9,0,0,0,0,0,0
17,03/21/20,152,1,0.0,0,0,0.0,19,0,0,0,0,0,0
18,03/22/20,195,3,0.0,0,0,0.0,25,0,0,0,0,0,0
19,03/23/20,298,5,0.0,0,0,0.0,38,0,0,0,0,0,0
20,03/24/20,298,5,0.0,0,0,0.0,37,0,0,0,0,0,0
21,03/25/20,424,7,0.0,102,0,0.0,52,0,0,14,0,0,0
22,03/26/20,456,9,0.0,102,0,0.0,56,1,0,14,0,1,0
23,03/27/20,456,9,0.0,102,0,0.0,53,1,0,14,0,1,0
24,03/28/20,539,13,0.0,102,0,0.0,55,1,0,14,0,1,0
25,03/29/20,774,16,0.0,102,0,0.0,82,1,0,14,0,1,0
26,03/30/20,925,18,0.0,102,0,0.0,89,1,0,14,0,1,0
27,03/31/20,1083,22,0.0,102,0,0.0,112,2,0,14,0,2,0
28,04/01/20,1293,26,0.0,102,0,0.0,124,2,0,0,0,2,0
29,04/02/20,1554,31,0.0,241,0,0.0,156,3,0,19,0,3,0
30,04/03/20,1554,31,0.0,241,0,0.0,156,3,0,19,0,3,0
31,04/04/20,1917,40,0.0,241,0,0.0,196,3,0,19,0,3,0
32,04/05/20,2049,44,0.0,241,0,0.0,182,4,0,19,0,4,0
33,04/06/20,2049,44,0.0,241,0,0.0,160,3,0,19,0,3,0
34,04/07/20,2417,51,0.0,241,0,0.0,190,4,0,19,0,4,0
35,04/08/20,2552,63,0.0,241,0,0.0,179,5,0,19,0,5,0
36,04/09/20,2792,67,0.0,241,0,0.0,176,5,0,0,0,5,0
37,04/10/20,3065,72,0.0,496,0,0.0,215,5,0,36,0,5,0
38,04/11/20,3207,80,0.0,496,0,0.0,184,5,0,36,0,5,0
39,04/12/20,3319,82,0.0,496,0,0.0,181,5,0,36,0,5,0
40,04/13/20,3319,82,0.0,496,0,0.0,181,5,0,36,0,5,0
41,04/14/20,3553,97,0.0,675,0,0.0,162,6,0,62,0,6,0
42,04/15/20,3656,107,0.0,675,0,0.0,157,6,0,62,0,6,0
43,04/16/20,3656,107,0.0,675,0,0.0,123,5,0,62,0,5,0
44,04/17/20,3931,109,0.0,675,0,0.0,123,5,0,25,0,5,0
45,04/18/20,4246,119,2633.0,776,0,0.0,148,5,376,40,0,381,0
46,04/19/20,4377,120,2633.0,776,0,0.0,151,5,376,40,0,381,0
47,04/20/20,4377,120,0.0,776,0,0.0,151,5,376,40,0,381,0
48,04/21/20,4439,124,2563.0,776,0,0.0,126,3,376,14,0,379,0
49,04/22/20,4761,140,3317.0,837,0,0.0,157,4,483,23,0,487,0
50,04/23/20,4917,150,3317.0,837,0,0.0,180,6,483,23,0,489,0
51,04/24/20,4917,150,3317.0,837,0,0.0,140,5,483,23,0,488,0
52,04/25/20,5253,166,3701.0,944,0,0.0,143,6,162,24,0,168,0
53,04/26/20,5490,174,3701.0,944,0,0.0,159,7,162,24,0,169,0
54,04/27/20,5490,174,3701.0,944,0,0.0,159,7,162,24,0,169,0
55,04/28/20,5613,177,0.0,944,0,0.0,167,7,162,24,0,169,0
56,04/29/20,5881,203,3701.0,1000,0,0.0,160,9,54,23,0,63,0
57,04/30/20,6095,244,3701.0,1000,0,0.0,168,13,54,23,0,67,0
58,05/01/20,6258,256,3701.0,1110,0,0.0,191,15,54,39,0,69,0
59,05/02/20,6489,267,3701.0,1110,0,0.0,176,14,0,23,0,14,0
60,05/03/20,6626,275,3701.0,1110,0,0.0,162,14,0,23,0,14,0
61,05/04/20,6626,275,3701.0,1110,0,0.0,162,14,0,23,0,14,0
62,05/05/20,6757,283,3701.0,1110,0,0.0,163,15,0,23,0,15,0
63,05/06/20,6936,305,3816.0,1152,0,0.0,150,14,16,21,0,30,0
64,05/07/20,6936,305,3816.0,1152,0,0.0,120,8,16,21,0,24,0
65,05/08/20,7142,316,3816.0,1152,0,0.0,126,8,16,6,0,24,0
66,05/09/20,7531,330,4120.0,1252,0,0.0,148,9,59,20,0,68,0
67,05/10/20,7653,331,4120.0,1252,0,0.0,146,8,59,20,0,67,0
68,05/11/20,7653,331,4120.0,1252,0,0.0,146,8,59,20,0,67,0
69,05/12/20,7927,355,6817.0,1338,0,0.0,167,10,445,32,0,455,0
70,05/13/20,7927,355,6817.0,1338,0,93140.0,141,7,428,26,0,435,13305
71,05/14/20,8189,371,0.0,1338,0,93140.0,179,9,428,26,0,437,13305
72,05/15/20,8407,380,5576.0,1421,0,109616.0,180,9,428,38,0,437,15659
73,05/16/20,8407,380,5575.0,1421,0,109616.0,125,7,385,24,0,392,15659
74,05/17/20,8816,380,5574.0,1421,0,0.0,166,7,385,24,0,392,15659
75,05/18/20,8942,391,5573.0,1421,0,131559.0,184,8,384,24,0,392,15659
76,05/19/20,9056,399,5572.0,1444,0,135063.0,161,6,0,15,0,6,16160
77,05/20/20,9056,399,5571.0,1444,0,135063.0,161,6,0,15,0,6,2854
78,05/21/20,9175,407,5570.0,1444,0,138238.0,140,5,0,15,0,5,3307
79,05/22/20,9638,419,5743.0,1534,0,0.0,175,5,23,16,0,28,954
80,05/23/20,9895,425,5743.0,1534,0,0.0,212,6,24,16,0,30,954
81,05/24/20,10096,435,5743.0,1534,0,0.0,182,7,24,16,0,31,954
82,05/25/20,10178,440,6063.0,1534,0,0.0,176,7,70,16,0,77,954
83,05/26/20,10416,446,6102.0,1618,0,0.0,194,6,75,24,0,81,453
84,05/27/20,10623,466,6102.0,1618,0,0.0,223,9,75,24,0,84,453
85,05/28/20,10788,470,6102.0,1618,0,0.0,230,9,76,24,0,85,0
86,05/29/20,11131,483,6459.0,1634,0,0.0,213,9,102,14,0,111,0
87,05/30/20,11394,487,6459.0,1634,0,0.0,214,8,102,14,0,110,0
88,05/31/20,11861,494,6459.0,1634,0,0.0,252,8,102,14,0,110,0
89,06/01/20,12148,500,6459.0,1634,0,0.0,281,8,56,14,0,64,0
90,06/02/20,12415,501,6976.0,1789,0,0.0,285,7,124,24,0,131,0
91,06/03/20,12651,518,6976.0,1789,0,0.0,289,7,124,24,0,131,0
92,06/04/20,13005,525,6976.0,1789,0,0.0,316,7,124,24,0,131,0
93,06/05/20,13453,538,7347.0,1814,0,0.0,331,7,126,25,0,133,0
94,06/06/20,13916,545,7347.0,1814,0,0.0,360,8,126,25,0,134,0
95,06/07/20,14286,546,7347.0,1814,0,0.0,346,7,126,25,0,133,0
96,06/08/20,14800,557,7347.0,1814,0,0.0,378,8,126,25,0,134,0
97,06/09/20,15228,568,7928.0,1898,0,0.0,401,9,136,15,0,145,0
98,06/10/20,15759,575,7928.0,1898,0,0.0,444,8,136,15,0,144,0
99,06/11/20,16441,588,7928.0,1898,0,0.0,490,9,136,15,0,145,0
100,06/12/20,17170,593,8682.0,1988,0,0.0,531,7,190,24,0,197,0
101,06/13/20,17955,599,8682.0,1988,0,0.0,577,7,190,24,0,197,0
102,06/14/20,18795,600,8682.0,1988,0,0.0,644,7,190,24,0,197,0
103,06/15/20,19378,602,8682.0,1988,0,0.0,654,6,190,24,0,196,0
104,06/16/20,19990,607,9734.0,2055,0,0.0,680,5,258,22,0,263,0
105,06/17/20,20556,617,9734.0,2055,0,0.0,685,6,258,22,0,264,0
106,06/18/20,21548,621,9734.0,2055,0,0.0,729,4,258,22,0,262,0
107,06/19/20,22631,639,10790.0,2294,0,0.0,780,6,301,43,0,307,0
108,06/20/20,23786,644,10790.0,2294,0,0.0,833,6,301,43,0,307,0
109,06/21/20,24693,653,10790.0,2294,0,0.0,842,7,301,43,0,308,0
110,06/22/20,25701,659,10790.0,2294,0,0.0,903,8,301,43,0,309,0
111,06/23/20,26613,673,12317.0,2377,0,0.0,946,9,369,46,0,378,0
112,06/24/20,27897,683,12317.0,2377,0,0.0,1048,9,369,46,0,378,0
113,06/25/20,29022,693,12317.0,2377,0,0.0,1067,10,369,46,0,379,0
114,06/26/20,30335,694,13456.0,2622,0,0.0,1100,7,380,46,0,387,0
115,06/27/20,31939,711,13456.0,2622,0,0.0,1164,9,380,46,0,389,0
116,06/28/20,33320,716,13456.0,2622,0,0.0,1232,9,380,46,0,389,0
117,06/29/20,34644,720,13456.0,2622,0,0.0,1277,8,380,46,0,388,0
118,06/30/20,36399,739,15471.0,2854,0,0.0,1398,9,450,68,0,459,0
119,07/01/20,37919,766,15471.0,2854,0,0.0,1431,11,450,68,0,461,0
120,07/02/20,39701,784,15471.0,2854,0,0.0,1525,13,450,68,0,463,0
121,07/03/20,41532,793,16994.0,2882,0,0.0,1599,14,505,37,0,519,0
122,07/04/20,43386,813,16994.0,2882,0,0.0,1635,14,505,37,0,519,0
123,07/05/20,44847,820,16994.0,2882,0,0.0,1646,14,505,37,0,519,0
124,07/06/20,46380,827,16994.0,2882,0,0.0,1676,15,505,37,0,520,0
125,07/07/20,47352,846,19181.0,3090,0,0.0,1564,15,530,33,0,545,0
126,07/08/20,48909,884,19181.0,3090,0,0.0,1570,16,530,33,0,546,0
127,07/09/20,50691,905,19181.0,3090,0,0.0,1570,17,530,33,0,547,0
128,07/10/20,52419,929,20956.0,3398,0,0.0,1555,19,566,73,0,585,0
129,07/11/20,54699,951,20956.0,3398,0,0.0,1616,19,566,73,0,585,0
130,07/12/20,56648,961,20957.0,3398,0,0.0,1685,20,566,73,0,586,0
131,07/13/20,58168,972,20957.0,3398,0,0.0,1684,20,566,73,0,586,0
132,07/14/20,60389,993,23849.0,3744,0,0.0,1862,21,666,93,0,687,0
133,07/15/20,62245,998,23849.0,3744,0,0.0,1905,16,666,93,0,682,0
134,07/16/20,64083,1070,23849.0,3744,0,0.0,1913,23,666,93,0,689,0
135,07/17/20,66060,1096,23849.0,4182,0,0.0,1948,23,413,112,0,436,0
136,07/18/20,67612,1135,23849.0,4182,0,0.0,1844,26,413,112,0,439,0
137,07/19/20,69986,1155,0.0,4182,0,0.0,1905,27,413,112,0,440,0
138,07/20/20,71445,1164,23053.0,4182,0,0.0,1896,27,413,112,0,440,0
139,07/21/20,73337,1221,27062.0,4498,0,0.0,1849,32,572,107,0,604,0
140,07/22/20,75042,1285,27062.0,4498,0,0.0,1828,41,572,107,0,613,0
141,07/23/20,76606,1334,27062.0,4498,0,0.0,1789,37,572,107,0,609,0
142,07/24/20,78607,1385,29378.0,4827,0,0.0,1792,41,903,92,0,944,0
143,07/25/20,80008,1465,29378.0,4827,0,0.0,1770,47,903,92,0,950,0
144,07/26/20,81199,1491,29378.0,4827,0,0.0,1601,48,903,92,0,951,0
145,07/27/20,82417,1506,29378.0,4827,0,0.0,1567,48,903,92,0,951,0
146,07/28/20,84109,1565,32859.0,5117,0,0.0,1538,49,828,88,0,877,0
147,07/29/20,85846,1615,32859.0,5117,0,0.0,1543,47,828,88,0,875,0
148,07/30/20,87572,1667,32859.0,5117,0,0.0,1566,47,828,88,0,875,0
149,07/31/20,89016,1712,32859.0,5117,0,0.0,1487,46,497,41,0,543,0
150,08/01/20,90599,1751,32859.0,5527,0,0.0,1513,40,497,100,0,537,0
151,08/02/20,91788,1777,32859.0,5527,0,0.0,1512,40,497,100,0,537,0
152,08/03/20,92951,1793,32859.0,5527,0,0.0,1504,41,497,100,0,538,0
153,08/04/20,94190,1847,32859.0,5799,0,0.0,1440,40,0,97,0,40,0
154,08/05/20,95472,1894,32859.0,5799,0,0.0,1375,39,0,97,0,39,0
155,08/06/20,96797,1943,32859.0,5799,0,0.0,1317,39,0,97,0,39,0
156,08/07/20,98219,1962,37798.0,6153,0,0.0,1314,35,705,148,0,740,0
