,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/07/20,0.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/08/20,0.0,-1.0,-1.0,-1.0,-1.0,5.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
2,03/09/20,0.0,-1.0,-1.0,-1.0,-1.0,5.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
3,03/10/20,0.0,-1.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0
4,03/11/20,5.0,-1.0,-1.0,-1.0,-1.0,18.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
5,03/12/20,8.0,-1.0,-1.0,-1.0,-1.0,35.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0
6,03/13/20,9.0,-1.0,-1.0,-1.0,-1.0,82.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0
7,03/14/20,9.0,-1.0,-1.0,-1.0,-1.0,191.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0
8,03/15/20,9.0,-1.0,-1.0,-1.0,-1.0,336.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.0
9,03/16/20,10.0,-1.0,-1.0,-1.0,-1.0,504.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,71.0
10,03/17/20,11.0,-1.0,-1.0,-1.0,-1.0,562.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.0
11,03/18/20,11.0,1.0,-1.0,-1.0,-1.0,562.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.0
12,03/19/20,11.0,1.0,-1.0,-1.0,-1.0,562.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,75.0
13,03/20/20,14.0,1.0,-1.0,-1.0,-1.0,677.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,85.0
14,03/21/20,14.0,1.0,-1.0,-1.0,-1.0,705.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,73.0
15,03/22/20,21.0,1.0,-1.0,-1.0,-1.0,761.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,61.0
16,03/23/20,28.0,1.0,-1.0,-1.0,-1.0,790.0,3.0,0.0,-1.0,-1.0,-1.0,-1.0,41.0
17,03/24/20,30.0,1.0,-1.0,-1.0,-1.0,820.0,3.0,0.0,-1.0,-1.0,-1.0,-1.0,37.0
18,03/25/20,41.0,1.0,-1.0,-1.0,-1.0,860.0,4.0,0.0,-1.0,-1.0,-1.0,-1.0,43.0
19,03/26/20,46.0,1.0,16.0,-1.0,-1.0,2019.0,5.0,0.0,-1.0,-1.0,-1.0,-1.0,208.0
20,03/27/20,58.0,1.0,21.0,-1.0,-1.0,2445.0,6.0,0.0,5.0,-1.0,-1.0,5.0,253.0
21,03/28/20,68.0,1.0,26.0,-1.0,-1.0,2660.0,8.0,0.0,5.0,-1.0,-1.0,5.0,279.0
22,03/29/20,90.0,1.0,29.0,-1.0,-1.0,3217.0,10.0,0.0,4.0,-1.0,-1.0,4.0,351.0
23,03/30/20,101.0,1.0,34.0,-1.0,-1.0,3579.0,10.0,0.0,4.0,-1.0,-1.0,4.0,398.0
24,03/31/20,108.0,1.0,44.0,12.0,-1.0,3717.0,11.0,0.0,6.0,-1.0,-1.0,6.0,414.0
25,04/01/20,129.0,2.0,51.0,12.0,-1.0,4032.0,13.0,0.0,6.0,0.0,-1.0,6.0,453.0
26,04/02/20,165.0,2.0,57.0,17.0,-1.0,4382.0,17.0,0.0,6.0,2.0,-1.0,6.0,338.0
27,04/03/20,187.0,2.0,69.0,17.0,-1.0,4780.0,18.0,0.0,7.0,2.0,-1.0,7.0,334.0
28,04/04/20,212.0,2.0,76.0,19.0,-1.0,5224.0,21.0,0.0,7.0,2.0,-1.0,7.0,366.0
29,04/05/20,240.0,2.0,84.0,22.0,-1.0,5593.0,21.0,0.0,8.0,2.0,-1.0,8.0,339.0
30,04/06/20,288.0,4.0,91.0,23.0,-1.0,6020.0,27.0,0.0,8.0,2.0,-1.0,8.0,349.0
31,04/07/20,320.0,6.0,98.0,23.0,-1.0,6268.0,30.0,1.0,8.0,2.0,-1.0,9.0,364.0
32,04/08/20,393.0,6.0,146.0,26.0,-1.0,6748.0,38.0,1.0,14.0,2.0,-1.0,15.0,388.0
33,04/09/20,447.0,6.0,161.0,27.0,-1.0,7147.0,40.0,1.0,15.0,1.0,-1.0,16.0,395.0
