,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/04/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/05/20,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/06/20,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/07/20,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/08/20,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/09/20,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/10/20,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/11/20,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/12/20,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/13/20,39.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/14/20,51.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/15/20,56.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/16/20,57.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/17/20,64.0,1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/18/20,83.0,2.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/19/20,143.0,3.0,-1.0,-1.0,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/20/20,194.0,5.0,-1.0,-1.0,-1.0,-1.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/21/20,304.0,5.0,-1.0,-1.0,-1.0,-1.0,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,03/22/20,334.0,5.0,-1.0,-1.0,-1.0,-1.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,03/23/20,352.0,8.0,-1.0,-1.0,-1.0,-1.0,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,03/24/20,410.0,9.0,-1.0,-1.0,-1.0,-1.0,49.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,03/25/20,974.0,12.0,-1.0,-1.0,-1.0,-1.0,127.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,03/26/20,1396.0,18.0,-1.0,-1.0,-1.0,-1.0,179.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,03/27/20,1731.0,23.0,-1.0,-1.0,-1.0,-1.0,220.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,03/28/20,2052.0,27.0,-1.0,-1.0,-1.0,-1.0,250.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,03/29/20,2552.0,34.0,-1.0,-1.0,-1.0,-1.0,317.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,03/30/20,2877.0,34.0,38.0,-1.0,-1.0,-1.0,361.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,03/31/20,3266.0,41.0,38.0,-1.0,-1.0,-1.0,408.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,04/01/20,3997.0,58.0,38.0,-1.0,-1.0,-1.0,432.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0
