,Unnamed: 0,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected
0,0,03/07/20,1,0,0,0,0,0,0,0,0,0,0
1,1,03/08/20,1,0,0,0,0,0,0,0,0,0,0
2,2,03/09/20,1,0,0,0,0,0,0,0,0,0,0
3,3,03/10/20,2,0,0,0,0,0,0,0,0,0,0
4,4,03/11/20,2,0,0,0,0,0,0,0,0,0,0
5,5,03/12/20,4,0,0,0,0,0,0,0,0,0,0
6,6,03/13/20,6,0,0,0,0,0,0,0,0,0,0
7,7,03/14/20,6,0,0,0,0,0,0,0,0,0,0
8,8,03/15/20,28,0,0,0,0,3,0,0,0,0,0
9,9,03/16/20,39,0,0,0,0,5,0,0,0,0,0
10,10,03/17/20,51,0,0,0,0,7,0,0,0,0,0
11,11,03/18/20,63,0,0,0,0,8,0,0,0,0,0
12,12,03/19/20,78,0,0,0,0,10,0,0,0,0,0
13,13,03/20/20,112,0,0,0,0,15,0,0,0,0,0
14,14,03/21/20,136,0,0,0,0,18,0,0,0,0,0
15,15,03/22/20,181,1,0,0,0,21,0,0,0,0,0
16,16,03/23/20,257,1,0,0,0,31,0,0,0,0,0
17,17,03/24/20,299,1,0,0,0,35,0,0,0,0,0
18,18,03/25/20,346,1,0,0,0,40,0,0,0,0,0
19,19,03/26/20,402,1,0,0,0,46,0,0,0,0,0
20,20,03/27/20,480,2,0,0,0,52,0,0,0,0,0
21,21,03/28/20,602,2,0,0,0,66,0,0,0,0,0
22,22,03/29/20,719,2,0,0,0,76,0,0,0,0,0
23,23,03/30/20,806,4,0,0,0,78,0,0,0,0,0
24,24,03/31/20,887,5,0,73,0,84,0,0,10,0,0
25,25,04/01/20,1012,7,0,91,0,95,0,0,13,0,0
26,26,04/02/20,1074,7,0,100,0,96,0,0,14,0,0
27,27,04/03/20,1246,7,0,106,0,109,0,0,15,0,0
28,28,04/04/20,1428,8,0,117,0,118,0,0,16,0,0
29,29,04/05/20,1605,8,0,124,0,126,0,0,17,0,0
30,30,04/06/20,1675,13,0,138,0,124,1,0,19,0,1
31,31,04/07/20,1738,13,0,148,0,121,1,0,10,0,1
32,32,04/08/20,1846,13,0,158,0,119,0,0,9,0,0
33,33,04/09/20,1976,13,0,168,0,128,0,0,9,0,0
34,34,04/10/20,2102,17,0,183,0,122,1,0,11,0,1
35,35,04/11/20,2206,18,0,190,0,111,1,0,10,0,1
36,36,04/12/20,2303,18,0,195,0,99,1,0,10,0,1
37,37,04/13/20,2363,18,218,201,0,98,0,31,9,0,31
38,38,04/14/20,2412,19,218,213,0,96,0,31,9,0,31
39,39,04/15/20,2542,20,218,221,0,99,1,31,9,0,32
40,40,04/16/20,2683,21,357,238,0,101,1,51,10,0,52
41,41,04/17/20,2805,23,443,244,0,100,0,63,8,0,63
42,42,04/18/20,2931,25,565,251,0,103,1,80,8,0,81
43,43,04/19/20,3069,27,679,259,0,109,1,97,9,0,98
44,44,04/20/20,3213,28,776,268,0,121,1,79,9,0,80
45,45,04/21/20,3296,32,888,277,0,126,1,95,9,0,96
46,46,04/22/20,3445,34,970,288,0,129,2,107,9,0,109
47,47,04/23/20,3612,35,1050,301,0,132,2,99,9,0,101
48,48,04/24/20,3782,39,1252,315,0,139,2,115,10,0,117
49,49,04/25/20,3948,41,1399,329,0,145,2,119,11,0,121
50,50,04/26/20,4123,41,1568,345,0,150,2,127,12,0,129
51,51,04/27/20,4233,41,1641,349,0,145,1,123,11,0,124
52,52,04/28/20,4343,45,1704,370,0,149,1,116,13,0,117
53,53,04/29/20,4495,45,1790,383,0,150,1,117,13,0,118
54,54,04/30/20,4672,46,1939,390,0,151,1,127,12,0,128
55,55,05/01/20,4828,46,2062,403,0,149,1,115,12,0,116
56,56,05/02/20,4981,49,2185,418,0,147,1,112,12,0,113
57,57,05/03/20,5175,50,2238,436,0,150,1,95,13,0,96
58,58,05/04/20,5317,50,2342,441,0,154,1,100,13,0,101
59,59,05/05/20,5449,56,2387,456,0,158,1,97,12,0,98
60,60,05/06/20,5595,58,2509,464,0,157,1,102,11,0,103
61,61,05/07/20,5724,61,2640,476,159,150,2,100,12,22,102
62,62,05/08/20,5919,61,2769,488,162,155,2,101,12,23,103
63,63,05/09/20,6103,66,2901,498,166,160,2,102,11,23,104
64,64,05/10/20,6251,67,3033,512,168,153,2,113,10,24,115
65,65,05/11/20,6362,68,3181,517,169,149,2,119,10,24,121
66,66,05/12/20,6432,73,3267,535,178,140,2,125,11,25,127
67,67,05/13/20,6620,75,3406,553,182,146,2,128,12,26,130
68,68,05/14/20,6749,75,3566,558,187,146,2,132,11,4,134
69,69,05/15/20,6913,77,3719,566,190,142,2,135,11,4,137
70,70,05/16/20,7068,78,3896,578,194,137,1,142,11,4,143
71,71,05/17/20,7238,80,4075,586,196,141,1,148,10,4,149
72,72,05/18/20,7384,80,4183,595,197,146,1,143,11,4,144
73,73,05/19/20,7518,88,4275,619,197,155,2,144,12,2,146
74,74,05/20/20,7710,90,4423,631,200,155,2,145,11,2,147
75,75,05/21/20,7874,92,4596,647,207,160,2,147,12,2,149
76,76,05/22/20,8057,93,4748,660,210,163,2,147,13,2,149
77,77,05/23/20,8260,97,4898,676,213,170,2,143,14,2,145
