,dates2,cum_cases,cum_deaths,cum_recover,cum_hosp,cum_icu,cum_PCRtested,new_cases,new_deaths,new_recover,new_hosp,new_icu,new_uninfected,new_PCRtested
0,03/05/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,03/06/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,03/07/20,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,03/08/20,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,03/09/20,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,03/10/20,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,03/11/20,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,03/12/20,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,03/13/20,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,03/14/20,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,03/15/20,45.0,1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,03/16/20,51.0,1.0,-1.0,-1.0,-1.0,-1.0,7.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,03/17/20,67.0,1.0,-1.0,-1.0,-1.0,-1.0,8.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,03/18/20,77.0,1.0,-1.0,-1.0,-1.0,-1.0,10.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,03/19/20,94.0,2.0,-1.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,03/20/20,114.0,2.0,-1.0,-1.0,-1.0,-1.0,12.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,03/21/20,152.0,2.0,-1.0,25.0,-1.0,-1.0,17.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,03/22/20,219.0,3.0,-1.0,32.0,-1.0,-1.0,25.0,0.0,-1.0,7.0,-1.0,-1.0,-1.0
18,03/23/20,254.0,6.0,-1.0,38.0,-1.0,-1.0,29.0,1.0,-1.0,6.0,-1.0,-1.0,-1.0
19,03/24/20,290.0,7.0,-1.0,45.0,-1.0,-1.0,32.0,1.0,-1.0,7.0,-1.0,-1.0,-1.0
20,03/25/20,391.0,9.0,-1.0,59.0,-1.0,-1.0,45.0,1.0,-1.0,8.0,-1.0,-1.0,-1.0
21,03/26/20,460.0,13.0,-1.0,65.0,-1.0,-1.0,52.0,2.0,-1.0,8.0,-1.0,-1.0,-1.0
22,03/27/20,604.0,14.0,-1.0,83.0,-1.0,-1.0,70.0,2.0,-1.0,10.0,-1.0,-1.0,-1.0
23,03/28/20,739.0,17.0,-1.0,99.0,-1.0,-1.0,84.0,2.0,-1.0,11.0,-1.0,-1.0,-1.0
24,03/29/20,890.0,22.0,-1.0,112.0,-1.0,-1.0,96.0,3.0,-1.0,11.0,-1.0,-1.0,-1.0
25,03/30/20,1020.0,25.0,-1.0,136.0,-1.0,-1.0,109.0,3.0,-1.0,14.0,-1.0,-1.0,-1.0
26,03/31/20,1250.0,27.0,-1.0,165.0,-1.0,-1.0,137.0,3.0,-1.0,17.0,-1.0,-1.0,-1.0
27,04/01/20,1484.0,34.0,-1.0,305.0,145.0,-1.0,156.0,4.0,-1.0,35.0,-1.0,-1.0,-1.0
28,04/02/20,1706.0,41.0,-1.0,305.0,145.0,-1.0,178.0,4.0,-1.0,34.0,0.0,-1.0,-1.0
29,04/03/20,2012.0,46.0,-1.0,312.0,145.0,-1.0,201.0,5.0,-1.0,33.0,0.0,-1.0,-1.0
30,04/04/20,2407.0,52.0,-1.0,390.0,145.0,-1.0,238.0,5.0,-1.0,42.0,0.0,-1.0,-1.0
31,04/05/20,2637.0,-1.0,-1.0,431.0,145.0,-1.0,250.0,5.0,-1.0,46.0,0.0,-1.0,-1.0
32,04/06/20,2878.0,54.0,-1.0,497.0,145.0,-1.0,265.0,5.0,-1.0,52.0,0.0,-1.0,-1.0
33,04/07/20,3333.0,63.0,-1.0,563.0,145.0,-1.0,298.0,7.0,-1.0,57.0,0.0,-1.0,-1.0
34,04/08/20,3645.0,75.0,-1.0,615.0,145.0,-1.0,309.0,8.0,-1.0,44.0,0.0,-1.0,-1.0
35,04/09/20,4042.0,109.0,-1.0,685.0,-1.0,-1.0,334.0,13.0,-1.0,54.0,0.0,-1.0,-1.0
36,04/10/20,4509.0,121.0,-1.0,772.0,-1.0,-1.0,357.0,15.0,-1.0,66.0,0.0,-1.0,-1.0
37,04/11/20,5077.0,130.0,-1.0,-1.0,-1.0,-1.0,381.0,15.0,-1.0,64.0,0.0,-1.0,-1.0
38,04/12/20,5274.0,141.0,-1.0,-1.0,-1.0,-1.0,377.0,14.0,-1.0,68.0,0.0,-1.0,-1.0
39,04/13/20,5747.0,149.0,-1.0,-1.0,-1.0,-1.0,410.0,14.0,-1.0,69.0,0.0,-1.0,-1.0
40,04/14/20,6171.0,154.0,721.0,-1.0,-1.0,-1.0,405.0,13.0,-1.0,70.0,0.0,-1.0,-1.0
41,04/15/20,6500.0,195.0,752.0,1048.0,-1.0,-1.0,408.0,17.0,31.0,78.0,-1.0,48.0,-1.0
42,04/16/20,6889.0,208.0,951.0,1114.0,-1.0,-1.0,407.0,14.0,115.0,76.0,-1.0,129.0,-1.0
43,04/17/20,7491.0,231.0,1110.0,1221.0,-1.0,-1.0,426.0,16.0,130.0,86.0,-1.0,146.0,-1.0
44,04/18/20,8053.0,258.0,1228.0,1296.0,-1.0,-1.0,425.0,18.0,127.0,83.0,-1.0,145.0,-1.0
45,04/19/20,8537.0,277.0,1267.0,1422.0,-1.0,-1.0,466.0,19.0,109.0,94.0,-1.0,128.0,-1.0
46,04/20/20,8990.0,300.0,1324.0,1500.0,-1.0,-1.0,463.0,22.0,100.0,90.0,-1.0,122.0,-1.0
47,04/21/20,9630.0,324.0,1418.0,1581.0,-1.0,-1.0,494.0,24.0,100.0,89.0,-1.0,124.0,-1.0
48,04/22/20,10266.0,349.0,1497.0,1659.0,-1.0,-1.0,538.0,22.0,106.0,87.0,-1.0,128.0,-1.0
49,04/23/20,10998.0,372.0,1567.0,1753.0,-1.0,-1.0,587.0,23.0,88.0,91.0,-1.0,111.0,-1.0
50,04/24/20,11594.0,410.0,1672.0,1837.0,-1.0,-1.0,586.0,26.0,80.0,88.0,-1.0,106.0,-1.0
51,04/25/20,12366.0,436.0,1717.0,1942.0,-1.0,-1.0,616.0,25.0,70.0,92.0,-1.0,95.0,-1.0
52,04/26/20,12970.0,448.0,1815.0,2014.0,-1.0,-1.0,633.0,24.0,78.0,85.0,-1.0,102.0,-1.0
53,04/27/20,13535.0,458.0,1843.0,3298.0,-1.0,-1.0,649.0,23.0,74.0,257.0,-1.0,97.0,-1.0
54,04/28/20,14339.0,492.0,1914.0,3422.0,-1.0,-1.0,673.0,24.0,71.0,263.0,-1.0,95.0,-1.0
55,04/29/20,14961.0,522.0,2042.0,3608.0,-1.0,-1.0,671.0,25.0,78.0,278.0,-1.0,103.0,-1.0
56,04/30/20,15846.0,552.0,2104.0,3654.0,-1.0,-1.0,693.0,26.0,77.0,272.0,-1.0,103.0,-1.0
57,05/01/20,16901.0,581.0,2196.0,3654.0,-1.0,-1.0,758.0,24.0,75.0,260.0,-1.0,99.0,-1.0
58,05/02/20,17731.0,616.0,2312.0,3738.0,-1.0,-1.0,766.0,26.0,85.0,257.0,-1.0,111.0,-1.0
59,05/03/20,18671.0,660.0,2497.0,3910.0,-1.0,-1.0,814.0,30.0,97.0,271.0,-1.0,127.0,-1.0
60,05/04/20,19492.0,684.0,2547.0,4010.0,-1.0,-1.0,851.0,32.0,101.0,102.0,-1.0,133.0,-1.0
61,05/05/20,20256.0,713.0,2617.0,4113.0,-1.0,-1.0,845.0,32.0,100.0,99.0,-1.0,132.0,-1.0
62,05/06/20,20256.0,713.0,2617.0,4113.0,-1.0,-1.0,756.0,27.0,82.0,72.0,-1.0,109.0,-1.0
